ID;Obispado;Arzobispado;START;END_;Obispado_Name;Arzobispado_Name
1;OBCCCC00;OBCCCC00;1609;1808;La Plata;La Plata
2;OBCCLP00;OBCCCC00;1609;1808;La Paz;La Plata
3;OBCCSC00;OBCCCC00;1609;1808;Santa Cruz de la Sierra;La Plata
4;OBCHCO00;OBPELI00;1546;1808;Concepcion;Lima
5;OBCHSA00;OBPELI00;1546;1808;Santiago de Chile;Lima
6;OBGDDU00;OBNEMX00;1546;1808;Durango;Mexico
7;OBGDGD00;OBNEMX00;1546;1808;Guadalajara;Mexico
8;OBGDMO00;OBNEMX00;1546;1808;Monterrey;Mexico
9;OBGDSO00;OBNEMX00;1546;1808;Sonora;Mexico
10;OBGUCH00;OBGUGU00;1743;1808;Chiapas;Guatemala
11;OBGUCY00;OBGUGU00;1743;1808;Comayagua;Guatemala
12;OBGUGU00;OBGUGU00;1743;1808;Guatemala;Guatemala
13;OBGULE00;OBGUGU00;1743;1808;Leon;Guatemala
14;OBGUVP00;OBNEMX00;1546;1602;Verapaz;Mexico
15;OBNEMI00;OBNEMX00;1546;1808;Michoacan;Mexico
16;OBNEMX00;OBNEMX00;1546;1808;Mexico;Mexico
17;OBNEOA00;OBNEMX00;1546;1808;Oaxaca;Mexico
18;OBNEPU00;OBNEMX00;1546;1808;Puebla;Mexico
19;OBNEYU00;OBNEMX00;1546;1808;Yucatan;Mexico
20;OBNGCA00;OBNGSF00;1564;1808;Cartagena de Indias;Santa Fe
21;OBNGPA00;OBPELI00;1564;1808;Panama;Lima
22;OBNGSF00;OBNGSF00;1564;1808;Santa Fe;Santa Fe
23;OBNGSM00;OBNGSF00;1564;1808;Santa Marta;Santa Fe
24;OBPEAR00;OBPELI00;1546;1808;Arequipa;Lima
25;OBPECU00;OBPELI00;1546;1808;Cuzco;Lima
26;OBPEHU00;OBPELI00;1546;1808;Huamanga;Lima
27;OBPELI00;OBPELI00;1546;1808;Lima;Lima
28;OBPETR00;OBPELI00;1546;1808;Trujillo;Lima
29;OBQUCU00;OBPELI00;1546;1808;Cuenca;Lima
30;OBQUMA00;OBPELI00;1546;1808;Maynas;Lima
31;OBQUPO00;OBPELI00;1546;1808;Popayan;Lima
32;OBQUQU00;OBPELI00;1546;1808;Quito;Lima
33;OBRPBA00;OBCCCC00;1609;1808;Buenos Aires;La Plata
34;OBRPCO00;OBCCCC00;1609;1808;Tucuman;La Plata
35;OBRPPA00;OBCCCC00;1609;1808;Paraguay;La Plata
36;OBRPSA00;OBCCCC00;1609;1808;Salta;La Plata
37;OBSDCU00;OBSDCU00;1803;1808;Santiago de Cuba;Santiago de Cuba
38;OBSDCV00;OBSDSD00;1504;1511;Concepcion de la Vega;Santo Domingo
39;OBSDJA00;OBSDSD00;1548;1654;Jamaica;Santo Domingo
40;OBSDLH00;OBSDCU00;1803;1808;La Habana;Santiago de Cuba
41;OBSDLU00;OBSDCU00;1803;1808;Luisiana y las dos Floridas;Santiago de Cuba
42;OBSDMA00;OBSDSD00;1504;1511;Magua;Santo Domingo
43;OBSDPR00;OBSDCU00;1803;1808;Puerto Rico;Santiago de Cuba
44;OBSDSD00;OBSDSD00;1548;1802;Santo Domingo;Santo Domingo
45;OBVECA00;OBVECA00;1804;1808;Caracas;Caracas
46;OBVEGU00;OBVECA00;1804;1808;La Guayana;Caracas
47;OBVEME00;OBVECA00;1804;1808;Merida;Caracas
48;OBSDSD00;OBSDCU00;1803;9999;Santo Domingo;Santiago de Cuba
49;OBSDPR00;OBSDSD00;1548;1802;Puerto Rico;Santo Domingo
50;OBSDPR00;OBSDSD00;1504;1511;Puerto Rico;Santo Domingo
51;OBSDCU00;OBSDSD00;1548;1802;Santiago de Cuba;Santo Domingo
52;OBSDLH00;OBSDSD00;1548;1802;La Habana;Santo Domingo
53;OBSDLU00;OBSDSD00;1794;1802;Luisiana y las dos Floridas;Santo Domingo
54;OBRPBA00;OBPELI00;1546;1608;Buenos Aires;Lima
55;OBRPCO00;OBPELI00;1546;1608;Tucuman;Lima
56;OBRPPA00;OBPELI00;1546;1608;Paraguay;Lima
57;OBRPSA00;OBPELI00;1546;1608;Salta;Lima
58;OBCCCC00;OBPELI00;1546;1608;La Plata;Lima
59;OBCCLP00;OBPELI00;1546;1608;La Paz;Lima
60;OBCCSC00;OBPELI00;1546;1608;Santa Cruz de la Sierra;Lima
61;OBNGCA00;OBPELI00;1546;1563;Cartagena de Indias;Lima
62;OBNGPA00;OBPELI00;1546;1563;Panama;Lima
63;OBNGSF00;OBPELI00;1546;1563;Santa Fe;Lima
64;OBNGSM00;OBPELI00;1546;1563;Santa Marta;Lima
65;OBGUCH00;OBGUGU00;1546;1742;Chiapas;Guatemala
66;OBGUCY00;OBGUGU00;1546;1742;Comayagua;Guatemala
67;OBGUGU00;OBGUGU00;1546;1742;Guatemala;Guatemala
68;OBGULE00;OBGUGU00;1546;1742;Leon;Guatemala
69;OBSDPR00;OBESSV00;1512;1547;Puerto Rico;Sevilla
70;OBNGPA00;OBESSV00;1513;1545;Panama;Sevilla
71;OBSDCU00;OBESSV00;1517;1547;Santiago de Cuba;Sevilla
72;OBNEPU00;OBESSV00;1527;1545;Puebla;Sevilla
73;OBNEMX00;OBESSV00;1530;1545;Mexico;Sevilla
74;OBGUCY00;OBESSV00;1531;1547;Comayagua;Sevilla
75;OBGULE00;OBESSV00;1531;1545;Leon;Sevilla
76;OBGUGU00;OBESSV00;1534;1545;Guatemala;Sevilla
77;OBNGSM00;OBESSV00;1534;1547;Santa Marta;Sevilla
78;OBNEOA00;OBESSV00;1535;1545;Oaxaca;Sevilla
79;OBVECA00;OBESSV00;1535;1547;Caracas;Sevilla
80;OBNEMI00;OBESSV00;1537;1545;Michoacan;Sevilla
81;OBPECU00;OBESSV00;1538;1545;Cuzco;Sevilla
82;OBNGCA00;OBESSV00;1538;1545;Cartagena de Indias;Sevilla
83;OBGUCH00;OBESSV00;1544;1545;Chiapas;Sevilla
