gz_id;Entidad_ID;Nivel;tipo;Label;lat;lon;START;END_;C_START;C_END;tipolink;Cabecera;fuente_ID;template;Nivel_START;Nivel_END
1000000;EXDI0000;Extranjero;Reino;Dinamarca;90;0;1672;1808;1111;1808;;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1672;1808
1000000;EXFR0000;Extranjero;Imperio;Francia;90;0;1804;1808;1804;1808;;[-];desconocida;[[:gazetteer:1000000|[-]]] (1804-1808);1564;1808
1000000;EXFR0000;Extranjero;Reino;Francia;90;0;1564;1791;1111;1791;;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1791);1564;1808
1000000;EXFR0000;Extranjero;Republica;Francia;90;0;1792;1803;1792;1803;;[-];desconocida;[[:gazetteer:1000000|[-]]] (1792-1803);1564;1808
1000000;EXGB0000;Extranjero;Reino Unido;Gran Bretaña;90;0;1607;1808;1111;1808;;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1607;1808
1000000;EXHA0000;Extranjero;Republica;Saint-Domingue;90;0;1808;1808;1806;1808;;[-];desconocida;[[:gazetteer:1000000|[-]]] (1806-1808);1808;1808
1000000;EXPB0000;Extranjero;Reino;Holanda;90;0;1806;1808;1806;1808;;[-];desconocida;[[:gazetteer:1000000|[-]]] (1806-1808);1581;1808
1000000;EXPB0000;Extranjero;Republica;Batava;90;0;1795;1805;1795;1805;;[-];desconocida;[[:gazetteer:1000000|[-]]] (1795-1805);1581;1808
1000000;EXPB0000;Extranjero;Republica;Paises Bajos;90;0;1581;1794;1111;1794;;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1794);1581;1808
1000000;EXPO0000;Extranjero;Reino;Portugal;90;0;1494;1808;1111;1808;;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1494;1808
1000000;EXRU0000;Extranjero;Imperio;Rusia;90;0;1774;1808;1721;1808;;[-];desconocida;[[:gazetteer:1000000|[-]]] (1721-1808);1774;1808
1000000;EXSU0000;Extranjero;Reino;Suecia;90;0;1638;1808;1111;1808;;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1638;1808
1000000;EXUS0000;Extranjero;Republica;Estados Unidos;90;0;1776;1808;1776;9999;;[-];desconocida;[[:gazetteer:1000000|[-]]] (1776-9999);1776;1808
1000000;FRANICXX;Partido;Fronteras;Isla de California;90;0;1111;1808;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1111;1808
1000000;FRANICXX;Fronteras;Fronteras;Isla de California;90;0;1111;9999;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1111;9999
1000000;FRANSSPA;Partido;Fronteras;Papageria;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRANSSSE;Partido;Fronteras;Seris;90;0;1701;1808;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1701;1808
1000000;FRANXXXX;Partido;Fronteras;Anian;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRANXXXX;Fronteras;Fronteras;Anian;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
1000000;FRBRXXXX;Fronteras;Fronteras;Brasil;90;0;1111;1749;1111;1749;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1749);1111;9999
1000000;FRBRXXXX;Partido;Fronteras;Brasil;90;0;1701;1749;1111;1749;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1749);1701;1749
1000000;FRBRXXXX;Fronteras;Fronteras;Brasil;90;0;1761;1776;1761;1776;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1761-1776);1111;9999
1000000;FRCCLPBO;Partido;Fronteras;Bopis;90;0;1701;1808;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1701;1808
1000000;FRCEXXXX;Partido;Fronteras;Tierra magallanica;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRCEXXXX;Fronteras;Fronteras;Tierra magallanica;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
1000000;FRCHBMBM;Provincia_menor;Fronteras;Butalmapus;90;0;1602;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1602;1808
1000000;FRCHBMBM;Partido;Fronteras;Butalmapus;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRCHBMBM;Provincia;Fronteras;Butalmapus;90;0;1642;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1642;1808
1000000;FRCHBMBM;Fronteras;Fronteras;Butalmapus;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
1000000;FRCIGIXX;Partido;Fronteras;Gila;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRCIMOXX;Partido;Fronteras;Moqui;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRCINAXX;Partido;Fronteras;Navajos;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRCITEXX;Partido;Fronteras;Gran Teguayo;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FRCIXXXX;Fronteras;Fronteras;Cibola;90;0;1111;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1111;9999
1000000;FRCMXXXX;Fronteras;Fronteras;Chichimeca;90;0;1111;9999;1111;9999;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999);1111;9999
1000000;FREDBPXX;Partido;Fronteras;Bajo Putumayo;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
1000000;FREDCAXX;Partido;Fronteras;Pais de la Canela;90;0;1701;1808;1111;1808;fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-1808);1701;1808
