OficialID;nombre_id;NOM_entero;Nacimiento_y;Fallecimiento_y;N_date_t;F_date_t;Nombres;particulo;Apellidos;titulo_de_nobleza;religious_order;PlaceOfBirth_Settlement;PlaceOfBirth_GZ_ID;PlaceOfBirth_Province;PlaceOfBirth_Country;Nacimiento_num;PlaceOfDeath_Settlement;PlaceOfDeath_GZ_ID;Fallecimiento_Province;PlaceOfDeath_Country;Fallecimiento_num;Fuente;Nota;flag;status;cargo_primero;cargo_ultimo;NOM_entero_STANDARD;Nombres_standard;Apellidos_standard;Apellidos_min;RANGE_S;RANGE_E;dbe;no_foreignkey;nowiki;tocayos;Nombres_alternative;Apellidos_alternative;N_date;F_date;Nom1;Nom2;Nom3;Part1;Ap1;Part2;Ap2;Part3;Ap3;N1S;N2S;N3S;A1S;A2S;A3S;flag_num;update_flag;FullOficialID
1;xxx_vacante;xxx Vacante;;;;;xxx;;Vacante;;;;;;;;;;;;;;;;q;JUNGSOSO;JUNGSOSO;xxx Vacante;xxx;Vacante;Vacante;1745;1856;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias1
2;antonio_manuel_labiano;Antonio Manuel Labiano;;;;;Antonio Manuel;;Labiano;;;;;;;;;;;;;;;;q;JUQUMCMC;JUQUMCMC;Antonio Manuel Labiano;Antonio Manuel;Labiano;Laviano;1656;1766;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias2
3;alejandro_escalante;Alejandro Escalante;;;;;Alejandro;;Escalante;;;;;;;;;;;;;;;;q;JUQUMCMC;JUQUMCMC;Alejandro Escalante;Alejandro;Escalante;Escalante;1673;1783;;yes;;;;;;;;;;;;;;;;;;;;;;;y;persIndias3
6;francisco_carvallo;Francisco Carvallo;;;;;Francisco;;Carvallo;;;;;;;;;;;;;;;;q;JUQUMCMC;JUQUMCMC;Francisco Carvallo;Francisco;Carvallo;Carvallo;1686;1822;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias6
11;hipolito_mendoza_y_ortega;Hipólito Mendoza y Ortega;;;;;Hipólito;;Mendoza y Ortega;;;;;;;;;;;;;;;;q;JUQUMCMC;JUQUMCMC;Hipolito Mendoza y Ortega;Hipolito;Mendoza y Ortega;Mendoza Ortega;1717;1829;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias11
12;jose_ignacio_checa;José Ignacio Checa;;;;;José Ignacio;;Checa;;;;;;;;;;;;;;;;q;PRQUQJ00;PRQUJA00;Jose Ignacio Checa;Jose Ignacio;Checa;Checa;1729;1856;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias12
13;jose_ignacio_iturregui;José Ignacio Iturregui;;;;;José Ignacio;;Iturregui;;;;;;;;;;;;;;;;q;JUQUMCMC;JUQUMCMC;Jose Ignacio Iturregui;Jose Ignacio;Iturregui;Iturregui;1720;1830;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias13
14;antonio_gortaire_goyeneche;Antonio Gortaire Goyeneche;;;;;Antonio;;Gortaire Goyeneche;;;;;;;;;;;;;;;;q;JUQUMCMC;JUQUMCMC;Antonio Gortaire Goyeneche;Antonio;Gortaire Goyeneche;Gortaire Goyeneche;1723;1834;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias14
16;juan_mena;Juan Mena;;;;;Juan;;Mena;;;;;;;;;;;;;;;;q;JUQUMCMC;JUQUMCMC;Juan Mena;Juan;Mena;Mena;1732;1844;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias16
17;mariano_villalobos;Mariano Villalobos;;;;;Mariano;;Villalobos;;;;;;;;;;;;;;;;q;JUQUMCMC;JUQUMCMC;Mariano Villalobos;Mariano;Villalobos;Villalovos;1737;1853;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias17
