Entidad,Nombre completo,START,START_ex,END,END_ex,Wikilink_tipo
SUNE0000,Virreinato de Nueva España,1535,exact,1808,hgis,conceptos:virreinato
SUPE0000,Virreinato de Peru,1542,exact,1808,hgis,conceptos:virreinato
SUNG0000,Virreinato de Nueva Granada,1717,exact,1723,exact,conceptos:virreinato
SUNG0000,Virreinato de Nueva Granada,1740,exact,1808,hgis,conceptos:virreinato
SURP0000,Virreinato de Rio de la Plata,1776,exact,1808,hgis,conceptos:virreinato
AULI0000,Audiencia Real de Lima,1543,exact,1808,hgis,conceptos:audiencia
AUSA0000,Audiencia Real de Santiago,1609,exact,1808,hgis,conceptos:audiencia
AUCC0000,Audiencia Real de Charcas,1559,exact,1808,hgis,conceptos:audiencia
AUQU0000,Audiencia Real de Quito,1564,exact,1717,exact,conceptos:audiencia
AUBA0000,Audiencia Real de Buenos Aires,1785,exact,1808,hgis,conceptos:audiencia
AUCU0000,Audiencia Real de Cuzco,1788,exact,1808,hgis,conceptos:audiencia
AUMX0000,Audiencia Real de Mexico,1535,exact,1808,hgis,conceptos:audiencia
AUPA0000,Audiencia Real de Panama,1565,exact,1716,exact,conceptos:audiencia
AUPA0000,Audiencia Real de Panama,1722,exact,1750,exact,conceptos:audiencia
AUCO0000,Audiencia Real de Guatemala,1570,exact,1808,hgis,conceptos:audiencia
AUGD0000,Audiencia Real de Guadalajara,1548,exact,1808,hgis,conceptos:audiencia
AUSF0000,Audiencia Real de Santa Fe,1550,exact,1808,hgis,conceptos:audiencia
AUCA0000,Audiencia Real de Caracas,1786,exact,1808,hgis,conceptos:audiencia
OBPELI00,Arzobispado de Lima,1546,exact,1808,hgis,conceptos:arzobispado
OBPEHU00,Obispado de Huamanga,1611,exact,1808,hgis,conceptos:obispado
OBPECU00,Obispado de Cuzco,1538,exact,1808,hgis,conceptos:obispado
OBPEAR00,Obispado de Arequipa,1612,exact,1808,hgis,conceptos:obispado
OBCCLP00,Obispado de La Paz,1605,exact,1808,hgis,conceptos:obispado
OBCCCC00,Arzobispado de La Plata,1609,exact,1808,hgis,conceptos:arzobispado
OBPETR00,Obispado de Trujillo,1577,exact,1808,hgis,conceptos:obispado
OBQUCU00,Obispado de Cuenca,1787,exact,1808,hgis,conceptos:obispado
OBQUQU00,Obispado de Quito,1545,exact,1808,hgis,conceptos:obispado
OBQUMA00,Obispado de Maynas,1808,exact,1808,hgis,conceptos:obispado
OBQUPO00,Obispado de Popayan,1547,exact,1808,hgis,conceptos:obispado
OBCHSA00,Obispado de Santiago,1561,exact,1808,hgis,conceptos:obispado
OBCHCO00,Obispado de Concepcion,1600,exact,1808,hgis,conceptos:obispado
OBRPPA00,Obispado de Paraguay,1547,exact,1808,hgis,conceptos:obispado
OBRPBA00,Obispado de Buenos Aires,1627,exact,1808,hgis,conceptos:obispado
OBRPCO00,Obispado de Tucuman,1570,exact,1808,hgis,conceptos:obispado
OBRPSA00,Obispado de Salta,1806,exact,1808,hgis,conceptos:obispado
OBGUCH00,Obispado de Chiapas,1544,exact,1808,hgis,conceptos:obispado
OBGUGU00,Obispado de Guatemala,1534,exact,1742,exact,conceptos:obispado
OBGUGU00,Arzobispado de Guatemala,1743,exact,1808,hgis,conceptos:arzobispado
OBGULE00,Obispado de Leon,1531,exact,1808,hgis,conceptos:obispado
OBGUCY00,Obispado de Honduras,1531,exact,1808,hgis,conceptos:obispado
OBNEYU00,Obispado de Yucatan,1561,exact,1808,hgis,conceptos:obispado
PRPELI00,Gobernacion-Intendencia de Lima,1784,exact,1808,hgis,conceptos:intendencia
PRPETR00,Gobernacion-Intendencia de Trujillo,1784,exact,1808,hgis,conceptos:intendencia
PRPEAR00,Gobernacion-Intendencia de Arequipa,1784,exact,1808,hgis,conceptos:intendencia
PRPEHU00,Gobernacion-Intendencia de Huamanga,1784,exact,1808,hgis,conceptos:intendencia
PRPECU00,Gobernacion-Intendencia de Cuzco,1784,exact,1808,hgis,conceptos:intendencia
PRPEHV00,Gobernacion-Intendencia de Huancavelica,1784,exact,1808,hgis,conceptos:intendencia
PRPETA00,Gobernacion-Intendencia de Tarma,1784,exact,1808,hgis,conceptos:intendencia
PRCCPU00,Gobernacion-Intendencia de Puno,1784,exact,1808,hgis,conceptos:intendencia
PRCHSA00,Gobernacion-Intendencia de Santiago,1786,exact,1808,hgis,conceptos:intendencia
PRCHCO00,Gobernacion-Intendencia de Concepcion,1786,exact,1808,hgis,conceptos:intendencia
PRCHCH00,Gobernacion de Chiloe,1601,exact,1783,not_before,conceptos:gobernacion
PRCHCH00,Gobernacion-Intendencia de Chiloe,1784,exact,1788,exact,conceptos:intendencia
PRCHCH00,Gobernacion de Chiloe,1789,exact,1808,hgis,conceptos:gobernacion
PRRPTU00,Gobernacion-Capitania General de Tucuman,1564,exact,1783,exact,conceptos:gobernacion
PRRPMIMI,Misiones de Guaranies,1111,start,1767,exact,conceptos:misiones
PRRPMIMI,Gobernacion de Misiones,1768,exact,1803,exact,conceptos:gobernacion
PRRPMIMI,Gobernacion Politico-Militar de Misiones,1804,exact,1805,exact,conceptos:gobernacion
PRRPSA00,Gobernacion-Intendencia de Salta,1784,exact,1808,hgis,conceptos:intendencia
PRRPCO00,Gobernacion-Intendencia de Cordoba,1784,exact,1808,hgis,conceptos:intendencia
PRRPBA00,Gobernacion-Capitania General de Rio de la Plata,1620,exact,1783,exact,conceptos:gobernacion
PRRPBA00,Gobernacion-Intendencia de Buenos Aires,1784,exact,1808,hgis,conceptos:intendencia
