ID;fuenteID;entidadID;tipo;implicito;foco;tiempo;grupo;Citacion
4;bueno;JUCHCOCH;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
5;bueno;JUCHCOCO;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
6;bueno;JUCHCOCQ;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
8;bueno;JUCHCOIT;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
9;bueno;JUCHCOJF;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
11;bueno;JUCHCOPU;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
12;bueno;JUCHCORE;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
13;bueno;JUCHCOVA;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
15;bueno;JUCHSAAC;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
16;bueno;JUCHSAVA;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
17;bueno;JUCHSACO;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
18;bueno;JUCHSACP;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
19;bueno;JUCHSACQ;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
23;bueno;JUCHSAMA;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
24;bueno;JUCHSAME;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
26;bueno;JUCHSAQU;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
27;bueno;JUCHSARA;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
28;bueno;JUCHSASA;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
29;bueno;JUCHCYCY;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
32;bueno;PRCHCH00;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
33;bueno;OBCHSA00;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
34;bueno;OBCHCO00;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
35;bueno;FRCHBMBM;Relación;no;no;1764-1776;Relaciones;Cosme Bueno, Descripción del virreynato del Perú (Lima 1764-1776)
36;goyeneche;SUCH0000;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
37;goyeneche;RERECH00;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
38;goyeneche;PRCHSA00;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
40;goyeneche;PRCHCO00;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
41;goyeneche;PRCHCH00;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
42;goyeneche;PTCHCHCM;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
43;goyeneche;JUCHCOCH;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
44;goyeneche;JUCHCOCO;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
45;goyeneche;JUCHCOCQ;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
46;goyeneche;JUCHCOIL;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
47;goyeneche;JUCHCOIT;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
48;goyeneche;JUCHSAME;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
49;goyeneche;JUCHCOJF;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
52;goyeneche;JUCHCOPU;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
53;goyeneche;JUCHCORE;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
54;goyeneche;JUCHCOVA;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
55;goyeneche;JUCHCOAR;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
56;goyeneche;JUCHSAAC;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
58;goyeneche;JUCHSACO;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
59;goyeneche;JUCHSACP;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
60;goyeneche;JUCHSACQ;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
63;goyeneche;JUCHSAMA;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
65;goyeneche;JUCHSAQU;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
66;goyeneche;JUCHSARA;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
67;goyeneche;JUCHSASA;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
68;goyeneche;JUCHSAVA;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
70;goyeneche;FRCHBMBM;Relación;no;no;1796;Relaciones;Vicente Carvallo Goyeneche, Descripción Histórico-Geográfica del Reino de Chile (1796)
71;rel-geo-1756;SUCH0000;Relación;si;implícito;1756;Relaciones;Francisco de Solano, Relaciones geográficas del Reino de Chile, 1756 (Santiago de Chile 1995)
72;rel-geo-1756;RERECH00;Relación;si;implícito;1756;Relaciones;Francisco de Solano, Relaciones geográficas del Reino de Chile, 1756 (Santiago de Chile 1995)
73;rel-geo-1756;PRCHSA00;Relación;si;implícito;1756;Relaciones;Francisco de Solano, Relaciones geográficas del Reino de Chile, 1756 (Santiago de Chile 1995)
74;rel-geo-1756;AUSA0000;Relación;si;implícito;1756;Relaciones;Francisco de Solano, Relaciones geográficas del Reino de Chile, 1756 (Santiago de Chile 1995)
75;rel-geo-1756;PRCHCO00;Relación;si;implícito;1756;Relaciones;Francisco de Solano, Relaciones geográficas del Reino de Chile, 1756 (Santiago de Chile 1995)
76;rel-geo-1756;PRCHCH00;Relación;no;no;1756;Relaciones;Francisco de Solano, Relaciones geográficas del Reino de Chile, 1756 (Santiago de Chile 1995)
87;rel-geo-1756;JUCHCOCH;Relación;no;no;1756;Relaciones;Francisco de Solano, Relaciones geográficas del Reino de Chile, 1756 (Santiago de Chile 1995)
