ID;gz_id;republica;fuente_ID;start;start_ex;end_;end_ex;check;template;es_parte_de;check1;template1
1;1000001;Cabildo;s.d.;1111;start;9999;end;-1;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000001]]@republica: Cabildo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000001@----;;;
2;1000002;Cabildo;s.d.;1111;start;9999;end;-1;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000002]]@republica: Cabildo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000002@----;;;
3;1000003;Cabildo;s.d.;1715;exact;9999;end;-1;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000003]]@republica: Cabildo@Desde: 1715@Hasta: 9999@Desdefuzzy: exact@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000003@----;;;
4;1000003;s.d.;s.d.;1111;exact;1714;exact;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000003]]@republica: s.d.@Desde: 1111@Hasta: 1714@Desdefuzzy: exact@Hastafuzzy: exact@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000003@----;;;
5;1000004;Cabildo;s.d.;1111;start;9999;end;-1;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000004]]@republica: Cabildo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000004@----;;;
6;1000005;Cabildo;s.d.;1111;start;9999;end;-1;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000005]]@republica: Cabildo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000005@----;;;
7;1000006;s.d.;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000006]]@republica: s.d.@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000006@----;;;
8;1000007;Cabildo;s.d.;1111;start;9999;end;-1;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000007]]@republica: Cabildo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000007@----;;;
9;1000008;Cabildo;s.d.;1111;start;9999;end;-1;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000008]]@republica: Cabildo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000008@----;;;
10;1000009;s.d.;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000009]]@republica: s.d.@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000009@----;;;
11;1000010;s.d.;s.d.;1111;exact;1589;ca;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000010]]@republica: s.d.@Desde: 1111@Hasta: 1589@Desdefuzzy: exact@Hastafuzzy: ca@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000010@----;;;
12;1000010;Cabildo;s.d.;1596;exact;9999;end;-1;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000010]]@republica: Cabildo@Desde: 1596@Hasta: 9999@Desdefuzzy: exact@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000010@----;;;
13;1000011;s.d.;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000011]]@republica: s.d.@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000011@----;;;
14;1000012;Cabildo;gerhard-north;1692;exact;9999;end;-1;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000012]]@republica: Cabildo@Desde: 1692@Hasta: 9999@Desdefuzzy: exact@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:gerhard-north]]@ID:1000012@----;;;
15;1000012;Cabildo;gerhard-north;1111;exact;1679;exact;-1;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000012]]@republica: Cabildo@Desde: 1111@Hasta: 1679@Desdefuzzy: exact@Hastafuzzy: exact@Fuente_wiki:  [[:fuentes:gerhard-north]]@ID:1000012@----;;;
16;1000013;s.d.;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000013]]@republica: s.d.@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000013@----;;;
17;1000014;Cabildo;s.d.;1111;start;9999;end;-1;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000014]]@republica: Cabildo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000014@----;;;
18;1000015;Cabildo;s.d.;1111;start;9999;end;-1;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000015]]@republica: Cabildo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000015@----;;;
19;1000016;Cabildo;s.d.;1111;start;9999;end;-1;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000016]]@republica: Cabildo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000016@----;;;
20;1000017;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000017]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000017@----;;;
21;1000018;Cabildo;s.d.;1111;exact;1676;exact;-1;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000018]]@republica: Cabildo@Desde: 1111@Hasta: 1676@Desdefuzzy: exact@Hastafuzzy: exact@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000018@----;;;
22;1000018;No;s.d.;1677;exact;1784;exact;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000018]]@republica: No@Desde: 1677@Hasta: 1784@Desdefuzzy: exact@Hastafuzzy: exact@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000018@----;;;
23;1000018;Cabildo;s.d.;1785;exact;9999;end;-1;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000018]]@republica: Cabildo@Desde: 1785@Hasta: 9999@Desdefuzzy: exact@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000018@----;;;
24;1000019;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1000019]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1000019@----;;;
25;1005101;No;s.d.;1778;exact;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:1005101]]@republica: No@Desde: 1778@Hasta: 9999@Desdefuzzy: exact@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:1005101@----;;;
26;9901127;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:9901127]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:9901127@----;;;
27;9901124;s.d.;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:9901124]]@republica: s.d.@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:9901124@----;;;
28;9900746;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:9900746]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:9900746@----;;;
29;5600830;s.d.;s.d.;1111;ca;1793;ca;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:5600830]]@republica: s.d.@Desde: 1111@Hasta: 1793@Desdefuzzy: ca@Hastafuzzy: ca@Fuente_wiki:  [[:fuentes:s.d.]]@ID:5600830@----;;;
30;9901121;s.d.;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:9901121]]@republica: s.d.@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:9901121@----;;;
31;9901120;s.d.;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:9901120]]@republica: s.d.@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:9901120@----;;;
32;9900241;s.d.;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:9900241]]@republica: s.d.@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:9900241@----;;;
33;9901123;s.d.;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:9901123]]@republica: s.d.@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:9901123@----;;;
34;9901122;s.d.;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:9901122]]@republica: s.d.@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:9901122@----;;;
35;9000011;Cabildo;s.d.;1634;exact;9999;end;-1;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:9000011]]@republica: Cabildo@Desde: 1634@Hasta: 9999@Desdefuzzy: exact@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:9000011@----;;;
