ID;gz_id;foreignkey;foreignsite;foreignID;foreignprefix
1;9901068;whg:167886;whg;167886;https://whgazetteer.org/places/
2;9901067;whg:167885;whg;167885;https://whgazetteer.org/places/
3;9901066;whg:167884;whg;167884;https://whgazetteer.org/places/
4;9901065;whg:167883;whg;167883;https://whgazetteer.org/places/
7;9901059;whg:167879;whg;167879;https://whgazetteer.org/places/
9;9901057;whg:167877;whg;167877;https://whgazetteer.org/places/
10;9901056;whg:167876;whg;167876;https://whgazetteer.org/places/
11;9901055;whg:167875;whg;167875;https://whgazetteer.org/places/
12;9901054;whg:167874;whg;167874;https://whgazetteer.org/places/
13;9901052;whg:167873;whg;167873;https://whgazetteer.org/places/
14;9901050;whg:167872;whg;167872;https://whgazetteer.org/places/
15;9901049;whg:167870;whg;167870;https://whgazetteer.org/places/
16;9901048;whg:167869;whg;167869;https://whgazetteer.org/places/
17;9901047;gn:3681815;gn;3681815;https://www.geonames.org/
18;9901047;wd:Q963379;wd;Q963379;https://www.wikidata.org/wiki/
19;9901047;whg:167868;whg;167868;https://whgazetteer.org/places/
20;9901046;gn:3685529;gn;3685529;https://www.geonames.org/
21;9901046;wd:Q515211;wd;Q515211;https://www.wikidata.org/wiki/
22;9901046;whg:167867;whg;167867;https://whgazetteer.org/places/
23;9901045;wd:Q951897;wd;Q951897;https://www.wikidata.org/wiki/
24;9901045;gn:3686515;gn;3686515;https://www.geonames.org/
25;9901045;whg:167866;whg;167866;https://whgazetteer.org/places/
26;9901044;whg:167865;whg;167865;https://whgazetteer.org/places/
27;9901043;whg:167864;whg;167864;https://whgazetteer.org/places/
28;9901042;whg:167863;whg;167863;https://whgazetteer.org/places/
29;9901041;whg:167862;whg;167862;https://whgazetteer.org/places/
30;9901040;wd:Q2431058;wd;Q2431058;https://www.wikidata.org/wiki/
31;9901040;gn:3686262;gn;3686262;https://www.geonames.org/
32;9901040;whg:167861;whg;167861;https://whgazetteer.org/places/
33;9901039;whg:167859;whg;167859;https://whgazetteer.org/places/
34;9901038;wd:Q1654867;wd;Q1654867;https://www.wikidata.org/wiki/
35;9901038;gn:3667701;gn;3667701;https://www.geonames.org/
36;9901038;loc:n2003047119;loc;n2003047119;https://lccn.loc.gov/
37;9901038;whg:167858;whg;167858;https://whgazetteer.org/places/
38;9901034;whg:167857;whg;167857;https://whgazetteer.org/places/
39;9901033;whg:167856;whg;167856;https://whgazetteer.org/places/
40;9901032;wd:Q23688527;wd;Q23688527;https://www.wikidata.org/wiki/
41;9901032;gn:3678405;gn;3678405;https://www.geonames.org/
42;9901032;whg:167854;whg;167854;https://whgazetteer.org/places/
43;9901032;wd:Q23688527;wd;Q23688527;https://www.wikidata.org/wiki/
44;9901032;gn:3678405;gn;3678405;https://www.geonames.org/
45;9901032;whg:167855;whg;167855;https://whgazetteer.org/places/
46;9901031;gn:3671279;gn;3671279;https://www.geonames.org/
47;9901031;wd:Q1656309;wd;Q1656309;https://www.wikidata.org/wiki/
48;9901031;whg:167853;whg;167853;https://whgazetteer.org/places/
49;9901030;whg:167852;whg;167852;https://whgazetteer.org/places/
50;9901029;whg:167850;whg;167850;https://whgazetteer.org/places/
51;9901028;whg:167849;whg;167849;https://whgazetteer.org/places/
52;9901027;gn:3587578;gn;3587578;https://www.geonames.org/
53;9901027;wd:Q2723903;wd;Q2723903;https://www.wikidata.org/wiki/
54;9901027;whg:167848;whg;167848;https://whgazetteer.org/places/
55;9901026;whg:167847;whg;167847;https://whgazetteer.org/places/
56;9901025;whg:167846;whg;167846;https://whgazetteer.org/places/
57;9901024;whg:167845;whg;167845;https://whgazetteer.org/places/
58;9901023;whg:167844;whg;167844;https://whgazetteer.org/places/
