gz_id;label;start;end_;partido_generico;provincia_generica;region;iglesia_cat;servido_por;categoria;categoria_especial;cabildo;parcialidad;es_parte_de;lat;lon;cert;metodo;curato_generico;pais;nombre;variantes;nombrehoy;santo;start_ex;end_ex;fuente_ID;importancia
1000045;San Juan del Rio;1756;9999;San Juan del Rio;Durango;GDJ;Curato;Secular;Poblacion;"""Pueblo""";s.d.;No;1000000;24.7841;-104.4703;Buena;Geoservice;San Juan del Rio;MEX;San Juan del Rio;;;San Juan;ca;end;gerhard-north;5
1000000;[-];1111;9999;;;;[-];[-];[-];[-];No;No;1000000;90;0;Buena;Geoservice;[-];;[-];[-] @;;[-];start;end;desconocida;6
1000001;Mexico;1540;1808;Mexico;Mexico;NES;Sagrario;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;19.4338;-99.1331;Exacta;Geoservice;Mexico;MEX;Mexico;;Ciudad de Mexico;;exact;hgis;gerhardNE;12
1000001;Mexico;1521;1539;Mexico;Mexico;NES;Curato;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;19.4338;-99.1331;Exacta;Geoservice;Mexico;MEX;Mexico;;Ciudad de Mexico;;exact;hgis;gerhardNE;12
1000002;Guadalajara;1532;1532;Guadalajara;Guadalajara;GDJ;s.d.;s.d.;Villa;Villa;Cabildo;No;1000000;21.3656;-102.8482;Buena;Descripcion moderna;;MEX;Guadalajara;;Guadalajara;;exact;exact;gerhard-north;3
1000002;Guadalajara;1533;1540;Guadalajara;Guadalajara;GDJ;s.d.;s.d.;Villa;Villa;Cabildo;No;1000000;20.6261;-103.2433;Suficiente;Descripcion moderna;;MEX;Guadalajara;;Guadalajara;;exact;exact;gerhard-north;3
1000002;Guadalajara;1541;1541;Guadalajara;Guadalajara;GDJ;s.d.;s.d.;Villa;Villa;Cabildo;No;1000000;20.8179;-103.1893;Suficiente;Descripcion moderna;;MEX;Guadalajara;;Guadalajara;;exact;exact;gerhard-north;3
1000002;Guadalajara;1542;1547;Guadalajara;Guadalajara;GDJ;Curato;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;20.6761;-103.347;Buena;Geoservice;Guadalajara;MEX;Guadalajara;;Guadalajara;;exact;exactly;gerhard-north;6
1000002;Guadalajara;1548;9998;Guadalajara;Guadalajara;GDJ;Sagrario;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;20.6761;-103.347;Buena;Geoservice;Guadalajara;MEX;Guadalajara;;Guadalajara;;exact;exactly;gerhard-north;9
1000003;Chihuahua;1708;1714;Chihuahua;Durango;GDJ;Anexo;s.d.;Poblacion;Real de minas;s.d.;No;1000000;28.6543;-106.0839;Buena;Geoservice;Nombre de Dios;MEX;Chihuahua;San Francisco de Cuellar @;Chihuahua;;exact;exact;gerhard-north;4
1000003;Chihuahua;1715;9999;Chihuahua;Durango;GDJ;Curato;s.d.;Villa;Real de minas;Cabildo;No;1000000;28.6543;-106.0839;Buena;Geoservice;Chihuahua;MEX;Chihuahua;San Francisco de Cuellar @;Chihuahua;;exact;end;gerhard-north;6
1000004;Durango;1620;9999;Durango;Durango;GDJ;Sagrario;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;24.0248;-104.6699;Exacta;Geoservice;Durango;MEX;Durango;Guadiana;Durango;;exact;end;gerhard-north;8
1000004;Durango;1563;1619;Durango;Durango;GDJ;Curato;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;24.0248;-104.6699;Exacta;Geoservice;Durango;MEX;Durango;Guadiana;Durango;;exact;end;gerhard-north;7
1000005;Guanajuato;1546;1740;Guanajuato;Guanajuato;NES;Curato;s.d.;Villa;Real de minas;Cabildo;No;1000000;21.0166;-101.2527;Buena;Geoservice;Guanajuato;MEX;Real de Guanajuato;;Guanajuato;;exact;exact;gerhardNE;5
1000005;Guanajuato;1741;9999;Guanajuato;Guanajuato;NES;Curato;s.d.;Ciudad;Real de minas;Cabildo;No;1000000;21.0166;-101.2527;Buena;Geoservice;Guanajuato;MEX;Real de Guanajuato;;Guanajuato;;exact;end;gerhardNE;7
1000006;Acapulco;1569;1598;Acapulco;Mexico;NES;Curato;s.d.;Poblacion;"""Pueblo""";s.d.;No;1000000;16.8487;-99.9085;Exacta;Geoservice;Acapulco;MEX;Acapulco;Ciudad de los Reyes @;Acapulco de Juarez;;exact;exact;gerhardNE;4
1000006;Acapulco;1599;9999;Acapulco;Mexico;NES;Curato;s.d.;Ciudad;Plaza;s.d.;No;1000000;16.8487;-99.9085;Exacta;Geoservice;Acapulco;MEX;Acapulco;Ciudad de los Reyes @;Acapulco de Juarez;;exact;end;gerhardNE;5
1000006;Acapulco;1550;1568;Acapulco;Mexico;NES;s.d.;s.d.;Poblacion;"""Pueblo""";s.d.;No;1000000;16.8487;-99.9085;Exacta;Geoservice;Acapulco;MEX;Acapulco;Ciudad de los Reyes @;Acapulco de Juarez;;exact;exact;gerhardNE;3
1000007;Pachuca;1766;9999;Pachuca;Mexico;NES;Curato;s.d.;Ciudad;Real de minas;Cabildo;No;1000000;20.1216;-98.7331;Buena;Geoservice;Pachuca;MEX;Real de Pachuca;Real de Pachuca @;;;not_after;end;gerhardNE;6
1000007;Pachuca;1569;1765;Pachuca;Mexico;NES;Curato;s.d.;Villa;Real de minas;Cabildo;No;1000000;20.1216;-98.7331;Buena;Geoservice;Pachuca;MEX;Real de Pachuca;Real de Pachuca @;;;exact;not_after;gerhardNE;5
1000008;Valladolid;1545;1579;Valladolid;Michoacan;NES;Curato;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;19.7039;-101.1847;Buena;Geoservice;Valladolid;MEX;Valladolid;;;;exact;end;tanck;6
1000008;Valladolid;1580;9999;Valladolid;Michoacan;NES;Sagrario;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;19.7039;-101.1847;Buena;Geoservice;Valladolid;MEX;Valladolid;;;;exact;end;tanck;7
1000009;Compostela;1540;9999;Compostela;Guadalajara;GDJ;Curato;s.d.;Ciudad;Ciudad;s.d.;No;1000000;21.2379;-104.9012;Exacta;Geoservice;Compostela;MEX;Compostela;;Compostela;;exact;end;gerhard-north;5
1000010;San Luis Rey de Francia;1582;1589;Monterrey;Nuevo Leon;GDJ;s.d.;s.d.;Villa;Villa;s.d.;No;1000000;25.671;-100.31;Exacta;Geoservice;Monterrey;MEX;San Luis Rey de Francia;;Monterrey;San Luis;exact;ca;gerhard-north;5
1000038;Papasquiaro;1787;9999;Papasquiaro;Durango;GDJ;Curato;s.d.;Villa;Villa;No;No;1000000;25.045;-105.4203;Buena;Geoservice;Papasquiaro;MEX;Santiago Papasquiaro;;;Santiago;exact;end;tanck;5
1000038;Papasquiaro;1111;1752;Papasquiaro;Durango;GDJ;Mision cabecera;SJ;Pueblo;Pueblo de indios;s.d.;No;1000000;25.045;-105.4203;Buena;Geoservice;Papasquiaro;MEX;Santiago Papasquiaro;;;Santiago;start;exact;tanck;5
1000039;Parral;1631;9999;Parral;Durango;GDJ;Curato;s.d.;Villa;Real de minas;Cabildo;No;1000000;26.933;-105.6632;Buena;Geoservice;Parral;MEX;Parral;;;;exact;end;gerhard-north;7
