ID;gz_id;label;nombre;nombrehoy;variantes;santo;fuente_ID;start;start_ex;end_;end_ex;check;template;check1;template1;wikitext1;wikitext2;wikitext
1;5000031;La Palma;La Palma;;;;estado_1794;1581;exact;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:5000031]]@Nombre: La Palma@Santo: @Desde: 1581@Hasta: 9999@Desdefuzzy: exact@Hastafuzzy: end@ID:5000031@----;;;;;
2;5600524;Mocoa;Agreda Mocoa;;San Miguel de Nieto @ Agreda;San Miguel;wikipedia;1651;exact;1690;not_before;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:5600524]]@Nombre: Agreda Mocoa@Santo: San Miguel@Desde: 1651@Hasta: 1690@Desdefuzzy: exact@Hastafuzzy: not_before@ID:5600524@----;;;;;
3;5600524;San Miguel Mocoa;Mocoa;;San Miguel de Nieto @ Agreda;San Miguel;wikipedia;1691;not_before;1749;ca;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:5600524]]@Nombre: Mocoa@Santo: San Miguel@Desde: 1691@Hasta: 1749@Desdefuzzy: not_before@Hastafuzzy: ca@ID:5600524@----;;;;;
4;5600051;San Vicente;San Vicente Ferrer de Paez;;;;wikipedia;1562;exact;1570;ca;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:5600051]]@Nombre: San Vicente Ferrer de Paez@Santo: @Desde: 1562@Hasta: 1570@Desdefuzzy: exact@Hastafuzzy: ca@ID:5600051@----;;;;;
5;5600051;San Juan de Huila;San Juan de Huila;;;;wikipedia;1571;ca;1581;ca;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:5600051]]@Nombre: San Juan de Huila@Santo: @Desde: 1571@Hasta: 1581@Desdefuzzy: ca@Hastafuzzy: ca@ID:5600051@----;;;;;
6;5600051;Caloto;Caloto;;;;wikipedia;1543;exact;1561;exact;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:5600051]]@Nombre: Caloto@Santo: @Desde: 1543@Hasta: 1561@Desdefuzzy: exact@Hastafuzzy: exact@ID:5600051@----;;;;;
7;1003044;Guila;San Pablo Guila;;;San Pablo;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1003044]]@Nombre: San Pablo Guila@Santo: San Pablo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1003044@----;;;;;
8;9901129;Jocotlan;Jocotlan;;Xocotlan;Santo Domingo;gerhard-north;1549;not_after;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:9901129]]@Nombre: Jocotlan@Santo: Santo Domingo@Desde: 1549@Hasta: 9999@Desdefuzzy: not_after@Hastafuzzy: end@ID:9901129@----;;;;;
9;9901130;Amaxaque;Amaxaque;;Amajac;;gerhard-north;1566;ca;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:9901130]]@Nombre: Amaxaque@Santo: @Desde: 1566@Hasta: 9999@Desdefuzzy: ca@Hastafuzzy: end@ID:9901130@----;;;;;
10;9901131;Copala;Copala;;;;gerhard-north;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:9901131]]@Nombre: Copala@Santo: @Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:9901131@----;;;;;
