EntidadID;Descripcion-es;Description-en
AUCC0000;"La Audiencia de Charcas  tenía menos independencia de los virreyes del Perú que Chile, Nuevo Reino de Granada o Tierra Firme por no ser considerada ""audiencia pretorial"" (su presidente no tenía facultades de capitán general).";dummy
AUGD0000;"Los ámbitos territoriales entre Guadalajara y México en el Septentrión no están siempre muy claras, y partes litigantes a veces explotaron los conflictos existentes, dirigiéndose a la institución que les pareció más. Coahuila, Texas y Nuevo México son tres provincias que a veces se describen como pertenecientes a la Audiencia de México (([[:fuentes:jimenez-nunez]], p. 130; además la [[:fuentes:relacion-1737]])), pero otras veces figuran entre las de Guadalajara. Alcauter (([[:fuentes:alcauter]], p. 65)) cita una real cédula de 1779 que aclara el asunto y las declara como parte de Guadalajara. La provincia de Nuevo México, originalmente de la Audiencia de Guadalajara, depués de su reconquista en 1698 pasó a la de México.  Sin embargo, en 1774, ya la encontramos otra vez en la Audiencia de Guadalajara, hacia 1740 todavía fue parte de la de México (([[:fuentes:teatro-americano]])). Otro problema es que la real cédula de 1779 no menciona la situación de Nuevo León. Esa provincia, por lo menos en el siglo XVII, dependió de la Audiencia de México. También tenemos que considerar que las comunidades tlaxcaltecas dispersas en todo el Septentrión, así como algunas plazas militares (San Blas) fueron sujetas a México y no a Guadalajara. Pero solo en el caso de Colotlán este asuntó adquirió calidad territorial, mientras que en otros lugares (Parras, Saltillo, El Álamo), debe comprenderse este fuero de forma puntual, unido a la persona, y no al territorio. La Historia General de España  (([[:fuentes:historia-general-espana]])) mantiene que la jurisdicción de Nombre de Dios, aunque exclave de Nueva España, fue sujeta a la Audiencia de Guadalajara. Lo mismo vale, aunque Gerhard (([[:fuentes:gerhard-north]])) opina al contrario, con el real de Bolaños, cuyo corregidor fue nombrado por el virrey, pero en cuyos títulos ((AGI,Mexico,1228)) se expresa claramente a partir de su creación que estaba en el distrito de la audiencia de Guadalajara, contradiciendo las instrucciones para el primer corregidor que habla de la ""separación de este real del govierno de la Nueva Galicia y Audiencia de Guadalajara"" ((AGI,Guadalajara,115,carpeta 4a,f.1, quedando para la Audiencia de Guadalajara solo la competencia en apelaciones (([[:fuentes:gerhard-north]]) )). Resulta que el rey no aprobó esa segregación, ordenándo al Marqués de las Amarillas que revoque tal disposición ""ilegal"" de Revillagigedo. Sin embargo, este no cumplió sino dirigió razón del incumplimiento en 1757. No he encontrado la decisión definitiva, pero la myoría de documentos sobre el corregimiento indican que luego cayó dentro de la Audiencia de Guadalajara.Y luego hay el caso de las alcaldías mayores ""sufragáneas"" de la Audiencia de Guadalajara pero que pertenecían al gobierno de Nueva España que Gerhard (([[:fuentes:gerhard-north]])) pone en el distrito de Guadalajara. Sin embargo, a veces se mencionan como parte de la audiencia de México (p.e.  Los nombramientos reales de alcaldes mayores de Sayula).((AGI,Mexico,1220))  Pero esto será reflejo de la situación ambigua y pertenencia a  Nueva España.";dummy
AUQU0000;La Audiencia de Quito se suprimió por un corto período a partir de 1718, pasando su distrito a la Audiencia de Santa Fe.  En 1722 fue restablecida (([[:fuentes:herzog]])). La Audiencia de Quito tradicionalmente tenía menos independencia de los virreyes del Perú que Chile o Tierra Firme.;dummy
AUSA0000;"""Reino de Chile"" enlaza a esta página porque suele ser el ámbito de la Audiencia más que el ámbito de la [[SUCH0000|capitanía general]] lo que usualmente se asocia con el término del Reino de Chile. Así, incluye por ejemplo [[PRCHCH00|Chiloé]] a pesar de la dependencia de esa provincia del [[SUPE0000|virreinato peruano]]. Sin embargo, la coincidencia del concepto de ""reino"" y ""audiencia"" tampoco era inequívoca.";dummy
CGNGTF00;"El ""Reino de Tierra Firme"" se compuso de varias provincias que se entendían como un conjunto a través de varias instituciones. A principios del siglo XVIII, el eje fue la Real Audiencia de Panamá, con dos gobernadores-capitanes generales para Veraguas y Panamá (con gobernadores subordinados en Portobelo, Chagres y Darién). Sin embargo, el título de capitán general para el gobernador de Veraguas desaparece en la década de 1710, sujetándose todas las provincias al ""gobernador, capitán general y presidente (de la Audiencia) de Panamá"". Aun así, Tierra Firme (o su gobernador) siempre se encontró en una posición subordinada,  a Perú, primero, y a Nueva Granada, luego. Tierra Firme sigue considerándose un conjunto territorial también cuando se disuelve  el nexo institucional durante el corto período de la suspensión de la Audiencia entre 1718 y 1722. Cuando se instaló el virreinato de Nueva Granada por segunda vez,  a partir de 1741, los gobernadores de Panamá pierden la capitanía general, creándose como sustituto una ""comandancia general"" subordinada al virrey, quien ahora se titula ""capitán general de Nueva Granada y Tierra Firme"". Es decir, el concepto de ""Tierra Firma"" perdura. Y aunque en 1756, depués de abolirse la Audiencia de Panamá, el único nexo institucional fue el de la comandancia general - puramente militar - sobrevivió la idea de que la ""Tierra Firme"" fuera una de tres partes del virreinato (con Santa Fe y Quito). Los gobernadores de Panamá y los virreyes en Santa Fe se debatieron la jerarquía de las demás provincias de Tierra Firme. En 1766 se decreta cierta subordinación al gobernador de Panamá, mientras que en 1779 se definen como iguales. Sin embargo, ""se aprecia que esta igualdad no afecta a su subordinación al de Panamá"" (([[:fuentes:garcia-gallo]],p.877,n.225)).";dummy
CGPI0000;"Al crearse la nueva comandancia general de Provincias Internas, su comandante tenía también el gobierno superior y la superintendencia de Real Hacienda - es decir que fue independiente del virrey aunque sus provincias mantenían el lazo con el virreinato a través de la competencia de la Real Audiencia de Guadalajara. Cuando se instalaron las intendencias inmediatamente se produjo un emocional conflicto con el nuevo intendente de Durango, quien solo reconoció al virrey como superintendente (la ordenanza no se refirió expicitamente al caso de las provincias internas, creando un margen de interpretación): AGI,Guadalajara,287, ""Copia del expediente sobre la absoluta independencia...,15 de julio de 1786"". En vista de la reforma, las provincias internas se dividieron en oriental y occidental en 1787, con facultades limitadas a lo militar. Aunque ya en 1791 se reunificaron, la comandancia general no volvería a tener la misma importancia. Hubo varios reformas de competencias. En algunos momentos (1791; 1793-1799 o 1804) volvió a ser totalmente independiente y con la superintendencia, pero sin posición sólida hacia los intendente y gobernadores, lo que creó ""perjuicios"" y causó al virrey ordenar su nueva sujeción en 1799 (AGI,Indiferente,43: Carta del virrey Azanza, 30 de agosto de 1799).  Por supuesto, es dudoso que el virrey, de quien era independiente el comandante general, pudiera revocar ese fuero y no conocemos decisión real o pleito sobre el asunto. Sin embargo, el hecho de que Nava, al dejar su cargo en 1804, pidió (sin éxito) ser exemptuado de juicio de residencia por haber sido su cargo ""puramente militar"" indica que las funciones del comandante general fueron decididamente militares (Guadalajara,268, Expediente sobre la residencia del comandante general de Provincias internas Don Pedro de Nava [...]. Consulta resuelta el 21 julio 1805). Una nueva división de las Provincias Internas, ordenada en 1804, no se realizó.";dummy
CGQUMA00;"La creación de la comandancia mayor de Maynas en 1802 y su agregación a Lima fue la realización casi  idéntica de reformas sugeridas por Francisco de Requena ya décadas antes, quien para 1784 como comisario de la comisión de límites y gobernador escribió un informe en el que ya se intitula ""comandante general de su provincia (([[:fuentes:Maynas]])) y de las de Quijos y Macas"".";dummy
FRANICXX;A partir de 1622 , en la cartografía dominó la representación de California, con la Alta California, como isla. A pesar de los avances en el conocimiento geográfico a través de la labor del jesuita Eusebio Kino al rededor de 1700, persistió este error mucho tiempo. En nuestro sistema, tildamos así las areas cercanas al Pacífico más allá de la parte controlada de las misiones de la California propiamente dicha hasta la península de Olympia/el estrecho de Juan de Fuca, nombrado así en honor a un explorador cuyos cuentos probablemente dieron origen al mito de la isla de California .;dummy
FRANSSPA;Las zonas al este del río Colorado e inmediatamente al norte de las misiones de la pimería alta/los presidios de Sonora hasta el río Gila fueron habitados principalmente por la etnia de los papagos, por lo que a veces aparece el título de papagería o provincia de los papagos. En teoría, esta zona fuera del control español fue parte de Sonora y Sinaloa, y (([[:fuentes:barbastro]])) en 1793 hasta la cuenta directamente como parte de la Pimería alta.;dummy
FRANXXXX;Anian regio en los siglos XVI y XVII era el  nombre para un reino mítico en las zonas de  la América septentrional del Pacífico y de la Siberia. En el siglo XVIII ya no se usó tanto el término pero aun así lo empleamos para acentuar lo utópico de la pertenencia de las vastas zonas desconocidas al Imperio español. Con la convención de Nutca de 1795, los españoles cedían sus exigencias al norte de California, pero había dos interpretaciones distintas: mientras que para los británicos, esto significaba todo más allá de la bahía de San Francisco, para los españoles, el límites fue el estrecho de Juan de Fuca - i.e. el estrecho entre la isla de Vancouver y la península Olympia en el estado de Washington.;dummy
