numID;nombre_pueblo;regioncultural;mesogroup;estatus;relacionado;variantes;macrogroup;provinciacultural;peopleID
301;Abipones;;Abipones;Mesogroup;;;;;abipones_301
302;Achaguas;;Llanos;;;;;;achaguas_302
304;Acoclames;;Mapimi;;;;;;acoclames_304
305;Aguaruna;;Jivaros;;;;;;aguaruna_305
306;Akanceas;;Osage;;;Arkansa;;;akanceas_306
307;Alibamones;;Muskogee;;;;;;alibamones_307
308;Amulalaes;;Tucuman;;;;;;amulalaes_308
309;Ancuteres;;Encabellados;;;;;;ancuteres_309
310;Andaquies;;Andaquies;Mesogroup;;;;;andaquies_310
311;Apalaches;;Muskogee;;;;;;apalaches_311
312;Arhuacos;;Arawak;;;;;;arhuacos_312
313;Aruacas;;Arawak;;;;;;aruacas_313
314;Atakapas;;Atakapas;Mesogroup;;Atacapas;;;atakapas_314
315;Aucas;;Aucas;;;;Araucanos;;aucas_315
316;Ayacores;;Maynas;;;;;;ayacores_316
317;Ayricos;;Llanos;;;;;;ayricos_317
318;Barinagotos;;Guayana;;;;;;barinagotos_318
319;Baures;;Moxos;;;;;;baures_319
320;Betoyes;;Llanos;;;;;;betoyes_320
321;Bohanes;;Charruas;;;;;;bohanes_321
322;Borrados;;Coahuiltecos;;;;;;borrados_322
323;Cadodaches;;Ouachita;;;;;;cadodaches_323
324;Campas;;Antiincas;;;Cambas;;;campas_324
325;Carancahuas;;Carancahuas;Mesogroup;;;;;carancahuas_325
326;Carautas;;Chocoes;;;;;;carautas_326
328;Caribes;;Caribes;Macrogroup;;;Caribes;;caribes_328
329;Carlanes;;Apaches;;;;;;carlanes_329
330;Carrizos;;Coahuiltecos;;;;;;carrizos_330
331;Chaneses;;Chaco;;;;;;chaneses_331
332;Chata;;Muskogee;;;Choctaw;;;chata_332
333;Chicasa;;Muskogee;;;Chicachas;;;chicasa_333
334;Chichas orejones;;Chaco;;;;;;chichas orejones_334
335;Chimilas;;Chimilas;Mesogroup;;;;;chimilas_335
336;Chipeos;;Panos;;;Shipibos;;;chipeos_336
337;Chiquitos;;Chiquitos;Mesogroup;;;;;chiquitos_337
338;Chiricahuis;;Apaches;;;;;;chiricahuis_338
339;Chiricoas;;Llanos;;;;;;chiricoas_339
340;Chiriguanos;;Chiriguanos;Mesogroup;;;;;chiriguanos_340
341;Chirivas;;Llanos;;;;;;chirivas_341
342;Chitanos;;Llanos;;;;;;chitanos_342
343;Chocoes;;Chocoes;Mesogroup;;;;;chocoes_343
344;Chocta;;Chocta;Mesogroup;;;;;chocta_344
345;Choles;;Maya;;;;;;choles_345
346;Chonos;;Patagones;;;;;;chonos_346
347;Chudaviñas;;Jivaros;;;;;;chudaviñas_347
348;Chunchos;;Antiincas;;;;;;chunchos_348
349;Chunipies;;Tucuman;;;;;;chunipies_349
350;Churumatas;;Mataguayos;;;;;;churumatas_350
351;Chuscos;;Antiincas;;;;;;chuscos_351
352;Cobajis;;California;;;;;;cobajis_352
353;Cocamas;;Maynas;;;;;;cocamas_353
354;Cochimi;;California;;;;;;cochimi_354
355;Cochimi;;California;;;;;;cochimi_355
356;Cocinas;;Guajiros;;;;;;cocinas_356
357;Cocomaricopas;;Papagos;;;;;;cocomaricopas_357
358;Cocoyames;;Mapimi;;;;;;cocoyames_358
359;Cofanes;;Jivaros;;;;;;cofanes_359
360;Colorados;;Jivaros;;;;;;colorados_360
361;Comanches;;Comanches;Mesogroup;;;;;comanches_361
362;Comecrudos;;Coahuiltecos;;;;;;comecrudos_362
363;Conchos;;Conchos;Mesogroup;;;;;conchos_363
364;Conchos;;Mapimi;;;;;;conchos_364
365;Conibos;;Antiincas;;;;;;conibos_365
366;Coreguajes;;Encabellados;;;;;;coreguajes_366
367;Coronados;;Jivaros;;;;;;coronados_367
368;Cotoname;;Coahuiltecos;;;;;;cotoname_368
369;Cuchigaros;;Purus;;;;;;cuchigaros_369
370;Cumayaris;;Purus;;;;;;cumayaris_370
371;Cunacunas;;Darienes;;;;;;cunacunas_371
372;Curiguires;;Purus;;;;;;curiguires_372
373;Darienes;;Darienes;Mesogroup;;;;;darienes_373
374;Encabellados;;Encabellados;Mesogroup;;;;;encabellados_374
375;Faraones;;Apaches;;;;;;faraones_375
376;Frentones;;Tucuman;;;;;;frentones_376
377;Garzas;;Coahuiltecos;;;;;;garzas_377
378;Gila;;Apaches;;;;;;gila_378
379;Guahivas;;Llanos;;;;;;guahivas_379
380;Guajiros;;Guajiros;Mesogroup;;;;;guajiros_380
381;Guananas;;Charruas;;;;;;guananas_381
382;Guarayos;;Guarayos;Mesogroup;;;;;guarayos_382
383;Guayaberos;;Llanos;;;;;;guayaberos_383
384;Guaycurus;;Chaco;;;;;;guaycurus_384
385;Guaymies;;Guaymies;Mesogroup;;;;;guaymies_385
386;Guayquiris;;Guayana;;;;;;guayquiris_386
387;Guenoas;;Charruas;;;;;;guenoas_387
388;Huilliches;;Huilliches;;;;Araucanos;;huilliches_388
389;Icahuates;;Encabellados;;;;;;icahuates_389
390;Iquitos;;Maynas;;;;;;iquitos_390
391;Isistines;;Tucuman;;;;;;isistines_391
392;Janambres;;Coahuiltecos;;;;;;janambres_392
393;Jicarilla;;Apaches;;;;;;jicarilla_393
394;Jivaros;;Jivaros;Mesogroup;;;;;jivaros_394
395;Julimes;;Mapimi;;;;;;julimes_395
396;Jumano;;Mapimi;;;;;;jumano_396
397;Kansa;;Osage;;;;;;kansa_397
398;Lacandones;;Maya;;;;;;lacandones_398
399;Lecos;;Paititi;;;;;;lecos_399
400;Lenguas;;Chaco;;;;;;lenguas_400
401;Lipanes;;Apaches;;;;;;lipanes_401
402;Llaneros;;Apaches;;;;;;llaneros_402
404;Lules;;Chaco;;;;;;lules_404
405;Malabas;;Chocoes;;;;;;malabas_405
406;Malaguecos;;Coahuiltecos;;;;;;malaguecos_406
407;Mapuches;;Mapuches;Mesogroup;;Araucanos;Araucanos;;mapuches_407
408;Mariguanes;;Coahuiltecos;;;;;;mariguanes_408
409;Martinez;;Coahuiltecos;;;;;;martinez_409
410;Matacos;;Chaco;;;;;;matacos_410
411;Mataguayos;;Chaco;;;;;;mataguayos_411
412;Mayorunas;;Panos;;;;;;mayorunas_412
413;Mescaleros;;Apaches;;;;;;mescaleros_413
414;Mezquites;;Coahuiltecos;;;;;;mezquites_414
415;Minuanes;;Charruas;;;;;;minuanes_415
416;Misuri;;Misuri;Mesogroup;;;;;misuri_416
417;Mocoa;;Putumayo;;;;;;mocoa_417
418;Mocovis;;Mocovis;Mesogroup;;;;;mocovis_418
419;Monteses;;Monteses;Mesogroup;;;;;monteses_419
420;Moqui;;Moqui;Mesogroup;;;;;moqui_420
421;Mosetenes;;Paititi;;;;;;mosetenes_421
422;Mosquitos;;Mosquitos;Mesogroup;;;;;mosquitos_422
423;Motilones;;Motilones;Mesogroup;;;;;motilones_423
424;Murcielagos;;Putumayo;;;;;;murcielagos_424
425;Mures;;Moxos;;;;;;mures_425
426;Muskogee;;Muskogee;Mesogroup;;;;;muskogee_426
427;Nacatches;;Ouachita;;;;;;nacatches_427
428;Nadaco;;Ouachita;;;;;;nadaco_428
429;Napeanos;;Maynas;;;;;;napeanos_429
430;Natage;;Apaches;;;;;;natage_430
431;Natchitoches;;Ouachita;;;;;;natchitoches_431
432;Navajos;;Apaches;;;;;;navajos_432
433;Nayari;;Nayari;Mesogroup;;;;;nayari_433
434;Neocoyas;;Encabellados;;;;;;neocoyas_434
435;Niguas;;Chocoes;;;;;;niguas_435
436;Nochis;;California;;;;;;nochis_436
437;Olives;;Coahuiltecos;;;;;;olives_437
438;Omaguas;;Maynas;;;;;;omaguas_438
439;Opelousas;;Atakapas;;;;;;opelousas_439
440;Orcoquizas;;Atakapas;;;;;;orcoquizas_440
441;Oristines;;Tucuman;;;;;;oristines_441
442;Osajes;;Osage;;;;;;osajes_442
443;Otos;;Misuri;;;;;;otos_443
444;Ouachita;;Ouachita;Mesogroup;;;;;ouachita_444
445;Ovedsitas;;Comanches;;;;;;ovedsitas_445
446;Pacuhas;;California;;;;;;pacuhas_446
447;Palahuecos;;Coahuiltecos;;;;;;palahuecos_447
448;Pampas;;Moxos;;;;;;pampas_448
449;Pampas;;Pampas;Mesogroup;;;;;pampas_449
450;Panatahuas;;Antiincas;;;;;;panatahuas_450
451;Panis;;Panis;Mesogroup;;;;;panis_451
452;Papagos;;Papagos;Mesogroup;;;;;papagos_452
453;Pasitas;;Coahuiltecos;;;;;;pasitas_453
454;Patagones;;Patagones;Mesogroup;;;;;patagones_454
455;Payaguas;;Chaco;;;;;;payaguas_455
456;Payaguas;;Maynas;;;;;;payaguas_456
457;Payas;;Xicaques;;;;;;payas_457
458;Pehuenches;;Pehuenches;;;;Araucanos;;pehuenches_458
459;Piaroa;;Guayana;;;;;;piaroa_459
460;Pijaos;;Andaquies;;;;;;pijaos_460
462;Pimas;;Pimas;Mesogroup;;;;;pimas_462
463;Pintos;;Coahuiltecos;;;;;;pintos_463
464;Piros;;Antiincas;;;;;;piros_464
465;Pisones;;Coahuiltecos;;;;;;pisones_465
466;Puelches;;Puelches;;;;Araucanos;;puelches_466
467;Purugotos;;Guayana;;;;;;purugotos_467
468;Querandies;;Pampas;;;;;;querandies_468
469;Quiriquiras;;Guayana;;;;;;quiriquiras_469
470;Raches;;Paititi;;;;;;raches_470
471;Roamaynas;;Maynas;;;;;;roamaynas_471
472;Salivas;;Llanos;;;;;;salivas_472
473;Senseguajes;;Encabellados;;;;;;senseguajes_473
474;Seris;;Seris;Mesogroup;;;;;seris_474
475;Setebos;;Panos;;;;;;setebos_475
476;Simigayes;;Jivaros;;;;;;simigayes_476
477;Siona;;Encabellados;;;;;;siona_477
478;Siriones;;Paititi;;;Ciriones;;;siriones_478
479;Sumachuanes;;Antiincas;;;;;;sumachuanes_479
480;Sumas;;Mapimi;;;;;;sumas_480
481;Sumos;;Xicaques;;;;;;sumos_481
482;Tabajaris;;Guayana;;;;;;tabajaris_482
483;Talamancas;;Talamancas;Mesogroup;;;;;talamancas_483
484;Talapuche;;Muskogee;;;Talapuses;;;talapuche_484
485;Tamas;;Andaquies;;;;;;tamas_485
486;Taovayases;;Comanches;;;;;;taovayases_486
487;Tapes;;Tapes;Mesogroup;;;;;tapes_487
488;Tarahumaras;;Tarahumaras;Mesogroup;;;;;tarahumaras_488
489;Techuichis;;California;;;;;;techuichis_489
490;Tehuelches;;Araucanos;;;;Araucanos;;tehuelches_490
491;Temugueichis;;California;;;;;;temugueichis_491
492;Terbis;;Talamancas;;;;;;terbis_492
493;Tiburones;;Seris;;;;;;tiburones_493
494;Ticunas;;Maynas;;;;;;ticunas_494
495;Timucua;;Muskogee;;;;;;timucua_495
496;Tobas;;Chaco;;;;;;tobas_496
497;Tobosos;;Mapimi;;;;;;tobosos_497
498;Toromonas;;Antiincas;;;;;;toromonas_498
499;Tripas Blancas;;Mapimi;;;;;;tripas_blancas_499
500;Tuacana;;Ouachita;;;;;;tuacana_500
501;Urarinas;;Maynas;;;;;;urarinas_501
502;Vilelas;;Chaco;;;;;;vilelas_502
503;Xicaques;;Xicaques;Mesogroup;;;;;xicaques_503
504;Yabacuanas;;Guayana;;;;;;yabacuanas_504
505;Yajures;;Guayana;;;;;;yajures_505
506;Yariguies;;Caribes;;;;;;yariguies_506
507;Yumas;;Papagos;;;;;;yumas_507
508;Yuracarees;;Paititi;;;;;;yuracarees_508
509;Yutas;;Ute;;;;;;yutas_509
510;Zambos;;Chocoes;;;;;;zambos_510
511;Zambos;;Mosquitos;;;;;;zambos_511
512;Zamucos;;Chaco;;;;;;zamucos_512
514;Ziecoyas;;Encabellados;;;;;;ziecoyas_514
515;Calchaquies;;Calchaquies;Mesogroup;;;Diaguitas;;calchaquies_515
516;Yocavil;;Calchaquies;;;;Diaguitas;;yocavil_516
517;Quilme;;Calchaquies;;;;Diaguitas;;quilme_517
518;Ourmarca;;Calchaquies;;;;Diaguitas;;ourmarca_518
519;Tafi;;Calchaquies;;;;Diaguitas;;tafi_519
520;Chicoana;;Calchaquies;;;;Diaguitas;;chicoana_520
521;Tilcara;;Calchaquies;;;;Diaguitas;;tilcara_521
522;Diaguitas;;;Macrogroup;;;Diaguitas;;diaguitas_522
523;Arawak;;;Macrogroup;;;Arawak;;arawak_523
524;Quechua;;;Macrogroup;;;Quechua;;quechua_524
525;Aymara;;;Macrogroup;;;Aymara;;aymara_525
526;Atacameño;;Atacameño;;;Kunza @ Licanantay;;;atacameño_526
527;Changos;;Changos;;;Camanchacos @ Camanchangos;;;changos_527
528;Collas;;Collas;Macrogroup;;;Collas;;collas_528
529;Cuncos;;Huilliches;;;Juncos @ Cunches;Araucanos;;cuncos_529
530;Poyas;;Tehuelches;;;;Araucanos;;poyas_530
531;Picunches;;Mapuches;;;;;;picunches_531
533;Promaucaes;;Mapuches;;;;;;promaucaes_533
534;Huarpe;;Huarpe;;;;;;huarpe_534
535;Onas;;Onas;;;Selk'nam;Patagones;;onas_535
536;Caucahue;;Caucahue;;;Kawesqar @ Alacalufe;Patagones;;caucahue_536
537;Yamana;;Yamana;;;Yahgan;Patagones;;yamana_537
