OficialID;foreignkey;prefix;prefixurl
20;[[Juan de Ortega Montañés]];wiki-es;https://es.wikipedia.org/wiki/
20;bdeortega;cathie;https://www.catholic-hierarchy.org/bishop/
21;[[Francisco Fernández de la Cueva y de la Cueva]];wiki-es;https://es.wikipedia.org/wiki/
22;[[Fernando de Alencastre Noroña y Silva]];wiki-es;https://es.wikipedia.org/wiki/
23;[[Baltasar de Zúñiga y Guzmán]];wiki-es;https://es.wikipedia.org/wiki/
26;[[Pedro de Castro Figueroa y Salazar]];wiki-es;https://es.wikipedia.org/wiki/
27;[[Pedro de Cebrián y Agustín]];wiki-es;https://es.wikipedia.org/wiki/
28;[[Juan Francisco de Güemes]];wiki-es;https://es.wikipedia.org/wiki/
30;[[Francisco Antonio Cagigal de la Vega]];wiki-es;https://es.wikipedia.org/wiki/
31;[[Joaquín de Montserrat]];wiki-es;https://es.wikipedia.org/wiki/
32;[[Carlos Francisco de Croix]];wiki-es;https://es.wikipedia.org/wiki/
33;[[Antonio María de Bucareli y Ursúa]];wiki-es;https://es.wikipedia.org/wiki/
34;[[Martín de Mayorga]];wiki-es;https://es.wikipedia.org/wiki/
35;[[Matías de Gálvez y Gallardo]];wiki-es;https://es.wikipedia.org/wiki/
35;[[Matías de Gálvez]];wiki-es;https://es.wikipedia.org/wiki/
36;[[Bernardo de Gálvez]];wiki-es;https://es.wikipedia.org/wiki/
39;[[Juan Francisco de Güemes]];wiki-es;https://es.wikipedia.org/wiki/
39;[[Juan Vicente de Güemes]];wiki-es;https://es.wikipedia.org/wiki/
40;[[Miguel de la Grúa Talamanca]];wiki-es;https://es.wikipedia.org/wiki/
41;[[Miguel José de Azanza]];wiki-es;https://es.wikipedia.org/wiki/
42;[[Félix Berenguer de Marquina]];wiki-es;https://es.wikipedia.org/wiki/
44;[[Pedro de Garibay]];wiki-es;https://es.wikipedia.org/wiki/
46;[[Pedro Corbalán]];wiki-es;https://es.wikipedia.org/wiki/
47;[[Pedro Garrido Durán]];wiki-es;https://es.wikipedia.org/wiki/
48;[[Enrique Grimarest|Enrique de Grimarest]];wiki-es;https://es.wikipedia.org/wiki/
49;[[Alonso Tresierra y Cano]];wiki-es;https://es.wikipedia.org/wiki/
50;[[Alejo García Conde]];wiki-es;https://es.wikipedia.org/wiki/
331;[[Antonio José Amar y Borbón]];wiki-es;https://es.wikipedia.org/wiki/
391;[[Juan de Sámano]];wiki-es;https://es.wikipedia.org/wiki/
408;[[José Antonio de Mendoza Caamaño y Sotomayor]];wiki-es;https://es.wikipedia.org/wiki/
441;[[Alonso Núñez de Haro]];wiki-es;https://es.wikipedia.org/wiki/
1174;1274;GCath;
1174;blorenz;cathie;https://www.catholic-hierarchy.org/bishop/
1175;7632;GCath;
1176;7633;GCath;
1176;bporro;cathie;https://www.catholic-hierarchy.org/bishop/
1177;7634;GCath;
