fid;REG;Entidad;tipo;Label;Nombre;START;START_ex;END;END_ex;START_nb;START_na;END_nb;END_na;Agregado;Ent_identica;AbrA;AbrB;Wikilink_id;Wikilink_tipo;Entidad_alt;Wikilink;Wikilink2;Provincia_generica;Fuente;Nombre completo;Nombre_completo_wiki;Cabecera
1;NES;SUNE0000;Virreinato;Nueva España;Nueva España;1535;exact;1808;hgis;;;;;False;;V.;Vir.;nueva españa_superior_nes;conceptos:virreinato;NE0000SU;nes_superior_nueva españa;NES;Superior;wikipedia;Virreinato de Nueva España;[[:conceptos:virreinato|Virreinato]] de Nueva España;False
2;PER;SUPE0000;Virreinato;Peru;Peru;1542;exact;1808;hgis;;;;;False;;V.;Vir.;peru_superior_per;conceptos:virreinato;PE0000SU;per_superior_peru;PER;Superior;wikipedia;Virreinato de Peru;[[:conceptos:virreinato|Virreinato]] de Peru;False
3;NGR;SUNG0000;Virreinato;Nueva Granada;Nueva Granada;1717;exact;1723;exact;;;;;False;;V.;Vir.;nueva granada_superior_ngr;conceptos:virreinato;NG0000SU;ngr_superior_nueva granada;NGR;Superior;wikipedia;Virreinato de Nueva Granada;[[:conceptos:virreinato|Virreinato]] de Nueva Granada;False
4;NGR;SUNG0000;Virreinato;Nueva Granada;Nueva Granada;1740;exact;1808;hgis;;;;;False;;V.;Vir.;nueva granada_superior_ngr;conceptos:virreinato;NG0000SU;ngr_superior_nueva granada;NGR;Superior;wikipedia;Virreinato de Nueva Granada;[[:conceptos:virreinato|Virreinato]] de Nueva Granada;False
5;RPL;SURP0000;Virreinato;Rio de la Plata;Rio de la Plata;1776;exact;1808;hgis;;;;;False;;V.;Vir.;rio de la plata_superior_rpl;conceptos:virreinato;RP0000SU;rpl_superior_rio de la plata;RPL;Superior;wikipedia;Virreinato de Rio de la Plata;[[:conceptos:virreinato|Virreinato]] de Rio de la Plata;False
6;PER;AULI0000;Audiencia Real;Lima;Lima;1543;exact;1808;hgis;;;;;False;;A.;Aud.;lima_audiencia_per;conceptos:audiencia;LI0000AU;per_audiencia_lima;PER;Audiencia;wikipedia;Audiencia Real de Lima;[[:conceptos:audiencia|Audiencia Real]] de Lima;False
8;CHL;AUSA0000;Audiencia Real;Santiago;Santiago;1609;exact;1808;hgis;;;;;False;;A.;Aud.;santiago_audiencia_chl;conceptos:audiencia;SA0000AU;chl_audiencia_santiago;CHL;Audiencia;wikipedia;Audiencia Real de Santiago;[[:conceptos:audiencia|Audiencia Real]] de Santiago;False
9;CHA;AUCC0000;Audiencia Real;Charcas;Charcas;1559;exact;1808;hgis;;;;;False;;A.;Aud.;charcas_audiencia_cha;conceptos:audiencia;CC0000AU;cha_audiencia_charcas;CHA;Audiencia;wikipedia;Audiencia Real de Charcas;[[:conceptos:audiencia|Audiencia Real]] de Charcas;False
10;QUI;AUQU0000;Audiencia Real;Quito;Quito;1564;exact;1717;exact;;;;;False;;A.;Aud.;quito_audiencia_qui;conceptos:audiencia;QU0000AU;qui_audiencia_quito;QUI;Audiencia;wikipedia;Audiencia Real de Quito;[[:conceptos:audiencia|Audiencia Real]] de Quito;False
12;RPL;AUBA0000;Audiencia Real;Buenos Aires;Buenos Aires;1785;exact;1808;hgis;;;;;False;;A.;Aud.;buenos aires_audiencia_rpl;conceptos:audiencia;BA0000AU;rpl_audiencia_buenos aires;RPL;Audiencia;wikipedia;Audiencia Real de Buenos Aires;[[:conceptos:audiencia|Audiencia Real]] de Buenos Aires;False
13;PER;AUCU0000;Audiencia Real;Cuzco;Cuzco;1788;exact;1808;hgis;;;;;False;;A.;Aud.;cuzco_audiencia_per;conceptos:audiencia;CU0000AU;per_audiencia_cuzco;PER;Audiencia;wikipedia;Audiencia Real de Cuzco;[[:conceptos:audiencia|Audiencia Real]] de Cuzco;False
14;NES;AUMX0000;Audiencia Real;Mexico;Mexico;1535;exact;1808;hgis;;;;;False;;A.;Aud.;mexico_audiencia_nes;conceptos:audiencia;MX0000AU;nes_audiencia_mexico;NES;Audiencia;wikipedia;Audiencia Real de Mexico;[[:conceptos:audiencia|Audiencia Real]] de Mexico;False
16;NGR;AUPA0000;Audiencia Real;Panama;Panama;1565;exact;1716;exact;;;;;False;;A.;Aud.;panama_audiencia_ngr;conceptos:audiencia;PA0000AU;ngr_audiencia_panama;NGR;Audiencia;wikipedia;Audiencia Real de Panama;[[:conceptos:audiencia|Audiencia Real]] de Panama;False
17;NGR;AUPA0000;Audiencia Real;Panama;Panama;1722;exact;1750;exact;;;;;False;;A.;Aud.;panama_audiencia_ngr;conceptos:audiencia;PA0000AU;ngr_audiencia_panama;NGR;Audiencia;wikipedia;Audiencia Real de Panama;[[:conceptos:audiencia|Audiencia Real]] de Panama;False
21;GUA;AUCO0000;Audiencia Real;Guatemala;Guatemala;1570;exact;1808;hgis;;;;;False;;A.;Aud.;guatemala_audiencia_gua;conceptos:audiencia;CO0000AU;gua_audiencia_guatemala;GUA;Audiencia;wikipedia;Audiencia Real de Guatemala;[[:conceptos:audiencia|Audiencia Real]] de Guatemala;False
23;GDJ;AUGD0000;Audiencia Real;Guadalajara;Guadalajara;1548;exact;1808;hgis;;;;;False;;A.;Aud.;guadalajara_audiencia_gdj;conceptos:audiencia;GD0000AU;gdj_audiencia_guadalajara;GDJ;Audiencia;wikipedia;Audiencia Real de Guadalajara;[[:conceptos:audiencia|Audiencia Real]] de Guadalajara;False
24;NGR;AUSF0000;Audiencia Real;Santa Fe;Santa Fe;1550;exact;1808;hgis;;;;;False;;A.;Aud.;santa fe_audiencia_ngr;conceptos:audiencia;SF0000AU;ngr_audiencia_santa fe;NGR;Audiencia;wikipedia;Audiencia Real de Santa Fe;[[:conceptos:audiencia|Audiencia Real]] de Santa Fe;False
25;VEN;AUCA0000;Audiencia Real;Caracas;Caracas;1786;exact;1808;hgis;;;;;False;;A.;Aud.;caracas_audiencia_ven;conceptos:audiencia;CA0000AU;ven_audiencia_caracas;VEN;Audiencia;wikipedia;Audiencia Real de Caracas;[[:conceptos:audiencia|Audiencia Real]] de Caracas;False
31;PER;OBPELI00;Arzobispado;Lima;Lima;1546;exact;1808;hgis;;;;;False;;Ao.;Arzob.;lima_obispado_per;conceptos:arzobispado;PELI00OB;per_obispado_lima;PER;Obispado;catholic-hierarchy;Arzobispado de Lima;[[:conceptos:arzobispado|Arzobispado]] de Lima;False
32;PER;OBPEHU00;Obispado;Huamanga;Huamanga;1611;exact;1808;hgis;;;;;False;;Ob.;Ob.;huamanga_obispado_per;conceptos:obispado;PEHU00OB;per_obispado_huamanga;PER;Obispado;catholic-hierarchy;Obispado de Huamanga;[[:conceptos:obispado|Obispado]] de Huamanga;False
33;PER;OBPECU00;Obispado;Cuzco;Cuzco;1538;exact;1808;hgis;;;;;False;;Ob.;Ob.;cuzco_obispado_per;conceptos:obispado;PECU00OB;per_obispado_cuzco;PER;Obispado;catholic-hierarchy;Obispado de Cuzco;[[:conceptos:obispado|Obispado]] de Cuzco;False
34;PER;OBPEAR00;Obispado;Arequipa;Arequipa;1612;exact;1808;hgis;;;;;False;;Ob.;Ob.;arequipa_obispado_per;conceptos:obispado;PEAR00OB;per_obispado_arequipa;PER;Obispado;catholic-hierarchy;Obispado de Arequipa;[[:conceptos:obispado|Obispado]] de Arequipa;False
35;CHA;OBCCLP00;Obispado;La Paz;La Paz;1605;exact;1808;hgis;;;;;False;;Ob.;Ob.;la paz_obispado_cha;conceptos:obispado;CCLP00OB;cha_obispado_la paz;CHA;Obispado;catholic-hierarchy;Obispado de La Paz;[[:conceptos:obispado|Obispado]] de La Paz;False
37;CHA;OBCCCC00;Arzobispado;La Plata;La Plata;1609;exact;1808;hgis;;;;;False;;Ao.;Arzob.;la plata_obispado_cha;conceptos:arzobispado;CCCC00OB;cha_obispado_la plata;CHA;Obispado;catholic-hierarchy;Arzobispado de La Plata;[[:conceptos:arzobispado|Arzobispado]] de La Plata;False
38;PER;OBPETR00;Obispado;Trujillo;Trujillo;1577;exact;1808;hgis;;;;;False;;Ob.;Ob.;trujillo (peru)_obispado_per;conceptos:obispado;PETR00OB;per_obispado_trujillo (peru);PER;Obispado;catholic-hierarchy;Obispado de Trujillo;[[:conceptos:obispado|Obispado]] de Trujillo;False
39;QUI;OBQUCU00;Obispado;Cuenca;Cuenca;1787;exact;1808;hgis;;;;;False;;Ob.;Ob.;cuenca_obispado_qui;conceptos:obispado;QUCU00OB;qui_obispado_cuenca;QUI;Obispado;catholic-hierarchy;Obispado de Cuenca;[[:conceptos:obispado|Obispado]] de Cuenca;False
40;QUI;OBQUQU00;Obispado;Quito;Quito;1545;exact;1808;hgis;;;;;False;;Ob.;Ob.;quito_obispado_qui;conceptos:obispado;QUQU00OB;qui_obispado_quito;QUI;Obispado;catholic-hierarchy;Obispado de Quito;[[:conceptos:obispado|Obispado]] de Quito;False
41;QUI;OBQUMA00;Obispado;Maynas;Maynas;1808;exact;1808;hgis;;;;;False;;Ob.;Ob.;maynas_obispado_qui;conceptos:obispado;QUMA00OB;qui_obispado_maynas;QUI;Obispado;catholic-hierarchy;Obispado de Maynas;[[:conceptos:obispado|Obispado]] de Maynas;False
42;QUI;OBQUPO00;Obispado;Popayan;Popayan;1547;exact;1808;hgis;;;;;False;;Ob.;Ob.;popayan_obispado_qui;conceptos:obispado;QUPO00OB;qui_obispado_popayan;QUI;Obispado;catholic-hierarchy;Obispado de Popayan;[[:conceptos:obispado|Obispado]] de Popayan;False
43;CHL;OBCHSA00;Obispado;Santiago;Santiago;1561;exact;1808;hgis;;;;;False;;Ob.;Ob.;santiago de chile_obispado_chl;conceptos:obispado;CHSA00OB;chl_santiago_santiago de chile;CHL;Santiago;catholic-hierarchy;Obispado de Santiago;[[:conceptos:obispado|Obispado]] de Santiago;False
