REG;gz_id;InstID;Label;Tipo;Cardinalidad;Rango;Lugar;START_;START_ex;END_;END_ex;Nota;Fuente;Orden;Superior;Principal;Domain
NES;1000001;Uni01;Universidad de Mexico;Universidad;Universidad Real y Pontificia;;México;1553;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades
SDO;3000001;Uni02;Universidad de Santo Tomás de Aquino;Universidad;Universidad Pontificia;;Santo Domingo;1538;exact;1746;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades
SDO;3000001;Uni02;Universidad de Santo Tomás de Aquino;Universidad;Universidad Real y Pontificia;;Santo Domingo;1747;exact;1799;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades
PER;6000001;Uni03;Universidad de San Marcos;Universidad;Universidad Real y Pontificia;;Lima;1551;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades
SDO;3000001;Uni04;Universidad de Santiago de la Paz;Universidad;Universidad Real;;Santo Domingo;1583;exact;1747;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
SDO;3000001;Uni04;Universidad de Santiago de la Paz;Universidad;Universidad Real y Pontificia;;Santo Domingo;1748;exact;1766;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
QUI;5600001;Uni05;Universidad de San Fulgencio;Universidad;Universidad;;Quito;1586;exact;1786;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OSA;;;Universidades
PER;6000001;Uni06;Universidad de San Ildefonso;Universidad;Universidad Real y Pontificia;;Lima;1608;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OSA;;;Universidades
PER;6000002;Uni07;Universidad de San Ignacio de Loyola;Universidad;Universidad Colegio máximo;;Cuzco;1621;exact;1766;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
RPL;9000002;Uni08;Colegio máximo de la Compañía de Jesús;Colegio;Colegio máximo;;Córdoba;1621;exact;1766;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
CHL;7000001;Uni09;Colegio máximo  de San Miguel;Colegio;Colegio máximo;;Santiago;1621;exact;1766;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades
