rowID;ref_Label;ref_Adm0_ISO;ref_Adm1;ref_START;START_Month;START_Day;START_Date;START_quality;ref_END;END_Month;END_Day;END_Date;END_quality;Balmis;Pastor;Gutiérrez;Salvany;Grajales;
1;La Coruña;ESP;Galicia;1803;11;30;1803-11-30;sure;1803;11;30;1803-11-30;sure;yes;sub;sub;sub;sub;
2;Santa Cruz de Tenerife;ESP;Islas Canarias;1803;12;9;1803-12-9;sure;1804;1;6;1804-1-6;sure;yes;sub;sub;sub;sub;
3;San Juan;PRI;;1804;2;9;1804-2-9;sure;1804;3;12;1804-3-12;sure;yes;sub;sub;sub;sub;
4;Puerto Cabello;VEN;;1804;3;20;1804-3-20;sure;1804;3;24;1804-3-24;sure;yes;sub;sub;;;
5;Puerto Cabello;VEN;;1804;3;20;1804-3-20;sure;1804;3;31;1804-3-31;sure;;;;yes;sub;
6;Caracas;VEN;;1804;4;5;1804-4-5;sure;1804;5;4;1804-5-4;fuzzy;;;;yes;sub;Date of leaving ranges May 2 to May 8.
7;Caracas;VEN;;1804;3;28;1804-3-28;sure;1804;5;4;1804-5-4;fuzzy;yes;sub;sub;;;
8;La Guaira;VEN;;1804;5;8;1804-5-8;sure;1804;5;8;1804-5-8;sure;yes;sub;sub;yes;sub;
9;Barranquilla;COL;;1804;5;13;1804-5-13;sure;1804;5;15;1804-5-15;interpolated;;;;yes;sub;Shipwreck near Barranquilla
10;Cartagena de Indias;COL;;1804;5;24;1804-5-24;sure;1804;7;15;1804-7-15;month;;;;yes;sub;
11;Mompox;COL;;1804;7;31;1804-7-31;fuzzy;1804;8;15;1804-8-15;interpolated;;;;yes;sub;
12;Ocaña;COL;;1804;8;25;1804-8-25;interpolated;1804;8;30;1804-8-30;interpolated;;;;;yes;
13;Cúcuta;COL;;1804;9;15;1804-9-15;interpolated;1804;9;20;1804-9-20;interpolated;;;;;yes;
14;Pamplona;COL;;1804;9;25;1804-9-25;interpolated;1804;9;30;1804-9-30;interpolated;;;;;yes;
15;Girón;COL;;1804;10;15;1804-10-15;interpolated;1804;10;20;1804-10-20;interpolated;;;;;;
16;Socorro;COL;;1804;10;25;1804-10-25;interpolated;1804;10;30;1804-10-30;interpolated;;;;;;
17;San Gil;COL;;1804;11;5;1804-11-5;interpolated;1804;11;10;1804-11-10;interpolated;;;;;;
18;Vélez;COL;;1804;11;15;1804-11-15;interpolated;1804;11;20;1804-11-20;interpolated;;;;;;
19;Tunja;COL;;1804;11;25;1804-11-25;interpolated;1804;11;30;1804-11-30;interpolated;;;;;yes;
20;Nares;COL;;1804;10;15;1804-10-15;interpolated;1804;10;22;1804-10-22;interpolated;;;;yes;;Delegation from Medellín takes two boys to provide vaccine for Antioquia province.
21;Honda;COL;;1804;10;30;1804-10-30;interpolated;1804;11;5;1804-11-5;interpolated;;;;yes;;
22;Santa Fe de Bogotá;COL;;1804;12;17;1804-12-17;sure;1805;3;8;1805-3-8;sure;;;;yes;yes;Arrival date of Grajales not specified.
23;Neiva;COL;;1805;3;30;1805-3-30;interpolated;1805;4;5;1805-4-5;interpolated;;;;;yes;
24;San Sebastián de la Plata;COL;;1805;4;15;1805-4-15;interpolated;1805;4;20;1805-4-20;interpolated;;;;;yes;
25;Ibagué;COL;;1805;3;10;1805-3-10;interpolated;1805;3;11;1805-3-11;interpolated;;;;yes;;
26;Cartago;COL;;1805;3;25;1805-3-25;sure;1805;4;20;1805-4-20;interpolated;;;;yes;;According to the Redactor de América, nr.
27;Llano Grande;COL;;1805;4;25;1805-4-25;interpolated;1805;4;30;1805-4-30;interpolated;;;;yes;;
28;Quilichao;COL;;1805;5;5;1805-5-5;interpolated;1805;5;10;1805-5-10;interpolated;;;;yes;;
