rowID;ref_Label;gz_id;lat;lon;ref_Adm0_ISO;certainty_of_stay;ref_START;START_Month;START_Day;START_Date;START_quality;ref_END;END_Month;END_Day;END_Date;END_quality;Leg;Category;Balmis;Pastor;Gutiérrez;Lozano;Salvany;Grajales;note
1;La Coruña;;43,369;-8,394;ESP;100;1803;11;30;1803-11-30;sure;1803;11;30;1803-11-30;sure;Intercontinental1;Balmis;yes;yes;yes;;yes;yes;
2;Santa Cruz de Tenerife;;28,468;-16,25;ESP;100;1803;12;9;1803-12-09;sure;1804;1;6;1804-01-06;sure;Intercontinental1;Balmis;yes;yes;yes;;yes;yes;
3;San Juan;3000003;18,4661458696363;-66,1158037998055;PRI;100;1804;2;9;1804-02-09;sure;1804;3;12;1804-03-12;sure;Intercontinental1;Balmis;yes;yes;yes;;yes;yes;
4;Puerto Cabello;4000107;10,4786999996053;-68,006440000006;VEN;100;1804;3;20;1804-03-20;sure;1804;3;24;1804-03-24;sure;Venezuela;Balmis;yes;yes;yes;;;;
5;Puerto Cabello;4000107;10,4786999996053;-68,006440000006;VEN;100;1804;3;20;1804-03-20;sure;1804;3;31;1804-03-31;sure;Venezuela;Salvany;;;;;yes;yes;
7;Caracas;4000001;10,5060980004224;-66,9146019999823;VEN;100;1804;3;28;1804-03-28;sure;1804;5;4;1804-05-04;fuzzy;Venezuela;Balmis;yes;yes;yes;;;;
6;Caracas;4000001;10,5060980004224;-66,9146019999823;VEN;100;1804;4;5;1804-04-05;sure;1804;5;4;1804-05-04;fuzzy;Venezuela;Salvany;;;;;yes;yes;Date of leaving ranges May 2 to May 8.
8;La Guaira;4000010;10,6012688099077;-66,9314407099208;VEN;100;1804;5;8;1804-05-08;sure;1804;5;8;1804-05-08;sure;Venezuela;Balmis;yes;yes;yes;;yes;yes;
9;Soledad;;10,9088;-74,7789;COL;100;1804;5;13;1804-05-13;sure;1804;5;14;1804-05-14;interpolated;Nueva Granada;Salvany;;;;;yes;yes;
10;Barranquilla;5000047;10,979980000077;-74,7770800003417;COL;100;1804;5;13;1804-05-13;interpolated;1804;5;15;1804-05-15;interpolated;Nueva Granada;Salvany;;;;;yes;yes;Shipwreck near Barranquilla
11;Cartagena de Indias;5000004;10,4230609995655;-75,550759999974;COL;100;1804;5;24;1804-05-24;interpolated;1804;7;15;1804-07-15;month;Nueva Granada;Salvany;;;;;yes;yes;
112;La Habana;3000004;23,1411099998267;-82,3514300001943;CUB;100;1804;5;26;1804-05-26;sure;1804;6;18;1804-06-18;fuzzy;Caribbean;Balmis;yes;yes;yes;;;;
113;Sisal;9900228;21,1649;-90,0333;MEX;100;1804;6;25;1804-06-25;sure;1804;6;25;1804-06-25;fuzzy;Caribbean;Balmis;yes;yes;yes;;;;
114;Mérida;1000022;20,9667090003202;-89,6232219995956;MEX;100;1804;6;29;1804-06-29;sure;1804;7;18;1804-07-18;fuzzy;Caribbean;Balmis;yes;yes;yes;;;;
115;Sisal;9900228;21,1649;-90,0333;MEX;100;1804;7;18;1804-07-18;fuzzy;1804;7;19;1804-07-19;sure;Caribbean;Balmis;yes;yes;yes;;;;
116;Campeche;1000226;19,8443300002294;-90,5356980002625;MEX;100;1804;7;20;1804-07-20;sure;1804;7;20;1804-07-20;fuzzy;Caribbean;Balmis;yes;yes;;;;;
117;Carmen;1004862;18,6525;-91,8082;MEX;100;1804;7;20;1804-07-20;fuzzy;1804;7;20;1804-07-20;fuzzy;Guatemala;Pastor;;yes;;;;;
118;Campeche;1000226;19,8443;-90,5357;MEX;100;1804;7;20;1804-07-20;arbitrary;1804;7;20;1804-07-20;arbitrary;Caribbean;Gutiérrez;;;yes;;;;
119;Villahermosa;1000018;17,9917300000395;-92,9281400003607;MEX;100;1804;7;20;1804-07-20;sure;1804;7;25;1804-07-25;arbitrary;Guatemala;Pastor;;yes;;;;;The timeline of this leg is extremely uncertain.
124;Veracruz;1000021;19,1933270002409;-96,1377510001086;MEX;100;1804;7;30;1804-07-30;fuzzy;1804;8;1;1804-08-01;sure;Caribbean;Balmis;yes;;yes;;;;
12;Mompox;5000024;9,24202000032278;-74,4249299999195;COL;100;1804;7;31;1804-07-31;fuzzy;1804;8;15;1804-08-15;interpolated;Nueva Granada;Salvany;;;;;yes;yes;
125;México;1000001;19,4337864302996;-99,1331344502946;MEX;100;1804;8;9;1804-08-09;sure;1804;9;15;1804-09-15;fuzzy;Mexico;Balmis;yes;;;;;;
126;México;1000001;19,4337864302996;-99,1331344502946;MEX;100;1804;8;9;1804-08-09;sure;1804;10;31;1804-10-31;sure;Mexico;Gutiérrez;;;yes;;;;
120;Ciudad Real;2000005;16,7369499997428;-92,6375299996097;MEX;100;1804;8;10;1804-08-10;arbitrary;1804;8;15;1804-08-15;arbitrary;Guatemala;Pastor;;yes;;;;;The timeline of this leg is extremely uncertain.
13;Ocaña;5000039;8,23532000001802;-73,3539500003922;COL;99;1804;8;25;1804-08-25;interpolated;1804;8;30;1804-08-30;interpolated;Nueva Granada;Grajales;;;;;;yes;
14;Cúcuta;5000267;7,89290999999656;-72,4815600001938;COL;99;1804;9;15;1804-09-15;interpolated;1804;9;20;1804-09-20;interpolated;Nueva Granada;Grajales;;;;;;yes;
127;Puebla;1000015;19,0425899998287;-98,1980400001459;MEX;100;1804;9;22;1804-09-22;sure;1804;10;11;1804-10-11;fuzzy;Mexico;Balmis;yes;;;;;;
15;Pamplona;5000016;7,3756999996553;-72,64879999992;COL;99;1804;9;25;1804-09-25;interpolated;1804;9;30;1804-09-30;interpolated;Nueva Granada;Grajales;;;;;;yes;
