rowID;ref_Label;gz_id;fuzzy_score;category_match;saint_match;territories_match;phase_1a_outcome;toponym_match;lugar_label;lugar_partido_generico;lugar_provincia_generica;lat;lon
1;La Coruña;;;pending;pending;unknown;auto_adopt;none;;;;43,369;-8,394
2;Santa Cruz de Tenerife;;1;category_null;saint_mismatch;;candidate;exact;;;;28,468;-16,25
3;San Juan;3000003;1;category_null;saint_match;adm0_iso_exact;auto_adopt;toponym_nombre;San Juan;Puerto Rico;Puerto Rico;;
4;Puerto Cabello;4000107;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Puerto Cabello;Valencia;Caracas;;
5;Puerto Cabello;4000107;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Puerto Cabello;Valencia;Caracas;;
6;Caracas;4000001;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Caracas;Caracas;Caracas;;
7;Caracas;4000001;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Caracas;Caracas;Caracas;;
8;La Guaira;4000010;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;La Guaira;Caracas;Caracas;;
9;Barranquilla;5000047;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Barranquilla;Barranquilla;Cartagena;;
10;Cartagena de Indias;5000004;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Cartagena;Cartagena;Cartagena;;
11;Mompox;5000024;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Mompox;Mompox;Cartagena;;
12;Ocaña;5000039;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Ocaña;Ocaña;Santa Marta;;
13;Cúcuta;5000267;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Pueblo de Cucuta;Servita;Pamplona;;
14;Pamplona;5000016;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Pamplona;Pamplona;Pamplona;;
15;Girón;5000036;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Giron;Giron;Pamplona;;
16;Socorro;5000015;1;category_null;saint_match;adm0_iso_exact;auto_adopt;toponym_nombre;El Socorro;Socorro;Tunja;;
17;San Gil;5000042;1;category_null;saint_match;adm0_iso_exact;auto_adopt;toponym_nombre;San Gil;San Gil;Tunja;;
18;Vélez;5000066;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Velez;Velez;Tunja;;
19;Tunja;5000014;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Tunja;Tunja;Tunja;;
20;Nares;5000218;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Puerto de Nare;Honda;Mariquita;;
21;Honda;5000029;1;category_null;no_saint;adm0_iso_exact;candidate;exact;Honda;Honda;Mariquita;;
22;Santa Fe de Bogotá;5000001;1;category_null;saint_match;adm0_iso_exact;candidate;exact;Santa Fe;Santafe Bogota;Santa Fe;;
23;Neiva;5000010;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Neiva;Neiva;Neiva;;
24;San Sebastián de la Plata;5000032;1;category_null;saint_match;adm0_iso_exact;auto_adopt;toponym_nombre;La Plata;La Plata NE;Neiva;;
25;Ibagué;5000030;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Ibague;Ibague;Mariquita;;
26;Cartago;5600037;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Cartago;Cartago;Popayan;;
27;Llano Grande;5000769;1;category_null;no_saint;adm0_iso_exact;candidate;toponym_nombre;Llano Grande;Arma;Antioquia;;
28;Quilichao;5600164;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Quilichao;Caloto;Popayan;;
29;Popayán;5600005;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Popayan;Popayan;Popayan;;
30;Popayán;5600005;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Popayan;Popayan;Popayan;;
31;San Juan de Pasto;5600042;1;category_null;no_saint;adm0_iso_exact;candidate;exact;Pasto;Pasto;Popayan;;
32;Tulcán;5600433;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Tulcan;Ibarra;Quito;;
33;Ibarra;5600008;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Ibarra;Ibarra;Quito;;
34;Otavalo;5600009;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Otavalo;Otavalo;Quito;;
35;Cayambé;5600152;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Cayambe;Otavalo;Quito;;
36;Quito;5600001;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Quito;Quito;Quito;;
37;Cuenca;5600002;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Cuenca;Cuenca;Quito;;
38;Loja;5600012;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Loja;Loja;Quito;;
39;Piura;6001391;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Piura;Piura;Trujillo;;
40;Chocope;6001441;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Chocope;Trujillo PE;Trujillo;;
41;Lambayeque;6001438;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Lambayeque;Saña;Trujillo;;
42;Cajamarca;6001261;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Cajamarca;Cajamarca;Trujillo;;
43;Trujillo;6000003;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Trujillo;Trujillo PE;Trujillo;;
44;Lima;6000001;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Lima;Lima;Lima;;
45;Chilca;6000696;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Chilca;Cañete;Lima;;
46;Ica;6000856;1;category_null;no_saint;adm0_iso_exact;candidate;exact;Ica;Ica;Lima;;
47;Arequipa;6000007;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Arequipa;Arequipa;Arequipa;;
48;Barbacoas;5600050;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Barbacoas;Barbacoas;Popayan;;
49;Tumaco;5600070;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Tumaco;Esmeraldas;Esmeraldas;;
50;Ibarra;5600008;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Ibarra;Ibarra;Quito;;
51;Quito;5600001;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Quito;Quito;Quito;;
52;Guayaquil;5600003;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Guayaquil;Guayaquil;Guayaquil;;
53;Tumbes;6001395;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Tumbes;Piura;Trujillo;;
54;Jaen;5600004;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Jaen;Jaen;Jaen;;
55;Lima;6000001;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Lima;Lima;Lima;;
56;Huarochiri;6000807;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Huarochiri;Huarochiri;Lima;;
57;Jauja;6001133;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Jauja;Jauja;Tarma;;
58;Tarma;6000004;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Tarma;Tarma;Tarma;;
59;Huanuco;6001084;1;category_null;no_saint;adm0_iso_exact;auto_adopt;exact;Huanuco;Huanuco;Tarma;;
60;Cuchero;6001554;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Cuchero;Panatahua;Tarma;;
61;Canta;6000706;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Canta;Canta;Lima;;
62;Lima;6000001;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Lima;Lima;Lima;;
63;Copiapó;9900704;1;category_null;no_saint;adm0_iso_exact;candidate;exact;Copiapo;Copiapo;Santiago;;
64;Guasco;9900701;1;category_null;no_saint;adm0_iso_exact;candidate;exact;Huasco bajo;Huasco;Santiago;;
65;Coquimbo;7000078;;pending;pending;unknown;auto_adopt;none;;;;;
66;Valparaiso;7000003;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Valparaiso;Valparaiso;Santiago;;
67;Santiago;7000001;;pending;pending;unknown;auto_adopt;none;;;;;
68;Talca;7000175;1;category_null;no_saint;adm0_iso_exact;candidate;exact;Talca;Maule;Santiago;;
69;Concepción;7000002;1;category_null;saint_match;adm0_iso_exact;auto_adopt;toponym_nombre;Concepcion;Concepcion;Concepcion;;
70;Valdivia;7000005;1;category_null;no_saint;adm0_iso_exact;candidate;toponym_nombre;Valdivia;Valdivia;Concepcion;;
71;San Carlos;7000379;1;category_null;saint_match;adm0_iso_exact;auto_adopt;toponym_nombre;San Carlos;Valdivia;Concepcion;;
72;Lima;6000001;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Lima;Lima;Lima;;
73;Puno;8000002;;pending;pending;unknown;auto_adopt;none;;;;;
74;La Paz;8000005;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;La Paz;La Paz;La Paz;;
75;Cochabamba;8000004;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Cochabamba;Cochabamba;Cochabamba;;
76;La Habana;3000004;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;La Habana;Habana Centro;Habana;;
77;Sisal;1004568;1;category_null;no_saint;adm0_iso_exact;candidate;exact;Sisal;Villa de Valladolid;Yucatan;;
78;Mérida;1000022;1;category_null;no_saint;adm0_iso_exact;auto_adopt;toponym_nombre;Merida;Merida;Yucatan;;
79;Sisal;1004568;1;category_null;no_saint;adm0_iso_exact;candidate;exact;Sisal;Villa de Valladolid;Yucatan;;
