id_i;ref_START;ref_END;Type;ref_Label;Territory;Location2;Location3;Location4;ref_Jurisdiccion;Region;Country;NAME_2;Motive;Details;Source;Unnamed: 16;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;Unnamed: 24;ID_3;NAME_3;rowID
1;1708;1708;Rebellion or revolt;Huanuco;Huanuco;;;;Huanuco;PER;;Huenuco;death of corregidor by vecinos;;O'Phelan, p. 285;;822;178;PER;Peru;9;Huánuco;85;;822;Huanuco;1
2;1710;1710;Rebellion or revolt;Llamellin;;;;;Conchucos;PER;;Antonio Raymondi;revolt against diezmero alferez ;;O'Phelan, p. 285;;92;178;PER;Peru;2;Ancash;9;;92;Llamellin;2
3;1719;1719;Rebellion or revolt;Cayna;;;;;Tarma;PER;;Ambo;cacique and indians revolted again parish-priest;;O'Phelan, p. 285;;788;178;PER;Peru;9;Huánuco;81;;788;Cayna;3
4;1720;1720;Rebellion or revolt;Mayunmarca;;;;;Huanta;PER;;Acobamba;revolt against tributos and mita quota;;O'Phelan, p. 285;;862;178;PER;Peru;10;Huancavelica;92;;862;Andabamba;4
5;1721;1723;Rebellion or revolt;Paucartambo;;;;;Tarma;PER;;Pasco;against diezmero-obrajero ;;O'Phelan, p. 285;;1505;178;PER;Peru;20;Pasco;152;;1505;Paucartambo;5
6;1722;1722;Rebellion or revolt;Tomina;;;;;Potosi;CHA;Bolivia;;death of ministro de justicia, aggression agains corregidores;;O'Phelan, p. 285;;;;;;;;;;;;6
7;1724;1724;Rebellion or revolt;Quiquijana;;;;;Cuzco;PER;;Quispicanchi;aggression against corregidor and his lieutenant;;O'Phelan, p. 285;;778;178;PER;Peru;8;Cusco;79;;778;Quiquijana;7
8;1726;1726;Rebellion or revolt;Ayabata;;;;;Carabaya;PER;;Carabaya;homicide of corregidor;;O'Phelan, p. 285;;1593;178;PER;Peru;22;Puno;162;;1593;Ayapata;8
9;1726;1726;Rebellion or revolt;Andahuaylas;Andahuaylas;;;;Andahuaylas;PER;;Andahuaylas;revolt against corregidor and clergyman;;O'Phelan, p. 285;;259;178;PER;Peru;3;Apurimac;29;;259;Andahuaylas;9
10;1730;1730;Rebellion or revolt;San Marcos;;;;;Cajamarca;PER;;San Marcos;stoning of corregidor to rescue prisoner;;O'Phelan, p. 285;;647;178;PER;Peru;6;Cajamarca;63;;647;Pedro Galvez;10
11;1730;1730;Rebellion or revolt;Cochabamba;Cochabamba;;;;Cochabamba;CHA;Bolivia;;revolt against revisita;;O'Phelan, p. 286;;;;;;;;;;;;11
12;1730;1730;Rebellion or revolt;Chipan;;;;;Lucanas;PER;;Lucanas;local priests resisted by the Indian community;;O'Phelan, p. 286;;482;178;PER;Peru;5;Ayacucho;48;;482;Chipao;12
12;1730;1730;Rebellion or revolt;Aucara;;;;;Lucanas;PER;;Lucanas;;;O'Phelan, p. 286;;478;178;PER;Peru;5;Ayacucho;48;;478;Aucara;13
12;1730;1730;Rebellion or revolt;Cabana;;;;;Lucanas;PER;;Lucanas;;;O'Phelan, p. 286;;479;178;PER;Peru;5;Ayacucho;48;;479;Cabana;14
13;1731;1731;Rebellion or revolt;San Marcos;;;;;Cajamarca;PER;;San Marcos;against corregidor;charged mestizos with repartos;O'Phelan, p. 286;;647;178;PER;Peru;6;Cajamarca;63;;647;Pedro Galvez;15
14;1731;1731;Rebellion or revolt;Cotabambas;;;;;Cuzco;PER;;Cotabambas;against corregidor and tax collector;increase of mita quota;O'Phelan, p. 286;;311;178;PER;Peru;3;Apurímac;33;;311;Cotabambas;16
15;1731;1731;Rebellion or revolt;Mara;;;;;Cotabambas;PER;;Cotabambas;attempted revolt against tax collector;;O'Phelan, p. 286;;314;178;PER;Peru;3;Apurímac;33;;314;Mara;17
