id_i;1779;END_;Type;Location1;Territory;Location2;Location3;Location4;Province;Region;Country;NAME_2;Motive;Details;Source;;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;;ID_3;NAME_3
1;1708;1708;Rebellion or revolt;Huanuco;Huanuco;;;;;Peru;;Huenuco;death of corregidor by vecinos;;O'Phelan, p. 285;;822;178;PER;Peru;9;Huánuco;85;;822;Huanuco
2;1710;1710;Rebellion or revolt;Llamellin;;;;;Conchucos;Peru;;Antonio Raymondi;revolt against diezmero alferez ;;O'Phelan, p. 285;;92;178;PER;Peru;2;Ancash;9;;92;Llamellin
3;1719;1719;Rebellion or revolt;Cayna;;;;;Tarma;Peru;;Ambo;cacique and indians revolted again parish-priest;;O'Phelan, p. 285;;788;178;PER;Peru;9;Huánuco;81;;788;Cayna
4;1720;1720;Rebellion or revolt;Mayunmarca;;;;;Huanta;Peru;;Acobamba;revolt against tributos and mita quota;;O'Phelan, p. 285;;862;178;PER;Peru;10;Huancavelica;92;;862;Andabamba
5;1721;1723;Rebellion or revolt;Paucartambo;;;;;Tarma;Peru;;Pasco;against diezmero-obrajero ;;O'Phelan, p. 285;;1505;178;PER;Peru;20;Pasco;152;;1505;Paucartambo
6;1722;1722;Rebellion or revolt;Tomina;;;;;Potosi;Charcas;Bolivia;;death of ministro de justicia, aggression agains corregidores;;O'Phelan, p. 285;;;;;;;;;;;
7;1724;1724;Rebellion or revolt;Quiquijana;;;;;Cuzco;Peru;;Quispicanchi;aggression against corregidor and his lieutenant;;O'Phelan, p. 285;;778;178;PER;Peru;8;Cusco;79;;778;Quiquijana
8;1726;1726;Rebellion or revolt;Ayabata;;;;;Carabaya;Peru;;Carabaya;homicide of corregidor;;O'Phelan, p. 285;;1593;178;PER;Peru;22;Puno;162;;1593;Ayapata
9;1726;1726;Rebellion or revolt;Andahuaylas;Andahuaylas;;;;;Peru;;Andahuaylas;revolt against corregidor and clergyman;;O'Phelan, p. 285;;259;178;PER;Peru;3;Apurimac;29;;259;Andahuaylas
10;1730;1730;Rebellion or revolt;San Marcos;;;;;Cajamarca;Peru;;San Marcos;stoning of corregidor to rescue prisoner;;O'Phelan, p. 285;;647;178;PER;Peru;6;Cajamarca;63;;647;Pedro Galvez
11;1730;1730;Rebellion or revolt;Cochabamba;Cochabamba;;;;;Charcas;Bolivia;;revolt against revisita;;O'Phelan, p. 286;;;;;;;;;;;
12;1730;1730;Rebellion or revolt;Chipan;;;;;Lucanas;Peru;;Lucanas;local priests resisted by the Indian community;;O'Phelan, p. 286;;482;178;PER;Peru;5;Ayacucho;48;;482;Chipao
12;1730;1730;Rebellion or revolt;Aucara;;;;;Lucanas;Peru;;Lucanas;;;O'Phelan, p. 286;;478;178;PER;Peru;5;Ayacucho;48;;478;Aucara
12;1730;1730;Rebellion or revolt;Cabana;;;;;Lucanas;Peru;;Lucanas;;;O'Phelan, p. 286;;479;178;PER;Peru;5;Ayacucho;48;;479;Cabana
13;1731;1731;Rebellion or revolt;San Marcos;;;;;Cajamarca;Peru;;San Marcos;against corregidor;charged mestizos with repartos;O'Phelan, p. 286;;647;178;PER;Peru;6;Cajamarca;63;;647;Pedro Galvez
14;1731;1731;Rebellion or revolt;Cotabambas;;;;;Cuzco;Peru;;Cotabambas;against corregidor and tax collector;increase of mita quota;O'Phelan, p. 286;;311;178;PER;Peru;3;Apurímac;33;;311;Cotabambas
