TYPE;NAME;Partido;Column3;Jurisdiccion
Ciudad;Tlaxcala;Tlaxcala;;Tlaxcala
Pueblo;San Diego;Tlaxcala;;Tlaxcala
Pueblo;San Lucas;Tlaxcala;;Tlaxcala
Pueblo;Acuitlapilco;Tlaxcala;;Tlaxcala
Pueblo;San Sebastián;Tlaxcala;;Tlaxcala
Pueblo;Yxtulco;Tlaxcala;;Tlaxcala
Pueblo;Panotla;Tlaxcala;;Tlaxcala
Pueblo;San Esteban;Tlaxcala;;Tlaxcala
Pueblo;La Candelaria;Tlaxcala;;Tlaxcala
Pueblo;Santiago;Tlaxcala;;Tlaxcala
Pueblo;Acxotla;Tlaxcala;;Tlaxcala
Pueblo;Ocozelulco;Tlaxcala;;Tlaxcala
Pueblo;San Miguel;Tlaxcala;;Tlaxcala
Pueblo;San Juan Totola;Tlaxcala;;Tlaxcala
Pueblo;San Ambrocio;Tlaxcala;;Tlaxcala
Pueblo;Los Reyes;Tlaxcala;;Tlaxcala
Pueblo;Las Nieves;Tlaxcala;;Tlaxcala
Pueblo;La Trenidad;Tlaxcala;;Tlaxcala
Pueblo;San Jorxe;Tlaxcala;;Tlaxcala
Pueblo;San Matheo;Tlaxcala;;Tlaxcala
Pueblo;San Tadeo;Tlaxcala;;Tlaxcala
Pueblo;San Francisco Temetzontla;Tlaxcala;;Tlaxcala
Pueblo;Santa Ana Chiautempan;Santa Ana Chiautempan;;Tlaxcala
Pueblo;Santa María Magdalena;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Francisco Tetlanoca;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Pedro Tlalcoapan;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Bartolomé;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Pablo Apetlatitlan;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Bernardino;Santa Ana Chiautempan;;Tlaxcala
Pueblo;Santa Cruz;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Bernabé;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Miguel;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Lucas;Santa Ana Chiautempan;;Tlaxcala
Pueblo;Belén;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Matías;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Damián;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Dionisio;Santa Ana Chiautempan;;Tlaxcala
Pueblo;Atlihuetzian;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Francisco Tlacuiloca;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Lorenzo;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Martín Xaltocan;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Simón;Santa Ana Chiautempan;;Tlaxcala
Pueblo;Santa Bárbara;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Lucas;Santa Ana Chiautempan;;Tlaxcala
Pueblo;La Asunción;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Antonio Cuaxomulco;Santa Ana Chiautempan;;Tlaxcala
Pueblo;San Luis Huamantla;San Luis Huamantla;;Tlaxcala
Pueblo;San Lorenzo Quapistla;San Luis Huamantla;;Tlaxcala
Pueblo;San Pablo Zitlaltepeque;San Luis Huamantla;;Tlaxcala
Pueblo;San Juan Ystenco;San Luis Huamantla;;Tlaxcala
Pueblo;San Nicolás Terrenate;San Luis Huamantla;;Tlaxcala
Pueblo;San Luis Apizaco;Apizaco;;Tlaxcala
Pueblo;Santiago Tetla;Apizaco;;Tlaxcala
Pueblo;Santa María Tescalaque;Apizaco;;Tlaxcala
Pueblo;San Francisco Atexcatzinco;Apizaco;;Tlaxcala
Pueblo;San Bartolomé (Matlalocan?);Apizaco;;Tlaxcala
Pueblo;San Salvador;Apizaco;;Tlaxcala
Pueblo;San Juan Quetzalcoapan;Apizaco;;Tlaxcala
Pueblo;San Cosme;Apizaco;;Tlaxcala
Pueblo;San Andrés;Apizaco;;Tlaxcala
Pueblo;Santa Úrsula;Apizaco;;Tlaxcala
Pueblo;Santa Ana Guiloaque;Apizaco;Huiloac;Tlaxcala
Pueblo;San Benito;Apizaco;;Tlaxcala
Pueblo;Santa María Tocatlan;Apizaco;;Tlaxcala
Pueblo;San Agustin Tlaxco;Tlaxco;;Tlaxcala
Pueblo;Atlancatepeque;Tlaxco;;Tlaxcala
Pueblo;San Felipe Ixtacuistla;San Felipe;;Tlaxcala
Pueblo;La Trinidad;San Felipe;;Tlaxcala
Pueblo;Hueyotlipam;San Felipe;;Tlaxcala
Pueblo;San Simon;San Felipe;;Tlaxcala
Pueblo;Nra Sra de España;San Felipe;;Tlaxcala
Pueblo;Ixcotla;San Felipe;;Tlaxcala
Pueblo;La Magdalena;San Felipe;;Tlaxcala
Pueblo;San Meteo;San Felipe;;Tlaxcala
Pueblo;San Diego;San Felipe;;Tlaxcala
Pueblo;Santa Justina;San Felipe;;Tlaxcala
Pueblo;Santa Ines;San Felipe;;Tlaxcala
Pueblo;..paluca;San Felipe;;Tlaxcala
Pueblo;Mitepeque;San Felipe;;Tlaxcala
Pueblo;Santa María Nativitas;Nativitas;;Tlaxcala
Pueblo;Santo Tomás;Nativitas;;Tlaxcala
Pueblo;Santiago;Nativitas;;Tlaxcala
Pueblo;San Miguel;Nativitas;;Tlaxcala
Pueblo;San Rafael;Nativitas;;Tlaxcala
Pueblo;San Vicente;Nativitas;;Tlaxcala
Pueblo;Santa Elena;Nativitas;;Tlaxcala
Pueblo;San Andrés;Nativitas;;Tlaxcala
Pueblo;San Damián;Nativitas;;Tlaxcala
Pueblo;San Bartolomé;Nativitas;;Tlaxcala
Pueblo;Santa Inés;Nativitas;;Tlaxcala
Pueblo;San Jerónimo;Nativitas;;Tlaxcala
Pueblo;Santa Catarina;Nativitas;;Tlaxcala
Pueblo;Santa Toribia;Nativitas;;Tlaxcala
Pueblo;San Marcos;Nativitas;;Tlaxcala
Pueblo;San Francisco Topoyango;Nativitas;;Tlaxcala
Pueblo;San Juan;Nativitas;;Tlaxcala
Pueblo;Santiago;Nativitas;;Tlaxcala
Pueblo;Santa Isabel;Nativitas;;Tlaxcala
Pueblo;Tenancingo;Nativitas;;Tlaxcala
Pueblo;San Cosme;Nativitas;;Tlaxcala
Pueblo;San Francisco Papalotla;Nativitas;;Tlaxcala
Pueblo;San Pablo del Monte;Nativitas;;Tlaxcala
Pueblo;San Miguel Canoa;Nativitas;;Tlaxcala
Pueblo;Santa Isabel;Nativitas;;Tlaxcala
Pueblo;San Luis Teolocholco;Nativitas;;Tlaxcala
Pueblo;San Antonio;Nativitas;;Tlaxcala
Pueblo;Santa María Astama;Nativitas;;Tlaxcala
Pueblo;Nuestra Señora de la Defensa;Nativitas;;Tlaxcala
Hacienda;Santa Marta;Tlaxcala;;Tlaxcala
Hacienda;Xaltip.C;Tlaxcala;;Tlaxcala
Hacienda;Tepalcatepeque;Tlaxcala;;Tlaxcala
Hacienda;Nuestra Señora del Carmen;Tlaxcala;;Tlaxcala
Hacienda;San Bartolomé Jonecuila;Tlaxcala;;Tlaxcala
Hacienda;San Juan Bautista de Zavaleta;Tlaxcala;;Tlaxcala
Hacienda;Soltepeque;Tlaxcala;;Tlaxcala
Hacienda;Santiago Escalzingo;Tlaxcala;Ocotzingo;Tlaxcala
Hacienda;San Francisco Cuezcomatepeque;Tlaxcala;;Tlaxcala
Hacienda;Santiago Alzayanga;Tlaxcala;;Tlaxcala
Hacienda;San Diego Texinola;Tlaxcala;;Tlaxcala
Hacienda;La Asunción;Tlaxcala;;Tlaxcala
Hacienda;San Juan Bautista Cuapiastla;Tlaxcala;;Tlaxcala
Hacienda;San José Temalacayuca;Tlaxcala;;Tlaxcala
Hacienda;La Compasión Tlascantla;Tlaxcala;;Tlaxcala
Hacienda;San Diego La Paloma y Indiana;Tlaxcala;;Tlaxcala
