TYPE;ref_Label;Partido;Column3;ref_Jurisdiccion;rowID;ref_START;ref_END
Ciudad;Tlaxcala;Tlaxcala;;Tlaxcala;1;1111;9999
Pueblo;San Diego;Tlaxcala;;Tlaxcala;2;1111;9999
Pueblo;San Lucas;Tlaxcala;;Tlaxcala;3;1111;9999
Pueblo;Acuitlapilco;Tlaxcala;;Tlaxcala;4;1111;9999
Pueblo;San Sebastián;Tlaxcala;;Tlaxcala;5;1111;9999
Pueblo;Yxtulco;Tlaxcala;;Tlaxcala;6;1111;9999
Pueblo;Panotla;Tlaxcala;;Tlaxcala;7;1111;9999
Pueblo;San Esteban;Tlaxcala;;Tlaxcala;8;1111;9999
Pueblo;La Candelaria;Tlaxcala;;Tlaxcala;9;1111;9999
Pueblo;Santiago;Tlaxcala;;Tlaxcala;10;1111;9999
Pueblo;Acxotla;Tlaxcala;;Tlaxcala;11;1111;9999
Pueblo;Ocozelulco;Tlaxcala;;Tlaxcala;12;1111;9999
Pueblo;San Miguel;Tlaxcala;;Tlaxcala;13;1111;9999
Pueblo;San Juan Totola;Tlaxcala;;Tlaxcala;14;1111;9999
Pueblo;San Ambrocio;Tlaxcala;;Tlaxcala;15;1111;9999
Pueblo;Los Reyes;Tlaxcala;;Tlaxcala;16;1111;9999
Pueblo;Las Nieves;Tlaxcala;;Tlaxcala;17;1111;9999
Pueblo;La Trenidad;Tlaxcala;;Tlaxcala;18;1111;9999
Pueblo;San Jorxe;Tlaxcala;;Tlaxcala;19;1111;9999
Pueblo;San Matheo;Tlaxcala;;Tlaxcala;20;1111;9999
Pueblo;San Tadeo;Tlaxcala;;Tlaxcala;21;1111;9999
Pueblo;San Francisco Temetzontla;Tlaxcala;;Tlaxcala;22;1111;9999
Pueblo;Santa Ana Chiautempan;Santa Ana Chiautempan;;Tlaxcala;23;1111;9999
Pueblo;Santa María Magdalena;Santa Ana Chiautempan;;Tlaxcala;24;1111;9999
Pueblo;San Francisco Tetlanoca;Santa Ana Chiautempan;;Tlaxcala;25;1111;9999
Pueblo;San Pedro Tlalcoapan;Santa Ana Chiautempan;;Tlaxcala;26;1111;9999
Pueblo;San Bartolomé;Santa Ana Chiautempan;;Tlaxcala;27;1111;9999
Pueblo;San Pablo Apetlatitlan;Santa Ana Chiautempan;;Tlaxcala;28;1111;9999
Pueblo;San Bernardino;Santa Ana Chiautempan;;Tlaxcala;29;1111;9999
Pueblo;Santa Cruz;Santa Ana Chiautempan;;Tlaxcala;30;1111;9999
Pueblo;San Bernabé;Santa Ana Chiautempan;;Tlaxcala;31;1111;9999
Pueblo;San Miguel;Santa Ana Chiautempan;;Tlaxcala;32;1111;9999
Pueblo;San Lucas;Santa Ana Chiautempan;;Tlaxcala;33;1111;9999
Pueblo;Belén;Santa Ana Chiautempan;;Tlaxcala;34;1111;9999
Pueblo;San Matías;Santa Ana Chiautempan;;Tlaxcala;35;1111;9999
Pueblo;San Damián;Santa Ana Chiautempan;;Tlaxcala;36;1111;9999
Pueblo;San Dionisio;Santa Ana Chiautempan;;Tlaxcala;37;1111;9999
Pueblo;Atlihuetzian;Santa Ana Chiautempan;;Tlaxcala;38;1111;9999
Pueblo;San Francisco Tlacuiloca;Santa Ana Chiautempan;;Tlaxcala;39;1111;9999
Pueblo;San Lorenzo;Santa Ana Chiautempan;;Tlaxcala;40;1111;9999
Pueblo;San Martín Xaltocan;Santa Ana Chiautempan;;Tlaxcala;41;1111;9999
Pueblo;San Simón;Santa Ana Chiautempan;;Tlaxcala;42;1111;9999
Pueblo;Santa Bárbara;Santa Ana Chiautempan;;Tlaxcala;43;1111;9999
Pueblo;San Lucas;Santa Ana Chiautempan;;Tlaxcala;44;1111;9999
Pueblo;La Asunción;Santa Ana Chiautempan;;Tlaxcala;45;1111;9999
Pueblo;San Antonio Cuaxomulco;Santa Ana Chiautempan;;Tlaxcala;46;1111;9999
Pueblo;San Luis Huamantla;San Luis Huamantla;;Tlaxcala;47;1111;9999
Pueblo;San Lorenzo Quapistla;San Luis Huamantla;;Tlaxcala;48;1111;9999
Pueblo;San Pablo Zitlaltepeque;San Luis Huamantla;;Tlaxcala;49;1111;9999
Pueblo;San Juan Ystenco;San Luis Huamantla;;Tlaxcala;50;1111;9999
Pueblo;San Nicolás Terrenate;San Luis Huamantla;;Tlaxcala;51;1111;9999
Pueblo;San Luis Apizaco;Apizaco;;Tlaxcala;52;1111;9999
Pueblo;Santiago Tetla;Apizaco;;Tlaxcala;53;1111;9999
Pueblo;Santa María Tescalaque;Apizaco;;Tlaxcala;54;1111;9999
Pueblo;San Francisco Atexcatzinco;Apizaco;;Tlaxcala;55;1111;9999
Pueblo;San Bartolomé (Matlalocan?);Apizaco;;Tlaxcala;56;1111;9999
Pueblo;San Salvador;Apizaco;;Tlaxcala;57;1111;9999
Pueblo;San Juan Quetzalcoapan;Apizaco;;Tlaxcala;58;1111;9999
Pueblo;San Cosme;Apizaco;;Tlaxcala;59;1111;9999
Pueblo;San Andrés;Apizaco;;Tlaxcala;60;1111;9999
Pueblo;Santa Úrsula;Apizaco;;Tlaxcala;61;1111;9999
Pueblo;Santa Ana Guiloaque;Apizaco;Huiloac;Tlaxcala;62;1111;9999
Pueblo;San Benito;Apizaco;;Tlaxcala;63;1111;9999
Pueblo;Santa María Tocatlan;Apizaco;;Tlaxcala;64;1111;9999
Pueblo;San Agustin Tlaxco;Tlaxco;;Tlaxcala;65;1111;9999
Pueblo;Atlancatepeque;Tlaxco;;Tlaxcala;66;1111;9999
Pueblo;San Felipe Ixtacuistla;San Felipe;;Tlaxcala;67;1111;9999
Pueblo;La Trinidad;San Felipe;;Tlaxcala;68;1111;9999
Pueblo;Hueyotlipam;San Felipe;;Tlaxcala;69;1111;9999
Pueblo;San Simon;San Felipe;;Tlaxcala;70;1111;9999
Pueblo;Nra Sra de España;San Felipe;;Tlaxcala;71;1111;9999
Pueblo;Ixcotla;San Felipe;;Tlaxcala;72;1111;9999
Pueblo;La Magdalena;San Felipe;;Tlaxcala;73;1111;9999
Pueblo;San Meteo;San Felipe;;Tlaxcala;74;1111;9999
Pueblo;San Diego;San Felipe;;Tlaxcala;75;1111;9999
Pueblo;Santa Justina;San Felipe;;Tlaxcala;76;1111;9999
Pueblo;Santa Ines;San Felipe;;Tlaxcala;77;1111;9999
Pueblo;..paluca;San Felipe;;Tlaxcala;78;1111;9999
Pueblo;Mitepeque;San Felipe;;Tlaxcala;79;1111;9999
Pueblo;Santa María Nativitas;Nativitas;;Tlaxcala;80;1111;9999
Pueblo;Santo Tomás;Nativitas;;Tlaxcala;81;1111;9999
Pueblo;Santiago;Nativitas;;Tlaxcala;82;1111;9999
Pueblo;San Miguel;Nativitas;;Tlaxcala;83;1111;9999
Pueblo;San Rafael;Nativitas;;Tlaxcala;84;1111;9999
Pueblo;San Vicente;Nativitas;;Tlaxcala;85;1111;9999
Pueblo;Santa Elena;Nativitas;;Tlaxcala;86;1111;9999
Pueblo;San Andrés;Nativitas;;Tlaxcala;87;1111;9999
Pueblo;San Damián;Nativitas;;Tlaxcala;88;1111;9999
Pueblo;San Bartolomé;Nativitas;;Tlaxcala;89;1111;9999
Pueblo;Santa Inés;Nativitas;;Tlaxcala;90;1111;9999
Pueblo;San Jerónimo;Nativitas;;Tlaxcala;91;1111;9999
Pueblo;Santa Catarina;Nativitas;;Tlaxcala;92;1111;9999
Pueblo;Santa Toribia;Nativitas;;Tlaxcala;93;1111;9999
Pueblo;San Marcos;Nativitas;;Tlaxcala;94;1111;9999
Pueblo;San Francisco Topoyango;Nativitas;;Tlaxcala;95;1111;9999
Pueblo;San Juan;Nativitas;;Tlaxcala;96;1111;9999
Pueblo;Santiago;Nativitas;;Tlaxcala;97;1111;9999
Pueblo;Santa Isabel;Nativitas;;Tlaxcala;98;1111;9999
Pueblo;Tenancingo;Nativitas;;Tlaxcala;99;1111;9999
Pueblo;San Cosme;Nativitas;;Tlaxcala;100;1111;9999
Pueblo;San Francisco Papalotla;Nativitas;;Tlaxcala;101;1111;9999
Pueblo;San Pablo del Monte;Nativitas;;Tlaxcala;102;1111;9999
Pueblo;San Miguel Canoa;Nativitas;;Tlaxcala;103;1111;9999
Pueblo;Santa Isabel;Nativitas;;Tlaxcala;104;1111;9999
Pueblo;San Luis Teolocholco;Nativitas;;Tlaxcala;105;1111;9999
Pueblo;San Antonio;Nativitas;;Tlaxcala;106;1111;9999
Pueblo;Santa María Astama;Nativitas;;Tlaxcala;107;1111;9999
Pueblo;Nuestra Señora de la Defensa;Nativitas;;Tlaxcala;108;1111;9999
Hacienda;Santa Marta;Tlaxcala;;Tlaxcala;109;1111;9999
Hacienda;Xaltip.C;Tlaxcala;;Tlaxcala;110;1111;9999
Hacienda;Tepalcatepeque;Tlaxcala;;Tlaxcala;111;1111;9999
Hacienda;Nuestra Señora del Carmen;Tlaxcala;;Tlaxcala;112;1111;9999
Hacienda;San Bartolomé Jonecuila;Tlaxcala;;Tlaxcala;113;1111;9999
Hacienda;San Juan Bautista de Zavaleta;Tlaxcala;;Tlaxcala;114;1111;9999
Hacienda;Soltepeque;Tlaxcala;;Tlaxcala;115;1111;9999
Hacienda;Santiago Escalzingo;Tlaxcala;Ocotzingo;Tlaxcala;116;1111;9999
Hacienda;San Francisco Cuezcomatepeque;Tlaxcala;;Tlaxcala;117;1111;9999
Hacienda;Santiago Alzayanga;Tlaxcala;;Tlaxcala;118;1111;9999
Hacienda;San Diego Texinola;Tlaxcala;;Tlaxcala;119;1111;9999
Hacienda;La Asunción;Tlaxcala;;Tlaxcala;120;1111;9999
Hacienda;San Juan Bautista Cuapiastla;Tlaxcala;;Tlaxcala;121;1111;9999
Hacienda;San José Temalacayuca;Tlaxcala;;Tlaxcala;122;1111;9999
