rowID;ref_Label;gz_id;fuzzy_score;category_match;saint_match;territories_match;phase_1a_outcome;toponym_match;lugar_label;lugar_partido_generico;lugar_provincia_generica;fine_level_mismatch;TYPE;Partido;Column3;ref_Jurisdiccion;ref_START;ref_END;phase_1b_step
1;Tlaxcala;1000020;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Tlaxcala;Tlaxcala;Tlaxcala;;Ciudad;Tlaxcala;;Tlaxcala;1111;9999;
2;San Diego;;1.0;category_null;saint_match;jurisdiccion_exact;relegated;exact;Xocoyucan;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
3;San Lucas;1004097;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;San Lucas;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
4;Acuitlapilco;1004042;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Acuitlapilco;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
5;San Sebastián;1004049;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Atlalpa;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
6;Yxtulco;1004079;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Ixtulco;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
7;Panotla;1004092;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Panotla;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
8;San Esteban;1004124;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Tizantla;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
9;La Candelaria;1004058;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Candelaria;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
10;Santiago;1004091;1.0;category_null;saint_mismatch;jurisdiccion_exact;adopted_candidate;none;Ocotlan;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
11;Acxotla;1004043;1.0;category_null;no_saint;jurisdiccion_exact;adopted_candidate;exact;Acxotla;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
11;Acxotla;1004053;0.923;category_null;no_saint;jurisdiccion_exact;deleted_candidate;fuzzy;Axotla;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
12;Ocozelulco;1004089;0.9;category_null;no_saint;jurisdiccion_exact;auto_adopt;fuzzy;Ocotelulco;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
13;San Miguel;;1.0;category_null;saint_match;jurisdiccion_exact;relegated;exact;San Miguel del Milagro;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
14;San Juan Totola;1004133;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;exact;Totolac;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
15;San Ambrocio;1004121;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Texantla;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
16;Los Reyes;1004095;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Quiahuixtlan;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
18;La Trenidad;1004111;0.875;category_null;no_saint;jurisdiccion_exact;adopted_candidate;fuzzy;Tenexyecac;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
19;San Jorxe;1004096;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;San Jorge;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
20;San Matheo;1004054;0.947;category_null;no_saint;jurisdiccion_exact;deleted_candidate;fuzzy;Ayecac;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
20;San Matheo;1004072;0.947;category_null;no_saint;jurisdiccion_exact;adopted_candidate;fuzzy;Huexoyucan;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
20;San Matheo;1004114;0.947;category_null;no_saint;jurisdiccion_exact;deleted_candidate;fuzzy;Tepetitla;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
20;San Matheo;1004098;0.824;category_null;no_saint;jurisdiccion_exact;deleted_candidate;none;San Matias;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
20;San Matheo;1004115;0.824;category_null;no_saint;jurisdiccion_exact;deleted_candidate;none;Tepetomatitlan;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
21;San Tadeo;1004075;1.0;category_null;saint_match;jurisdiccion_exact;adopted_candidate;exact;Huiloapan;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
22;San Francisco Temetzontla;1004107;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Temetzontla;Tlaxcala;Tlaxcala;;Pueblo;Tlaxcala;;Tlaxcala;1111;9999;
23;Santa Ana Chiautempan;1004060;1.0;category_null;saint_match;jurisdiccion_exact;auto_adopt;toponym_nombre;Chiautempan;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
24;Santa María Magdalena;;0.8;category_null;saint_mismatch;jurisdiccion_exact;relegated;none;Acxotla;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
25;San Francisco Tetlanoca;1004119;0.957;category_null;saint_match;jurisdiccion_exact;adopted_candidate;fuzzy;Tetlanohcan;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
25;San Francisco Tetlanoca;1004127;0.878;category_null;saint_match;jurisdiccion_exact;deleted_candidate;fuzzy;Tlacuilohcan;Tlaxcala;Tlaxcala;;Pueblo;Santa Ana Chiautempan;;Tlaxcala;1111;9999;
