"ID";"Label";"Entidad_ID";"Nivel";"year";"START_";"END_";"Dimension";"Productos";"Mulas";"Café";"Tabaco";"Malague";"Algodón";"Ganado";"Fuente";"Nota"
1;"Puerto Rico";"PRSDPR00";"Provincia";1770;1770;1770;0;"Tabaco, Café, Ganado";1603;29121;67901;3000;2136;0;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";"Unidad: @; Mulas: piezas"
2;"Puerto Rico";"PRSDPR00";"Provincia";1775;1775;1775;0;"";0;0;0;0;0;82384;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
3;"La Villa";"JUSDPRSG";"Partido";1770;1770;1770;5;"Tabaco, Café, Ganado";200;2500;18000;0;300;0;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";"Unidad: @; Mulas: piezas"
4;"Aguada";"PTSDPRAG";"Partido";1770;1770;1770;4;"Tabaco";125;1600;7000;0;100;0;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";"Unidad: @; Mulas: piezas"
5;"Añasco";"PTSDPRAN";"Partido";1770;1770;1770;3;"Tabaco";100;300;7000;0;30;0;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";"Unidad: @; Mulas: piezas"
6;"Arecibo";"PTSDPRAR";"Partido";1770;1770;1770;2;"Ganado, mulas";400;500;150;0;150;0;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";"Unidad: @; Mulas: piezas"
7;"Coamo";"PTSDPRCO";"Partido";1770;1770;1770;4;"Café, Ganado";100;10000;18;0;300;0;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";"Unidad: @; Mulas: piezas"
8;"Guayama";"PTSDPRGM";"Partido";1770;1770;1770;4;"Café, Malagueta";70;8000;1600;3000;0;0;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";"Unidad: @; Mulas: piezas"
9;"Guaynabo";"PTSDPRGN";"Partido";1770;1770;1770;1;"-";5;20;3;0;3;0;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";"Unidad: @; Mulas: piezas"
10;"Mayagüez";"PTSDPRMY";"Partido";1770;1770;1770;2;"Tabaco";100;250;1000;0;80;0;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";"Unidad: @; Mulas: piezas"
11;"Ponce";"PTSDPRPO";"Partido";1770;1770;1770;4;"Café , Tabaco";30;5000;4000;0;300;0;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";"Unidad: @; Mulas: piezas"
12;"Rio Piedras";"PTSDPRRP";"Partido";1770;1770;1770;1;"-";35;35;6;0;25;0;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";"Unidad: @; Mulas: piezas"
13;"Toa Alta";"PTSDPRTA";"Partido";1770;1770;1770;1;"-";10;50;20;0;22;0;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";"Unidad: @; Mulas: piezas"
14;"Toa baja";"PTSDPRTB";"Partido";1770;1770;1770;2;"";150;150;100;0;40;0;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";"Unidad: @; Mulas: piezas"
15;"Tuna";"PTSDPRTU";"Partido";1770;1770;1770;4;"Tabaco";50;300;10000;0;300;0;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";"Unidad: @; Mulas: piezas"
16;"Yauco";"PTSDPRYC";"Partido";1770;1770;1770;5;"Tabaco";0;14;14000;0;300;0;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";"Unidad: @; Mulas: piezas"
17;"Bayamón";"PTSDPRBY";"Partido";1770;1770;1770;1;"-";3;192;4;0;6;0;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";"Unidad: @; Mulas: piezas"
18;"Villa de San Germán";"JUSDPRSG";"Partido";1775;1775;1775;0;"";0;0;0;0;0;8942;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
19;"Aguadilla";"PTSDPRAA";"Partido";1775;1775;1775;0;"";0;0;0;0;0;369;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
20;"Aguada";"PTSDPRAG";"Partido";1775;1775;1775;0;"";0;0;0;0;0;3362;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
21;"Añasco";"PTSDPRAN";"Partido";1775;1775;1775;0;"";0;0;0;0;0;2945;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
22;"Arecibo";"PTSDPRAR";"Partido";1775;1775;1775;0;"";0;0;0;0;0;5988;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
23;"Bayamon";"PTSDPRBY";"Partido";1775;1775;1775;0;"";0;0;0;0;0;2617;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
24;"Cabo Rojo";"PTSDPRCR";"Partido";1775;1775;1775;0;"";0;0;0;0;0;2914;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
25;"Caguas";"PTSDPRCG";"Partido";1775;1775;1775;0;"";0;0;0;0;0;3188;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
26;"Cangrejos";"PTSDPRCJ";"Partido";1775;1775;1775;0;"";0;0;0;0;0;211;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
27;"Cayey de Muesas";"PTSDPRCY";"Partido";1775;1775;1775;0;"";0;0;0;0;0;856;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
28;"Coamo";"PTSDPRCO";"Partido";1775;1775;1775;0;"";0;0;0;0;0;6148;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
29;"Fajardo";"PTSDPRFA";"Partido";1775;1775;1775;0;"";0;0;0;0;0;1227;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
30;"Guayama";"PTSDPRGM";"Partido";1775;1775;1775;0;"";0;0;0;0;0;2782;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
31;"Guaynabo";"PTSDPRGN";"Partido";1775;1775;1775;0;"";0;0;0;0;0;1614;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
32;"Loiza";"PTSDPRLO";"Partido";1775;1775;1775;0;"";0;0;0;0;0;2728;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
33;"Mayagüez";"PTSDPRMY";"Partido";1775;1775;1775;0;"";0;0;0;0;0;3205;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
34;"Moca";"PTSDPRMO";"Partido";1775;1775;1775;0;"";0;0;0;0;0;917;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
35;"Ponce";"PTSDPRPO";"Partido";1775;1775;1775;0;"";0;0;0;0;0;2908;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
36;"Rincón";"PTSDPRRI";"Partido";1775;1775;1775;0;"";0;0;0;0;0;719;"Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).";""
