rowID;ref_Label;level;gz_id;fuzzy_score;category_match;saint_match;territories_match;phase_1a_outcome;toponym_match;lugar_label;lugar_partido_generico;lugar_provincia_generica;fine_level_mismatch;GZ_ID;Contexto-Sup1;Contexto-Sup2;ref_Jurisdiccion;Contexto-Sup4;ref_Region;ref_START;ref_END;phase_1b_step
7366;Curato de la Catedral;Barrio;8000001;;pending;pending;unknown;adopted_relegated;none;Charcas;La Plata;Charcas;True;;;Charcas;Yamparaez;;CHA;1777;1777;
7367;San Lázaro;Barrio;8000662;1.0;category_null;saint_match;region_exact;adopted_candidate;exact;San Lazaro;La Plata;Charcas;;;;Charcas;Yamparaez;;CHA;1777;1777;no_partido_jurisdiccion
7368;San Sebastián;Barrio;8000663;1.0;category_null;saint_match;region_exact;adopted_candidate;exact;San Sebastian;La Plata;Charcas;;;;Charcas;Yamparaez;;CHA;1777;1777;no_partido_jurisdiccion
7369;Charcas;Nucleo;8000001;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Charcas;La Plata;Charcas;;;;Charcas;Yamparaez;;CHA;1777;1777;
7370;Guata;Curato;8000077;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Quata;Yamparaez;Charcas;;;;Guata;Yamparaez;;CHA;1777;1777;
7371;Yotala;Curato;8000079;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Yotala;Yamparaez;Charcas;;;;Yotala;Yamparaez;;CHA;1777;1777;
7372;Aravate;Curato;8000069;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Arabate;Yamparaez;Charcas;;;;Aravate;Yamparaez;;CHA;1777;1777;
7373;Quilaquila;Curato;8000078;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Quilaquila;Yamparaez;Charcas;;;;Quilaquila;Yamparaez;;CHA;1777;1777;
7374;Yamparà;Curato;8000024;923;category_null;no_saint;jurisdiccion_exact;auto_adopt;fuzzy;Yampara;Yamparaez;Charcas;;;;Yamparà;Yamparaez;;CHA;1777;1777;
7375;Paccha;Curato;8000071;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Paccha;Yamparaez;Charcas;;;;Paccha;Yamparaez;;CHA;1777;1777;
7376;Sapse;Curato;8000073;889;category_null;no_saint;jurisdiccion_exact;adopted_candidate;fuzzy;Sapsi;Yamparaez;Charcas;;;;Sapse;Yamparaez;;CHA;1777;1777;
7377;Chuxumatas;Curato;8000070;0.9;category_null;no_saint;jurisdiccion_exact;auto_adopt;fuzzy;Churumatas;Yamparaez;Charcas;;;;Chuxumatas;Yamparaez;;CHA;1777;1777;
7378;Copavilque;Curato;8000081;0.9;category_null;no_saint;jurisdiccion_exact;auto_adopt;fuzzy;Colpavilque;Yamparaez;Charcas;;;;Copavilque;Yamparaez;;CHA;1777;1777;
7379;Potoma;Curato;8000074;833;category_null;no_saint;jurisdiccion_exact;adopted_candidate;none;Poroma;Yamparaez;Charcas;;;;Potoma;Yamparaez;;CHA;1777;1777;
7380;Pocpo;Curato;8000075;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Pocpo;Yamparaez;Charcas;;;;Pocpo;Yamparaez;;CHA;1777;1777;
7381;Moxotoro;Curato;8000072;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Mojotoro;Yamparaez;Charcas;;;;Mororoco;Yamparaez;;CHA;1777;1777;
7382;Siccha;Curato;8000076;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Siccha;Yamparaez;Charcas;;;;Siccha;Yamparaez;;CHA;1777;1777;
7383;Acachila;Curato;8000362;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Acachila;Yamparaez;Charcas;;;;Acachila;Yamparaez;;CHA;1777;1777;
7384;Curato de la Matriz;Barrio;8000006;;pending;pending;unknown;adopted_relegated;none;Potosi;Potosi;Potosi;True;;;Potosi;Potosi;;CHA;1777;1777;
7385;Piezas;Barrio;8000675;;pending;pending;unknown;adopted_relegated;none;San Lorenzo y San Bernardo;Potosi;Potosi;True;;;Potosi;Potosi;;CHA;1777;1777;
7386;San Roque;Barrio;8000676;1.0;category_null;saint_match;region_exact;adopted_candidate;exact;San Roque;Potosi;Potosi;;;;Potosi;Potosi;;CHA;1777;1777;no_partido_jurisdiccion
7387;San Bernardo;Barrio;8000704;1.0;category_null;saint_match;region_exact;adopted_candidate;exact;San Bernardo;Potosi;Potosi;;;;Potosi;Potosi;;CHA;1777;1777;no_partido_jurisdiccion
7388;San Benito;Barrio;8000674;1.0;category_null;saint_match;region_exact;adopted_candidate;exact;San Benito;Potosi;Potosi;;;;Potosi;Potosi;;CHA;1777;1777;no_partido_jurisdiccion
7389;San Pedro;Barrio;8000672;1.0;category_null;saint_mismatch;region_exact;adopted_candidate;exact;San Pedro y San Francisco;Potosi;Potosi;;;;Potosi;Potosi;;CHA;1777;1777;no_partido_jurisdiccion
7390;San Pablo;Barrio;8000669;1.0;category_null;saint_match;region_exact;adopted_relegated;toponym_nombre;San Pablo;Potosi;Potosi;;;;Potosi;Potosi;;CHA;1777;1777;no_partido_jurisdiccion
7391;Santiago;Barrio;8000673;1.0;category_null;saint_match;region_exact;adopted_relegated;toponym_nombre;Santiago;Potosi;Potosi;;;;Potosi;Potosi;;CHA;1777;1777;no_partido_jurisdiccion
7392;San Juan;Barrio;8000670;1.0;category_null;saint_match;region_exact;adopted_relegated;toponym_nombre;San Juan y San Martin;Potosi;Potosi;;;;Potosi;Potosi;;CHA;1777;1777;no_partido_jurisdiccion
7393;Concepción;Barrio;8000671;1.0;category_null;saint_match;region_exact;adopted_relegated;toponym_nombre;Concepcion;Potosi;Potosi;;;;Potosi;Potosi;;CHA;1777;1777;no_partido_jurisdiccion
7394;Potosi;Nucleo;8000006;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Potosi;Potosi;Potosi;;;;Potosi;Potosi;;CHA;1777;1777;
7395;Curato de la Villa;Curato;8000004;;pending;pending;unknown;adopted_relegated;none;Cochabamba;Cochabamba;Cochabamba;True;;;Cochabamba;Cochabamba;;CHA;1777;1777;
7396;Sacava;Curato;8000028;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Sacaba;Sacaba;Cochabamba;;;;Sacava;Cochabamba;;CHA;1777;1777;
7397;Quillacollo;Curato;8000098;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Quillacollo;Tapacari;Cochabamba;;;;Quillacollo;Cochabamba;;CHA;1777;1777;
7398;Passo;Curato;9900990;857;category_null;no_saint;jurisdiccion_exact;adopted_candidate;fuzzy;El Paso;Tapacari;Cochabamba;;;;Passo;Cochabamba;;CHA;1777;1777;
7399;Tiquipaya;Curato;8000099;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Tiquipaya;Tapacari;Cochabamba;;;;Tiquipaya;Cochabamba;;CHA;1777;1777;
7400;Sipesipe;Curato;8000097;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Sipesipe;Tapacari;Cochabamba;;;;Sipesipe;Cochabamba;;CHA;1777;1777;
7401;Arque;Curato;8000025;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Arque;Arque;Cochabamba;;;;Arque;Cochabamba;;CHA;1777;1777;
7402;Caraza;Curato;8000085;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Caraza;Arque;Cochabamba;;;;Caraza;Cochabamba;;CHA;1777;1777;
7403;Colcha;Curato;8000083;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Colcha;Arque;Cochabamba;;;;Colcha;Cochabamba;;CHA;1777;1777;
7404;Machacamarca;Curato;8000089;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Machacamarca;Ayopaya;Cochabamba;;;;Machacamarca;Cochabamba;;CHA;1777;1777;
