Label;GZ_ID;ID;Contexto-Sup1;Contexto-Sup2;Contexto-Sup3;Contexto-Sup4;REG;Curatos;Anexos;Nucleos;Alcance-tipo;START_;END_;Fecha_Dato;Dato-tipo;Fuente;SUMAS;Nota;Total;Blancos;Indios;Mestizos;Castas;Indefinidos;Blancos-rel;Indios-rel;Mestizos-rel;Castas-rel;Indefinidos-rel;Esclavos;Esclavos-rel;Vecinos-doc;Tributarios-doc;Familias-doc;Total-doc;Eclesiasticos-t-doc;Blancos-t-doc;Indefinidos-t-doc;Indios-t-doc;Mestizos-t-doc;Castas-t-doc;Negros-t-doc;Esclavos-t-doc;Eclesiásticos-m-doc;Eclesiásticos-f-doc;Blancos-m-doc;Blancos-f-doc;Indefinidos-m-doc;Indefinidos-f-doc;Indios-m-doc;Indios-f-doc;Mestizos-m-doc;Mestizos-f-doc;Castas-m-doc;Castas-f-doc;Negros-m-doc;Negros-f-doc;Esclavos-m-doc;Esclavos-f-doc;Blancos-m-cas-doc;Blancos-m-sol-doc;Blancos-m-men-doc;Blancos-f-cas-doc;Blancos-f-sol-doc;Blancos-f-men-doc;Indios-m-cas-doc;Indios-m-sol-doc;Indios-m-men-doc;Indios-f-cas-doc;Indios-f-sol-doc;Indios-f-men-doc;Indefinido-m-cas;Indefinido-m-sol;Indefinido-m-men;Indefinido-f-cas;Indefinido-f-sol;Indefinido-f-men;Mestizos-m-cas-doc;Mestizos-m-sol-doc;Mestizos-m-men-doc;Mestizos-f-cas-doc;Mestizos-f-sol-doc;Mestizos-f-men-doc;Castas-m-cas-doc;Castas-m-sol-doc;Castas-m-men-doc;Castas-f-cas-doc;Castas-f-sol-doc;Castas-f-men-doc;Negros-m-cas-doc;Negros-m-sol-doc;Negros-m-men-doc;Negros-f-cas-doc;Negros-f-sol-doc;Negros-f-men-doc;Esclavos-m-cas-doc;Esclavos-m-sol-doc;Esclavos-m-men-doc;Esclavos-f-cas-doc;Esclavos-f-sol-doc;Esclavos-f-men-doc;Blancos-m-viudos;Blancos-f-viudos;Indios-m-viudos;Indios-f-viudos;Mestizos-m-viudos;Mestizos-f-viudos;Castas-m-viudos;Castas-f-viudos;Negros-m-viudos;Negros-f-viudos;Esclavos-m-viudos;Esclavos-f-viudos;Indefinido-m-viudos;Indefinido-f-viudos;Casas-doc;Familias-Blancos;Familias-Indios;Fam-Indefinidos;Fam-Mestizos;Fam-Castas;Fam-Negros;Fam-Esclavos;Etnia principal;Etnias;gz_id;lat_y;lon_x;cert
Curato de la Catedral;;7366;;Charcas;Yamparaez;;CHA;;;;Parroquia;1777;1777;1778;original;;;;11593;3308;0;6159;2126;0;28,53446045;0,0;53,12688691;18,33865264;0;0;0;;;;11553,0;;;;;;;;;;;;;;;;;;;;;;;;;573;770;278;573;812;302;0;0;0;0;0;0;0;0;0;0;0;0;1222;742;756;1222;1641;576;355;421;178;355;616;201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000001;-19,0478619999313;-65,2596020002321;Buena
San Lázaro;;7367;;Charcas;Yamparaez;;CHA;;;;Parroquia;1777;1777;1778;original;;;;1207;0;1207;0;0;0;0,0;100,0;0,0;0,0;0;0;0;;;;1207,0;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;253;167;208;253;179;147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000662;-19,0509330003576;-65,2546710003663;Buena
San Sebastián;;7368;;Charcas;Yamparaez;;CHA;;;;Parroquia;1777;1777;1778;original;;;;2581;17;2564;0;0;0;0,658659434;99,34134057;0,0;0,0;0;0;0;;;;2564,0;;;;;;;;;;;;;;;;;;;;;;;;;3;4;2;3;2;3;520;271;394;520;519;340;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000663;-19,0428419995586;-65,2580040002844;Buena
Charcas;;7369;;Charcas;Yamparaez;;CHA;;;;Nucleo;1777;1777;1778;original;;;;15381;3325;3771;6159;2126;0;21,61758013;24,51726156;40,04291008;13,82224823;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;576;774;280;576;814;305;773;438;602;773;698;487;0;0;0;0;0;0;1222;742;756;1222;1641;576;355;421;178;355;616;201;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000001;-19,0478619999313;-65,2596020002321;Buena
Guata;;7370;;Guata;Yamparaez;;CHA;;;;Curato;1777;1777;1778;original;;;;1118;11;944;107;56;0;0,983899821;84,43649374;9,570661896;5,008944544;0;0;0;;;;1118,0;;;;;;;;;;;;;;;;;;;;;;;;;2;1;0;2;3;3;225;98;147;225;98;151;0;0;0;0;0;0;23;19;16;23;12;14;16;2;8;16;4;10;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000077;-18,9853785143069;-65,2451227228353;Suficiente
Yotala;;7371;;Yotala;Yamparaez;;CHA;;;;Curato;1777;1777;1778;original;;;;1765;24;959;782;0;0;1,359773371;54,33427762;44,30594901;0,0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;5;3;6;4;0;172;133;197;172;115;170;0;0;0;0;0;0;144;96;175;144;91;132;0;0;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000079;-19,1616669996323;-65,2647219998204;Buena
Aravate;;7372;;Aravate;Yamparaez;;CHA;;;;Curato;1777;1777;1778;original;;;;961;0;613;290;58;0;0,0;63,78772112;30,17689906;6,035379813;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;170;50;97;170;39;87;0;0;0;0;0;0;60;27;62;60;17;64;16;5;8;16;4;9;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000069;-19,0042000000299;-65,2026000002897;Buena
Quilaquila;;7373;;Quilaquila;Yamparaez;;CHA;;;;Curato;1777;1777;1778;original;;;;2023;102;1781;115;25;0;5,042016807;88,03756797;5,684626792;1,235788433;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;16;16;23;8;16;422;214;329;422;148;246;0;0;0;0;0;0;26;16;19;26;16;12;10;1;2;10;2;0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000078;-19,1197019997475;-65,3770590001727;Buena
Yamparà;;7374;;Yamparà;Yamparaez;;CHA;;;;Curato;1777;1777;1778;original;;;;3686;73;2689;736;188;0;1,98046663;72,95170917;19,96744438;5,100379816;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;9;11;13;14;13;524;346;386;524;434;475;0;0;0;0;0;0;134;104;135;134;96;133;33;25;33;33;34;30;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000024;-19,189458999733;-65,1214300000944;Buena
Paccha;;7375;;Paccha;Yamparaez;;CHA;;;;Curato;1777;1777;1778;original;;;;1811;187;1364;213;47;0;10,32578686;75,31750414;11,76145776;2,595251242;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;34;26;29;20;49;469;92;114;469;95;125;0;0;0;0;0;0;42;23;39;42;31;36;10;11;10;10;2;4;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000071;-18,9779000003846;-65,0305000003747;Buena
