rowID;ref_Label;gz_id;lugar_nombre;lugar_variantes;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_START;ref_END;ref_Partido;ref_Obispado;ref_Audiencia;manual_region;manual_province;manual_district;manual_ciudad_villa_only
1;Huanuco;6001084;Leon de Huanuco;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1708.0;1708.0;;Lima;;;;;False
2;Llamellin;6001026;Llamellin;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1710.0;1710.0;Conchucos;;;;;;False
3;Cayna;6001176;San Pedro Cayna;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1719.0;1719.0;Tarma;;;;;;False
4;Mayunmarca;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
5;Paucartambo;6001184;Paucartambo;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1721.0;1723.0;Tarma;;;;;;False
6;Tomina;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
7;Quiquijana;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
8;Ayabata;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
9;Andahuaylas;6000395;San Pedro Andahuaylas;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1726.0;1726.0;Andahuaylas;Huamanga;;;;;False
10;San Marcos;6001245;San Marcos;;toponym_label;1;saint_mismatch;category_null;matched;adopted_candidate;1730.0;1730.0;Cajamarca;;;;;;False
11;Cochabamba;8000004;Cochabamba;Villa de Oropesa @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1730.0;1730.0;;La Plata;;;;;False
12;Chipan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
13;Aucara;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
14;Cabana;6000497;Cabana;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1730.0;1730.0;Lucanas;;;;;;False
15;San Marcos;6001245;San Marcos;;toponym_label;1;saint_mismatch;category_null;matched;adopted_candidate;1731.0;1731.0;Cajamarca;;;;;;False
16;Cotabambas;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
17;Mara;6000267;Mara;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1731.0;1731.0;Cotabambas;;;;;;False
18;Oruro;8000010;San Miguel de Oruro;Uru-Uru;toponym_label;1;saint_null;category_null;matched;auto_adopt;1731.0;1731.0;;La Plata;;;;;False
19;Lucanas;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
20;San Cristobal de Uco;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
21;Lucanas;6000495;San Juan Lucanas;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1736.0;1736.0;;Huamanga;;;;;False
22;Atavillos Bajos;6000725;Atabillos Bajos;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1736.0;1736.0;Canta;;;;;;False
23;Atonsulla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
24;Asillo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
25;Huamanga;6000006;San Juan de la Frontera de Huamanga;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1737.0;1737.0;;Huamanga;;;;;False
26;Azangaro;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
27;Cutervo;6001367;Cutervo;Cuitervo @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1738.0;1738.0;Cajamarca;;;;;;False
28;Oruro;8000010;San Miguel de Oruro;Uru-Uru;toponym_label;1;saint_null;category_null;matched;auto_adopt;1739.0;1739.0;;La Plata;;;;;False
29;Huamantanga;6000732;Huamantanga;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1739.0;1739.0;Canta;;;;;;False
30;Castrovirreyna;6000610;Castrovirreyna;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1739.0;1739.0;;Huamanga;;;;;False
31;Azangaro;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
32;Tarma;6000004;Tarma;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1742.0;1750.0;;Lima;;;;;False
33;Iguari;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
34;Oteque;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
35;Guachinga;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
36;Tarma;6000004;Tarma;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1744.0;1744.0;;Lima;;;;;False
37;Rapaz;6000998;Rapas;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1744.0;1744.0;Cajatambo;;;;;;False
38;Cercado;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
39;Llacuabado;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
40;Ferrenafe;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
41;Lima;6000001;Lima;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1750.0;1750.0;;Lima;;;;;False
42;Huarochiri;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
43;Urubamba;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
44;Zana;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
45;Ferrenafe;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
46;Potosi;8000006;Villa Imperial de Potosi;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1751.0;1751.0;;La Plata;;;;;False
47;Jauja;6001133;Santa Fe de Hatun Xauxa;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1755.0;1755.0;;Lima;;;;;False
48;Angaraes;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
49;Usquil;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
50;Ninacaca;6001181;Ninacaca;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1756.0;1756.0;Tarma;;;;;;False
51;Carhuamayo;6001182;Carhuamayo;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1756.0;1756.0;Tarma;;;;;;False
52;Chacayan;6001175;Chacayan;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1757.0;1757.0;Tarma;;;;;;False
53;Yanacocha;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
54;Tapu;6001174;Tapu;Tapuc @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1757.0;1757.0;Tarma;;;;;;False
55;Michivilca;6001191;Michivilca;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1757.0;1757.0;Tarma;;;;;;False
56;Huarmacas;6001401;Huarmacas;Huarmaca @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1758.0;1758.0;Piura;;;;;;False
57;Huamachuco;6001331;Huamachuco;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1758.0;1758.0;;Trujillo;;;;;False
58;Otuzco;6001332;Otuzco;Otusco @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1758.0;1758.0;;;Lima;;;;False
59;Pichuichuro;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
60;Totora;8000044;Totora;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1760.0;1762.0;Carangas;;;;;;False
61;Simbal;6001442;San Juan Bautista Simbal;Zimbal @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1761.0;1761.0;Trujillo;;;;;;False
62;Zepita;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
63;Pueblo Nuevo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
64;San Luis Huancapi;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
65;Riobamba;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
66;Pichuichuro;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
67;Caylloma;6000070;Asiento de Caylloma;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1766.0;1766.0;;Arequipa;;;;;False
68;Pomata;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
69;Puno;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
70;Mojos;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
71;Paraysancos;6000504;Paraysancos;Parayfancos @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1768.0;1768.0;Lucanas;;;;;;False
72;Quito;5600001;Quito;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1768.0;1768.0;;Quito;;;;;False
73;Chumbivilcas;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
74;Contumaza;6001242;Contumaza;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1769.0;1769.0;;;Lima;;;;False
75;Asuncion;6001243;Asuncion;;toponym_label;1;saint_mismatch;category_null;matched;adopted_candidate;1769.0;1769.0;Cajamarca;;;;;;False
76;Sicuani;6000365;Sicuani;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1770.0;1770.0;;;Lima;;;;False
77;Checacupe;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
78;Sicasica;8000034;Sicasica;Sica Sica @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1770.0;1770.0;;La Plata;;;;;False
79;Caylloma;6000070;Asiento de Caylloma;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1770.0;1770.0;;Arequipa;;;;;False
80;Chulimani;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
81;Pacajes;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
82;Santiago de Cao;6001440;Santiago de Cao;;toponym_nombre;1;saint_mismatch;category_null;matched;adopted_candidate;1771.0;1771.0;Trujillo;;;;;;False
