ref_Label;GZ_ID;rowID;Contexto-Sup1;Contexto-Sup2;ref_Jurisdiccion;Contexto-Sup4;ref_Region;ref_START;ref_END
Curato de la Catedral;;7366;;Charcas;Yamparaez;;CHA;1777;1777
San Lázaro;;7367;;Charcas;Yamparaez;;CHA;1777;1777
San Sebastián;;7368;;Charcas;Yamparaez;;CHA;1777;1777
Charcas;;7369;;Charcas;Yamparaez;;CHA;1777;1777
Guata;;7370;;Guata;Yamparaez;;CHA;1777;1777
Yotala;;7371;;Yotala;Yamparaez;;CHA;1777;1777
Aravate;;7372;;Aravate;Yamparaez;;CHA;1777;1777
Quilaquila;;7373;;Quilaquila;Yamparaez;;CHA;1777;1777
Yamparà;;7374;;Yamparà;Yamparaez;;CHA;1777;1777
Paccha;;7375;;Paccha;Yamparaez;;CHA;1777;1777
Sapse;;7376;;Sapse;Yamparaez;;CHA;1777;1777
Chuxumatas;;7377;;Chuxumatas;Yamparaez;;CHA;1777;1777
Copavilque;;7378;;Copavilque;Yamparaez;;CHA;1777;1777
Potoma;;7379;;Potoma;Yamparaez;;CHA;1777;1777
Pocpo;;7380;;Pocpo;Yamparaez;;CHA;1777;1777
Moxotoro;;7381;;Mororoco;Yamparaez;;CHA;1777;1777
Siccha;;7382;;Siccha;Yamparaez;;CHA;1777;1777
Acachila;;7383;;Acachila;Yamparaez;;CHA;1777;1777
Curato de la Matriz;;7384;;Potosi;Potosi;;CHA;1777;1777
Piezas;;7385;;Potosi;Potosi;;CHA;1777;1777
San Roque;;7386;;Potosi;Potosi;;CHA;1777;1777
San Bernardo;;7387;;Potosi;Potosi;;CHA;1777;1777
San Benito;;7388;;Potosi;Potosi;;CHA;1777;1777
San Pedro;;7389;;Potosi;Potosi;;CHA;1777;1777
San Pablo;;7390;;Potosi;Potosi;;CHA;1777;1777
Santiago;;7391;;Potosi;Potosi;;CHA;1777;1777
San Juan;;7392;;Potosi;Potosi;;CHA;1777;1777
Concepción;;7393;;Potosi;Potosi;;CHA;1777;1777
Potosi;;7394;;Potosi;Potosi;;CHA;1777;1777
Curato de la Villa;;7395;;Cochabamba;Cochabamba;;CHA;1777;1777
Sacava;;7396;;Sacava;Cochabamba;;CHA;1777;1777
Quillacollo;;7397;;Quillacollo;Cochabamba;;CHA;1777;1777
Passo;;7398;;Passo;Cochabamba;;CHA;1777;1777
Tiquipaya;;7399;;Tiquipaya;Cochabamba;;CHA;1777;1777
Sipesipe;;7400;;Sipesipe;Cochabamba;;CHA;1777;1777
Arque;;7401;;Arque;Cochabamba;;CHA;1777;1777
Caraza;;7402;;Caraza;Cochabamba;;CHA;1777;1777
Colcha;;7403;;Colcha;Cochabamba;;CHA;1777;1777
Machacamarca;;7404;;Machacamarca;Cochabamba;;CHA;1777;1777
Tani;;7405;;Tani;Cochabamba;;CHA;1777;1777
Capinota;;7406;;Capinota;Cochabamba;;CHA;1777;1777
Choquecamata;;7407;;Choquecamata;Cochabamba;;CHA;1777;1777
Tapacarí;;7408;;Tapacarí;Cochabamba;;CHA;1777;1777
Tarija;;7409;;Villa de Tarija;Chichas;;CHA;1777;1777
Concepción;;7410;;Concepción;Chichas;;CHA;1777;1777
San Lorenzo;;7411;;San Lorenzo;Chichas;;CHA;1777;1777
Tupiza;;7412;;Villa de Tupiza;Chichas;;CHA;1777;1777
Calcha;;7413;;Calcha;Chichas;;CHA;1777;1777
Talina;;7414;;Talina;Chichas;;CHA;1777;1777
Santiago de Cotagayta;;7415;;Santiago de Cotagayta;Chichas;;CHA;1777;1777
Chocaya;;7416;;Chocaya;Chichas;;CHA;1777;1777
Matriz;;7417;;Matriz;Oruro;;CHA;1777;1777
Rancheria;;7418;;Rancheria;Oruro;;CHA;1777;1777
Oruro;;7419;;Oruro;Oruro;;CHA;1777;1777
Porco;;7420;;Porco;Porco;;CHA;1777;1777
Puna;;7421;;Puna;Porco;;CHA;1777;1777
Chaqui;;7422;;Chaqui;Porco;;CHA;1777;1777
Cayza;;7423;;Cayza;Porco;;CHA;1777;1777
Toropalca;;7424;;Toropalca;Porco;;CHA;1777;1777
Bartholo;;7425;;Bartholo;Porco;;CHA;1777;1777
Sipooro;;7426;;Sipooxo;Porco;;CHA;1777;1777
Tomahave;;7427;;Tomahave;Porco;;CHA;1777;1777
Miculpaya;;7428;;Miculpaya;Porco;;CHA;1777;1777
Tinquipaya;;7429;;Tinquipaya;Porco;;CHA;1777;1777
Esquiri Mataca alta;;7430;;Esquiri Mataca alta;Porco;;CHA;1777;1777
Santa Ana Mataca vaja;;7431;;Santa Ana Mataca vaja;Porco;;CHA;1777;1777
Tacobamba;;7432;;Tacobamba;Porco;;CHA;1777;1777
Turuchipa;;7433;;Turuchipa;Porco;;CHA;1777;1777
Potobamba;;7434;;Potobamba;Porco;;CHA;1777;1777
Tuna;;7435;;Tuna;Porco;;CHA;1777;1777
Pocopoco;;7436;;Pocopoco;Porco;;CHA;1777;1777
Chulchucani;;7437;;Chulchucani;Porco;;CHA;1777;1777
Tarapaya;;7438;;Tarapaya;Porco;;CHA;1777;1777
Salinas de Yocalla;;7439;;Salinas de Yocalla;Porco;;CHA;1777;1777
Curato de Chayanta;;7440;;Chayanta;Chayanta;;CHA;1777;1777
Chayantacas;;7441;;Chayantacas;Chayanta;;CHA;1777;1777
San Pedro de Buenavista;;7442;;San Pedro de Buenavista;Chayanta;;CHA;1777;1777
Miraflores;;7443;;Miraflores;Chayanta;;CHA;1777;1777
Moromoro;;7444;;Moromoro;Chayanta;;CHA;1777;1777
Pitantora;;7445;;Pitantora;Chayanta;;CHA;1777;1777
Guaycoma;;7446;;Guarycoma;Chayanta;;CHA;1777;1777
Micani;;7447;;Micani;Chayanta;;CHA;1777;1777
Acacio;;7448;;Acacio;Chayanta;;CHA;1777;1777
Aymaya;;7449;;Aymaya;Chayanta;;CHA;1777;1777
Panacachi;;7450;;Panacachi;Chayanta;;CHA;1777;1777
Pocoata;;7451;;Pocoata;Chayanta;;CHA;1777;1777
Macha;;7452;;Macha;Chayanta;;CHA;1777;1777
Carazi;;7453;;Caxazi;Chayanta;;CHA;1777;1777
Moscari;;7454;;Moscari;Chayanta;;CHA;1777;1777
Aullagas;;7455;;Aullagas;Chayanta;;CHA;1777;1777
Sacaca;;7456;;Sacaca;Chayanta;;CHA;1777;1777
San Ildefonso de Paria;;7457;;San Ildefonso de Paria;Paria;;CHA;1777;1777
Caracollo;;7458;;Caracollo;Paria;;CHA;1777;1777
Soracora;;7459;;Soracoxa;Paria;;CHA;1777;1777
Condocondo;;7460;;Condocondo;Paria;;CHA;1777;1777
Challapata;;7461;;Challapata;Paria;;CHA;1777;1777
Coroma;;7462;;Coxoma;Paria;;CHA;1777;1777
Quillacas;;7463;;Quillacas;Paria;;CHA;1777;1777
Challacollo;;7464;;Challacollo;Paria;;CHA;1777;1777
Toledo;;7465;;Toledo;Paria;;CHA;1777;1777
Poopo;;7466;;Poopo;Paria;;CHA;1777;1777
Salinas de Garcimendoza;;7467;;Salinas de Garcimendoza;Paria;;CHA;1777;1777
Santiago de Tomina;;7468;;Santiago de Tomina;Tomina;;CHA;1777;1777
Laguna;;7469;;Laguna;Tomina;;CHA;1777;1777
Tacopaya;;7470;;Tacopaya;Tomina;;CHA;1777;1777
Morocoya;;7471;;Morocoya;Tomina;;CHA;1777;1777
Pomabamba;;7472;;Pomabamba;Tomina;;CHA;1777;1777
Presto;;7473;;Presto;Tomina;;CHA;1777;1777
Villar;;7474;;Villar;Tomina;;CHA;1777;1777
Tarabuco;;7475;;Tarabuco;Tomina;;CHA;1777;1777
Sopachuy;;7476;;Sopachuy;Tomina;;CHA;1777;1777
Colquemarca;;7477;;Colquemarca;Carangas;;CHA;1777;1777
Chuquicota;;7478;;Chuquicota;Carangas;;CHA;1777;1777
Guayllamarca;;7479;;Guayllamarca;Carangas;;CHA;1777;1777
Totora;;7480;;Totora;Carangas;;CHA;1777;1777
Turco;;7481;;Turco;Carangas;;CHA;1777;1777
Curaguara;;7482;;Curaguara;Carangas;;CHA;1777;1777
Andamarca;;7483;;Andamarca;Carangas;;CHA;1777;1777
Guachacalla;;7484;;Guachacalla;Carangas;;CHA;1777;1777
Pilaya;;7485;;Pilaya;Pilaya;;CHA;1777;1777
Acchilla;;7486;;Acchilla;Pilaya;;CHA;1777;1777
Santa Elena;;7487;;Santa Elena;Pilaya;;CHA;1777;1777
San Lucas;;7488;;San Lucas;Pilaya;;CHA;1777;1777
Pisuani;;7489;;Pisuani;Pilaya;;CHA;1777;1777
Sinti;;7490;;Sinti;Pilaya;;CHA;1777;1777
Sicasica;;7491;;Sicasica;Sicasica;;CHA;1777;1777
Yaco;;7492;;Yaco;Sicasica;;CHA;1777;1777
Luribay;;7493;;Luribay;Sicasica;;CHA;1777;1777
Mohosa;;7494;;Mohosa;Sicasica;;CHA;1777;1777
Cavari;;7495;;Cavari;Sicasica;;CHA;1777;1777
San Christoval;;7496;;San Christoval;Lipez;;CHA;1777;1777
Comoraca;;7497;;Comoxaca;Lipez;;CHA;1777;1777
Llica y Tagua;;7498;;Llica y Tagua;Lipez;;CHA;1777;1777
San Antonio;;7499;;San Antonio;Lipez;;CHA;1777;1777
Callapa;;7500;;Callapa;Pacajes;;CHA;1777;1777
Tulloma;;7501;;Tulloma;Pacajes;;CHA;1777;1777
Joya;;7502;;Joya;Pacajes;;CHA;1777;1777
San Pedro Atacama;;7503;;San Pedro Atacama;Atacama;;CHA;1777;1777
San Francisco de Chiuchiu;;7504;;San Francisco de Chiuchiu;Atacama;;CHA;1777;1777
