rowID;ref_Label;gz_id;lugar_nombre;lugar_variantes;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_Region;ref_Jurisdiccion;ref_Obispado;ref_START;ref_END;ref_Pais;ref_Adm1;manual_region;manual_province;manual_district;manual_ciudad_villa_only
77;Tetitlan ;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
78;Actopan;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
89;Donicha;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
88;Sabanilla;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
82;San Juan Meztitlan ;1001286;San Juan Metztitlan;;toponym_nombre;1.0;saint_mismatch;category_null;matched;deleted_candidate;NES;Meztitlan ;;1805.0;1805.0;MEX;Hidalgo;;;;False
81;Zozoquiapam;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
83;Coamelco;1001245;San Nicolas Coamelco;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Meztitlan ;;1777.0;1777.0;MEX;Hidalgo;;;;False
80;Meztitlan;1000095;San Agustin Metztitlan;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Meztitlan ;;1772.0;1772.0;MEX;Hidalgo;;;;False
85;Real del Monte;1001381;Real del Monte;Real del Monte @;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Pachuca;;1805.0;1805.0;MEX;Hidalgo;;;;False
86;Pachuca;1000007;Real de Pachuca;Real de Pachuca @;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Pachuca;;1771.0;1771.0;MEX;Hidalgo;;;;False
75;Axacuba;1001610;Santa Maria Ajacuba;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Tetepango;;1744.0;1744.0;MEX;Hidalgo;;;;False
76;Tlapanaloya, district of Atitalaquia;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
74;Misquiaguala;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
90;Tulancingo;1000111;San Juan Bautista Tulancingo;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Tulancingo;;1769.0;1769.0;MEX;Hidalgo;;;;False
99;Dayonthe;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
98;La Milpa;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
92;San Francisco Soyalmiquilpa;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
94;Santa Maria Tixmadeje;1001060;Santa Maria Tixmadeje;;toponym_nombre;1.0;saint_mismatch;category_null;matched;deleted_candidate;NES;Xilotepec-Huichapan;;1789.0;1789.0;MEX;Hidalgo;;;;False
95;Alfajayuca;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
93;San Pedro Donicaa;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
96;Zimapatongo;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
72;Chimalhuacan;1000751;San Vicente Chimalhuacan;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Chalco;;1802.0;1802.0;MEX;Mexico;;;;False
69;Amecameca, barrio Tlailotlacan, ;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
68;Atlautla;1000742;San Miguel Atlautla;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Chalco;;1799.0;1799.0;MEX;Mexico;;;;False
67;Tlayacapan;1000799;San Pedro y San Pablo Tlayacapan;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Chalco;;1784.0;1784.0;MEX;Mexico;;;;False
71;Tlalmanalco;1000791;San Luis Tlalmanalco;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Chalco;;1773.0;1773.0;MEX;Mexico;;;;False
70;Tlalmanalco;1000791;San Luis Tlalmanalco;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Chalco;;1693.0;1693.0;MEX;Mexico;;;;False
66;Thetelzingo;1000899;San Nicolas Tetelcingo;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Cuahutla;;1778.0;1778.0;MEX;Mexico;;;;False
65;Achichipilco;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
64;Tepoztlan;1000953;Nativitas Tepoztlan;Tepuztlan;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Cuernavaca;;1778.0;1778.0;MEX;Mexico;;;;False
56;Yzcatepec;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
57;Aclahuistlan;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
52;San Miguel Amealco;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
