rowID;Region;Jurisdiction;Subregion.Oaxaca.;Location;Year;Source;AGN_Type;AGN_ID
1;Valley of Mexico ;Mexicalcingo;;Mexicalcingo;1802;AGN Criminal 138 exp. 2, 217 exp. 4 ;Criminal;138
2;Valley of Mexico ;Mexicalcingo;;Santa Marta;1721;AGN Criminal 155, fols. 111-133 ;Criminal;155
3;Valley of Mexico ;Mexicalcingo;;Huitzilopochco;1800;Navarro de Vargas, p. 599;NA;
4;Valley of Mexico ;Tacuba;;San Pedro Excapusaltongo;1760;AGN Criminal 177 exp. 4;Criminal;177
5;Valley of Mexico ;Tacuba;;Huixquilucan;1769;AGN Criminal 120 exp-. 25 ;Criminal;120
6;Valley of Mexico ;Tacuba;;Tepetitlan;1743;AGN Criminal 177 exp. 23;Criminal;177
7;Valley of Mexico ;Xochimilco;;Milpa Alta;1720;AGN Criminal 232 exp. 2 ;Criminal;232
8;Valley of Mexico ;Xochimilco;;Xochitepec;1796;AGN Criminal 29 exp. 6 ;Criminal;29
9;Valley of Mexico ;Ecatepec;;Tulpetlac;1780;AGN Civil 2114 exp. 8 ;Civil;2114
10;Valley of Mexico ;Ecatepec;;Ecatepec;1782;AGN Policia 23;Policia;23
11;Valley of Mexico ;Texcoco;;Atengo;1688;AGN Criminal 193 exp. 226 ;Criminal;193
12;Valley of Mexico ;Texcoco;;Acolman;1774;AGN Criminal 145, fols. 235.;Criminal;145
13;Valley of Mexico ;Otumba;;Betlen;1749;AGN Criminal 162, fols. 94-104 ;Criminal;162
14;Valley of Mexico ;Otumba;;Ozumbilla;1783;AGN Criminal 162, fols. 187-223;Criminal;162
15;Valley of Mexico ;Cuauhtitlan;;Cuauhtitlan;1785;AGN Clero regular y secular 103 ;Clero;103
16;Valley of Mexico ;Mexico City;;Mexico City ;1692;Biblioteca Nacional MS 1358,  Cavo II, 82-83,  Di Tella, p. 96,  Rubio Mane, II, 44-61 ;NA;
17;Valley of Mexico ;Mexico City;;Mexico City ;1696;parcialidad de Santa Maria de la Redonda, Bancroft Mexican MS 135 ;NA;
18;Valley of Mexico ;Mexico City;;Mexico City ;1715;AGN General de Parte 21 exp. 165;General;21
