rowID;ref_Label;gz_id;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_Region;ref_Jurisdiccion;ref_START;ref_END;manual_region;manual_province;manual_district;manual_ciudad_villa_only;manual_category
1;Mexicalcingo;1000096.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Mexicalcingo;1802;1802;;;;False;
2;Santa Marta;;;0;;;no_matches;relegated;NES;Mexicalcingo;1721;1721;NES;Mexico;;False;
3;Huitzilopochco;;;0;;;no_matches;relegated;NES;Mexicalcingo;1800;1800;NES;Oaxaca;;False;
4;San Pedro Excapusaltongo;;;0;;;no_matches;relegated;NES;Tacuba;1760;1760;NES;Mexico;;False;
5;Huixquilucan;1001429.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Tacuba;1769;1769;;;;False;
6;Tepetitlan;;;0;;;no_matches;relegated;NES;Tacuba;1743;1743;NES;Oaxaca;;False;
7;Milpa Alta;1001810.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Xochimilco;1720;1720;;;;False;
8;Xochitepec;1001828.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Xochimilco;1796;1796;;;;False;
9;Tulpetlac;1000991.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Ecatepec;1780;1780;;;;False;
10;Ecatepec;1000087.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Ecatepec;1782;1782;;;;False;
11;Atengo;;;0;;;no_matches;relegated;NES;Texcoco;1688;1688;;;;False;
12;Acolman;1001635.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Texcoco;1774;1774;;;;False;
13;Betlen;;;0;;;no_matches;relegated;NES;Otumba;1749;1749;NES;Mexico;Unknown;False;
14;Ozumbilla;;;0;;;no_matches;relegated;NES;Otumba;1783;1783;;Mexico;;False;
15;Cuauhtitlan;;;0;;;no_matches;relegated;NES;Cuauhtitlan;1785;1785;NES;Oaxaca;Huatulco-Huamelula;False;
16;Mexico City ;;;0;;;no_candidates;relegated;NES;Mexico City;1692;1692;;;;False;
17;Mexico City ;;;0;;;no_candidates;relegated;NES;Mexico City;1696;1696;;;;False;
18;Mexico City ;;;0;;;no_candidates;relegated;NES;Mexico City;1715;1715;;;;False;
19;Tarasquillo;;;0;;;no_candidates;relegated;NES;Metepec;1720;1720;;;;False;
20;Tarasquillo;;;0;;;no_candidates;relegated;NES;Metepec;1730;1730;;;;False;
21;Yolotepec;;;0;;;no_candidates;relegated;NES;Metepec;1733;1733;;;;False;
22;San Felipe, district of Ixtlahuaca;;;0;;;no_candidates;relegated;NES;Metepec;1730;1730;;;;False;
23;Almoloya;1001171.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Metepec;1792;1792;;;;False;
24;Metepec;;;0;;;no_candidates;relegated;NES;Metepec;1733;1733;;;;False;
25;Metepec;;;0;;;no_candidates;relegated;NES;Metepec;1735;1735;;;;False;
26;Metepec;1000094.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Metepec;1772;1772;;;;False;
27;Metepec;1000094.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Metepec;1801;1801;;;;False;
28;Ocuioaca, district of Tenango;;;0;;;no_matches;relegated;NES;Metepec;1807;1807;;;;False;
29;Ixtlahuaca;;;0;;;no_candidates;relegated;NES;Metepec;1727;1727;;;;False;
30;Ixtlahuaca;;;0;;;no_matches;relegated;NES;Metepec;1769;1769;;;;False;
31;Atlacomulco;;;0;;;no_candidates;relegated;NES;Metepec;1733;1733;;;;False;
32;Atlacomulco;;;0;;;no_matches;relegated;NES;Metepec;1810;1810;;;;False;
33;Atlacomulco;;;0;;;no_matches;relegated;NES;Metepec;1811;1811;;;;False;
34;Atlacomulco;;;0;;;no_matches;relegated;NES;Metepec;1814;1814;;;;False;
35;San Andres Mexicalcingo;;;0;;;no_candidates;relegated;NES;Metepec;1703;1703;;;;False;
36;San Antonio;;;0;;;no_candidates;relegated;NES;Metepec;1735;1735;;;;False;
37;Los Reyes, district of Xocotitlán;;;0;;;no_matches;relegated;NES;Metepec;1767;1767;;;;False;
38;San Mateo Atengo;;;0;;;no_candidates;relegated;NES;Metepec;1638;1638;;;;False;
39;Amanalco;1001173.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Metepec;1792;1792;;;;False;
40;San Lorenzo and Santa Maria Guisisilapa;;;0;;;no_candidates;relegated;NES;Metepec;1710;1710;;;;False;
41;Yzcateopan;;;0;;;no_matches;relegated;NES;Zacualpa;1808;1808;;;;False;
42;Ostumac;;;0;;;no_matches;relegated;NES;Zacualpa;1810;1810;;;;False;
43;Alahuistlan;;;0;;;no_matches;relegated;NES;Zacualpa;1795;1795;;;;False;
44;Apastla;;;0;;;no_matches;relegated;NES;Zacualpa;1783;1783;;;;False;
45;Apastla;;;0;;;no_matches;relegated;NES;Zacualpa;1807;1807;;;;False;
46;Apastla;;;0;;;no_matches;relegated;NES;Zacualpa;1111;1111;;;;False;
47;Yztapa;;;0;;;no_matches;relegated;NES;Zacualpa;1800;1800;;;;False;
48;Quintana, district of Ozolotepec;;;0;;;no_candidates;relegated;NES;Tenango del Valle (see also Ocuioaca under Metepec) ;1783;1783;;;;False;
49;Calimaya,;;;0;;;no_candidates;relegated;NES;Tenango del Valle (see also Ocuioaca under Metepec) ;1803;1803;;;;False;
50;Tenango;;;0;;;no_candidates;relegated;NES;Tenango del Valle (see also Ocuioaca under Metepec) ;1762;1762;;;;False;
51;Ozolotepec;;;0;;;no_candidates;relegated;NES;Tenango del Valle (see also Ocuioaca under Metepec) ;1799;1799;;;;False;
52;San Miguel Amealco;;;0;;;no_matches;relegated;NES;Lerma;1733;1733;;;;False;
53;Tescaticlan;;;0;;;no_matches;relegated;NES;Temascaltepec and Sultepec;1714;1714;;;;False;
54;Sultepec;1001480.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Temascaltepec and Sultepec;1764;1764;;;;False;
55;Pozontepec;1001508.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Temascaltepec and Sultepec;1758;1758;;;;False;
56;Yzcatepec;;;0;;;no_candidates;relegated;NES;Ichcateopan ;1787;1787;;;;False;
57;Aclahuistlan;;;0;;;no_candidates;relegated;NES;Ichcateopan ;1711;1711;;;;False;
58;Malinalco;1001154.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Malinalco;1803;1803;;;;False;
59;Malinalco;1001154.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Malinalco;1818;1818;;;;False;
60;Azingo;1001147.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Malinalco;1786;1786;;;;False;
61;Ocuila;;;0;;;no_matches;relegated;NES;Malinalco;1772;1772;;;;False;
62;Tenancingo;1000093.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Malinalco;1797;1797;;;;False;
63;Zumpahuacan;1001167.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Malinalco;1808;1808;;;;False;
64;Tepoztlan;1000953.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Cuernavaca;1778;1778;;;;False;
65;Achichipilco;;;0;;;no_matches;relegated;NES;Cuernavaca;1802;1802;;;;False;
66;Thetelzingo;1000899.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Cuahutla;1778;1778;;;;False;
67;Tlayacapan;1000799.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Chalco;1784;1784;;;;False;
68;Atlautla;1000742.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Chalco;1799;1799;;;;False;
69;Amecameca, barrio Tlailotlacan, ;;;0;;;no_matches;relegated;NES;Chalco;1799;1799;;;;False;
70;Tlalmanalco;1000791.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Chalco;1693;1693;;;;False;
71;Tlalmanalco;1000791.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Chalco;1773;1773;;;;False;
72;Chimalhuacan;1000751.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Chalco;1802;1802;;;;False;
74;Misquiaguala;;;0;;;no_matches;relegated;NES;Tetepango;1681;1681;;;;False;
75;Axacuba;1001610.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Tetepango;1744;1744;;;;False;
76;Tlapanaloya, district of Atitalaquia;;;0;;;no_matches;relegated;NES;Tetepango;1690;1690;;;;False;
77;Tetitlan ;;;0;;;no_candidates;relegated;NES;Actopan;1764;1764;;;;False;
78;Actopan;;;0;;;no_candidates;relegated;NES;Actopan;1756;1756;;;;False;
80;Meztitlan;1000095.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Meztitlan ;1772;1772;;;;False;
81;Zozoquiapam;;;0;;;no_matches;relegated;NES;Meztitlan ;1805;1805;;;;False;
82;San Juan Meztitlan ;1001286.0;toponym_nombre;1;saint_mismatch;category_null;matched;adopted_candidate;NES;Meztitlan ;1805;1805;;;;False;
83;Coamelco;1001245.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Meztitlan ;1777;1777;;;;False;
85;Real del Monte;1001381.0;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Pachuca;1805;1805;;;;False;
