ref_Region;internalID;Label;Tipo;Cardinalidad;Rango;ref_Label;ref_START;START_ex;ref_END;END_ex;Nota;Fuente;Orden;Superior;Principal;Domain;rowID
NES;Uni01;Universidad de Mexico;Universidad;Universidad Real y Pontificia;;México;1111;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades;1
SDO;Uni02;Universidad de Santo Tomás de Aquino;Universidad;Universidad Pontificia;;Santo Domingo;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades;2
SDO;Uni02;Universidad de Santo Tomás de Aquino;Universidad;Universidad Real y Pontificia;;Santo Domingo;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades;3
PER;Uni03;Universidad de San Marcos;Universidad;Universidad Real y Pontificia;;Lima;1111;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades;4
SDO;Uni04;Universidad de Santiago de la Paz;Universidad;Universidad Real;;Santo Domingo;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades;5
SDO;Uni04;Universidad de Santiago de la Paz;Universidad;Universidad Real y Pontificia;;Santo Domingo;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades;6
QUI;Uni05;Universidad de San Fulgencio;Universidad;Universidad;;Quito;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OSA;;;Universidades;7
PER;Uni06;Universidad de San Ildefonso;Universidad;Universidad Real y Pontificia;;Lima;1111;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OSA;;;Universidades;8
PER;Uni07;Universidad de San Ignacio de Loyola;Universidad;Universidad Colegio máximo;;Cuzco;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades;9
RPL;Uni08;Colegio máximo de la Compañía de Jesús;Colegio;Colegio máximo;;Córdoba;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades;10
CHL;Uni09;Colegio máximo  de San Miguel;Colegio;Colegio máximo;;Santiago;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades;11
QUI;Uni10;Universidad de San Gregorio Magno;Universidad;Universidad;;Quito;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades;12
NGR;Uni11;Academia de San Francisco Javier;Academia;Academia;;Santafé;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades;13
CHA;Uni12;Universidad de San Francisco Javier;Universidad;Universidad;;Charcas;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades;14
NES;Uni13;Universidad de Mérida;Universidad;Universidad Real y Pontificia;;Mérida;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades;15
NGR;Uni14;Universidad de Santo Tomás de Aquino;Universidad;Universidad;;Santafé;1111;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades;16
GUA;Uni15;Colegio de Santo Tomás;Colegio;Colegio máximo;;Guatemala;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades;17
GUA;Uni15;Colegio máximo de la Compañía de Jesús;Colegio;Colegio máximo;;Guatemala;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades;18
GUA;Uni15;Universidad de San Carlos Borromeo;Universidad;Universidad Real y Pontificia;;Guatemala;1111;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades;19
PER;Uni16;Universidad de San Cristóbal;Universidad;Universidad Real y Pontificia;;Huamanga;1111;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades;20
CHL;Uni17;Universidad de Santo Tomás de Aquino;Universidad;Universidad;;Santiago;1111;exact;9999;ca;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades;21
QUI;Uni18;Universidad de Santo Tomás de Aquino;Universidad;Universidad;;Quito;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades;22
PER;Uni19;Universidad de San Antonio Abad;Universidad;Universidad;;Cuzco;1111;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OP;;;Universidades;23
NGR;Uni20;Universidad de San Nicolás de Bari;Universidad;Universidad;;Santafé;1111;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);OSA;;;Universidades;24
NGR;Uni14;Universidad de San Francisco Javier;Universidad;Universidad;;Santafé;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades;25
VEN;Uni21;Universidad de Santa Rosa de Lima;Universidad;Universidad Real y Pontificia;;Caracas;1111;exact;9999;end;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);Secular;;;Universidades;26
CHL;Uni22;Universidad Pencopolitana;Universidad;Universidad Pontificia;;Concepción;1111;exact;9999;exact;;Buenaventura Delgado Criado (coord.), Historia de la educación en España y América, tomo 2 (Madrid 1993);SJ;;;Universidades;27
