rowID;ref_Label;gz_id;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_Region;ref_START;ref_END;manual_region;manual_province;manual_district;manual_ciudad_villa_only
1;México;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
2;Santo Domingo;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
3;Santo Domingo;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
4;Lima;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
5;Santo Domingo;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
6;Santo Domingo;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
7;Quito;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
8;Lima;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
9;Cuzco;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
10;Córdoba;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
11;Santiago;;null;0;null;null;no_matches_all_levels;relegated;CHL;1111;9999;;;;False
12;Quito;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
13;Santafé;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
14;Charcas;;null;0;null;null;no_matches_all_levels;relegated;CHA;1111;9999;;;;False
15;Mérida;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
16;Santafé;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
17;Guatemala;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
18;Guatemala;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
19;Guatemala;;null;0;null;null;no_matches_all_levels;relegated;GUA;1111;9999;;;;False
20;Huamanga;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
21;Santiago;;null;0;null;null;no_matches_all_levels;relegated;CHL;1111;9999;;;;False
22;Quito;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
23;Cuzco;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
24;Santafé;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
25;Santafé;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
26;Caracas;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
27;Concepción;;null;0;null;null;no_matches_all_levels;relegated;CHL;1111;9999;;;;False
28;La Habana;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
29;Santiago;;null;0;null;null;no_matches_all_levels;relegated;CHL;1111;9999;;;;False
30;Panamá;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
31;Panamá;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
32;Santafé;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
33;Charcas;;null;0;null;null;no_matches_all_levels;relegated;CHA;1111;9999;;;;False
34;Córdoba;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
35;Córdoba;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
36;Quito;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
37;Guadalajara;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
38;Córdoba;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
39;Córdoba;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
40;Carabaya;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
41;Carangas;;null;0;null;null;no_matches_all_levels;relegated;CHA;1111;9999;;;;False
42;Charcas;;null;0;null;null;no_matches_all_levels;relegated;CHA;1111;9999;;;;False
43;Chucuito;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
44;Cochabamba;;null;0;null;null;no_matches_all_levels;relegated;CHA;1111;9999;;;;False
45;La Paz;;null;0;null;null;no_matches_all_levels;relegated;CHA;1111;9999;;;;False
46;Oruro;;null;0;null;null;no_matches_all_levels;relegated;CHA;1111;9999;;;;False
47;Potosí;;null;0;null;null;no_matches_all_levels;relegated;CHA;1111;9999;;;;False
48;Puno;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
49;Santa Cruz de la Sierra;;null;0;null;null;no_matches_all_levels;relegated;CHA;1111;9999;;;;False
50;Chiloé;;null;0;null;null;no_matches_all_levels;relegated;CHL;1111;9999;;;;False
51;Concepción;;null;0;null;null;no_matches_all_levels;relegated;CHL;1111;9999;;;;False
52;Concepción;;null;0;null;null;no_matches_all_levels;relegated;CHL;1111;9999;;;;False
