ID;ref_Label;Entidad_ID;Nivel;ref_START;START_;END_;Productos;Fuente;Nota;rowID;ref_END
1;Puerto Rico;PRSDPR00;Provincia;1111;1770;1770;Tabaco, Café, Ganado;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";1;9999
2;Puerto Rico;PRSDPR00;Provincia;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;2;9999
3;La Villa;JUSDPRSG;Partido;1111;1770;1770;Tabaco, Café, Ganado;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";3;9999
4;Aguada;PTSDPRAG;Partido;1111;1770;1770;Tabaco;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";4;9999
5;Añasco;PTSDPRAN;Partido;1111;1770;1770;Tabaco;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";5;9999
6;Arecibo;PTSDPRAR;Partido;1111;1770;1770;Ganado, mulas;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";6;9999
7;Coamo;PTSDPRCO;Partido;1111;1770;1770;Café, Ganado;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";7;9999
8;Guayama;PTSDPRGM;Partido;1111;1770;1770;Café, Malagueta;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";8;9999
9;Guaynabo;PTSDPRGN;Partido;1111;1770;1770;-;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";9;9999
10;Mayagüez;PTSDPRMY;Partido;1111;1770;1770;Tabaco;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";10;9999
11;Ponce;PTSDPRPO;Partido;1111;1770;1770;Café , Tabaco;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";11;9999
12;Rio Piedras;PTSDPRRP;Partido;1111;1770;1770;-;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";12;9999
13;Toa Alta;PTSDPRTA;Partido;1111;1770;1770;-;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";13;9999
14;Toa baja;PTSDPRTB;Partido;1111;1770;1770;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";14;9999
15;Tuna;PTSDPRTU;Partido;1111;1770;1770;Tabaco;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";15;9999
16;Yauco;PTSDPRYC;Partido;1111;1770;1770;Tabaco;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";16;9999
17;Bayamón;PTSDPRBY;Partido;1111;1770;1770;-;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;"Unidad: @; Mulas: piezas";17;9999
18;Villa de San Germán;JUSDPRSG;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;18;9999
19;Aguadilla;PTSDPRAA;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;19;9999
20;Aguada;PTSDPRAG;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;20;9999
21;Añasco;PTSDPRAN;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;21;9999
22;Arecibo;PTSDPRAR;Partido;1111;1775;1775;;Altagracia Ortiz, Eighteenth-century Reforms in the Caribbean: Miguel de Muesas, Governor of Puerto Rico, 1769-76 (Rutherford: Farleigh Dickinson University Press, 1983).;;22;9999
