rowID;ref_Label;gz_id;lugar_nombre;lugar_variantes;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_Region;ref_Jurisdiccion;ref_START;ref_END;manual_region;manual_province;manual_district;manual_ciudad_villa_only
1;Mexicalcingo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
2;Santa Marta;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
3;Huitzilopochco;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
4;San Pedro Excapusaltongo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
5;Huixquilucan;1001429;San Antonio Huixquilucan;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Tacuba;1769.0;1769.0;;;;False
6;Tepetitlan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
7;Milpa Alta;1001810;Asuncion Milpa Alta;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Xochimilco;1720.0;1720.0;;;;False
8;Xochitepec;1001828;Santa Cruz Xochitepec;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Xochimilco;1796.0;1796.0;;;;False
9;Tulpetlac;1000991;Santa Maria Tulpetlac;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Ecatepec;1780.0;1780.0;;;;False
10;Ecatepec;1000087;San Cristobal Ecatepec;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Ecatepec;1782.0;1782.0;;;;False
11;Atengo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
12;Acolman;1001635;San Agustin Acolman;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Texcoco;1774.0;1774.0;;;;False
13;Betlen;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
14;Ozumbilla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
15;Cuauhtitlan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
16;Mexico City ;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
17;Mexico City ;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
18;Mexico City ;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
19;Tarasquillo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
20;Tarasquillo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
21;Yolotepec;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
22;San Felipe, district of Ixtlahuaca;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
23;Almoloya;1001171;San Mateo Almoloya;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Metepec;1792.0;1792.0;;;;False
24;Metepec;1000094;San Juan Bautista Metepec;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Metepec;1733.0;1733.0;;;;False
25;Metepec;1000094;San Juan Bautista Metepec;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Metepec;1735.0;1735.0;;;;False
26;Metepec;1000094;San Juan Bautista Metepec;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Metepec;1772.0;1772.0;;;;False
27;Metepec;1000094;San Juan Bautista Metepec;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Metepec;1801.0;1801.0;;;;False
28;Ocuioaca, district of Tenango;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
29;Ixtlahuaca;1000091;San Francisco Ixtlahuaca;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Metepec;1727.0;1727.0;;;;False
30;Ixtlahuaca;1000091;San Francisco Ixtlahuaca;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Metepec;1769.0;1769.0;;;;False
31;Atlacomulco;1001087;Guadalupe Atlacomulco;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Metepec;1733.0;1733.0;;;;False
32;Atlacomulco;1001087;Guadalupe Atlacomulco;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Metepec;1810.0;1810.0;;;;False
33;Atlacomulco;1001087;Guadalupe Atlacomulco;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Metepec;1811.0;1811.0;;;;False
34;Atlacomulco;1001087;Guadalupe Atlacomulco;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Metepec;1814.0;1814.0;;;;False
35;San Andres Mexicalcingo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
36;San Antonio;1001112;San Antonio;;toponym_label;1;saint_mismatch;category_null;matched;deleted_candidate;NES;Metepec;1735.0;1735.0;;;;False
36;San Antonio;1001187;San Antonio De La Laguna;San Antonio de la Laguna;toponym_label;1;saint_mismatch;category_null;matched;adopted_candidate;NES;Metepec;1735.0;1735.0;;;;False
37;Los Reyes, district of Xocotitlán;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
38;San Mateo Atengo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
39;Amanalco;1001173;San Jeronimo Amanalco;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Metepec;1792.0;1792.0;;;;False
40;San Lorenzo and Santa Maria Guisisilapa;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
41;Yzcateopan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
42;Ostumac;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
43;Alahuistlan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
44;Apastla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
45;Apastla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
46;Apastla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
47;Yztapa;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
48;Quintana, district of Ozolotepec;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
49;Calimaya,;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
50;Tenango;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
51;Ozolotepec;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
52;San Miguel Amealco;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
53;Tescaticlan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
54;Sultepec;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
55;Pozontepec;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
56;Yzcatepec;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
57;Aclahuistlan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
58;Malinalco;1001154;San Salvador Malinalco;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Malinalco;1803.0;1803.0;;;;False
59;Malinalco;1001154;San Salvador Malinalco;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Malinalco;1818.0;1818.0;;;;False
60;Azingo;1001147;San Juan Atzingo;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Malinalco;1786.0;1786.0;;;;False
61;Ocuila;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
62;Tenancingo;1000093;San Francisco Tenancingo;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Malinalco;1797.0;1797.0;;;;False
63;Zumpahuacan;1001167;Asuncion Zumpahuacan;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Malinalco;1808.0;1808.0;;;;False
64;Tepoztlan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
65;Achichipilco;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
66;Thetelzingo;1000899;San Nicolas Tetelcingo;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Cuahutla;1778.0;1778.0;;;;False
67;Tlayacapan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
68;Atlautla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
69;Amecameca, barrio Tlailotlacan, ;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
70;Tlalmanalco;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
71;Tlalmanalco;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
72;Chimalhuacan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
74;Misquiaguala;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
75;Axacuba;1001610;Santa Maria Ajacuba;;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Tetepango;1744.0;1744.0;;;;False
76;Tlapanaloya, district of Atitalaquia;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
77;Tetitlan ;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
78;Actopan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
80;Meztitlan;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
81;Zozoquiapam;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
82;San Juan Meztitlan ;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
83;Coamelco;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
85;Real del Monte;1001381;Real del Monte;Real del Monte @;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Pachuca;1805.0;1805.0;;;;False
86;Pachuca;1000007;Real de Pachuca;Real de Pachuca @;toponym_label;1;saint_null;category_null;matched;auto_adopt;NES;Pachuca;1771.0;1771.0;;;;False
88;Sabanilla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
89;Donicha;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;False
