rowID;Region;ref_Region;ref_Jurisdiccion;ref_Obispado;Subregion.Oaxaca.;ref_Label;ref_START;Source;AGN_Type;AGN_ID;ref_END;ref_Pais;ref_Adm1
1;Valley of Mexico ;NES;Mexicalcingo;;;Mexicalcingo;1802;AGN Criminal 138 exp. 2, 217 exp. 4 ;Criminal;138;1802;MEX;
2;Valley of Mexico ;NES;Mexicalcingo;;;Santa Marta;1721;AGN Criminal 155, fols. 111-133 ;Criminal;155;1721;MEX;
3;Valley of Mexico ;NES;Mexicalcingo;;;Huitzilopochco;1800;Navarro de Vargas, p. 599;;;1800;MEX;
4;Valley of Mexico ;NES;Tacuba;;;San Pedro Excapusaltongo;1760;AGN Criminal 177 exp. 4;Criminal;177;1760;MEX;
5;Valley of Mexico ;NES;Tacuba;;;Huixquilucan;1769;AGN Criminal 120 exp-. 25 ;Criminal;120;1769;MEX;
6;Valley of Mexico ;NES;Tacuba;;;Tepetitlan;1743;AGN Criminal 177 exp. 23;Criminal;177;1743;MEX;
7;Valley of Mexico ;NES;Xochimilco;;;Milpa Alta;1720;AGN Criminal 232 exp. 2 ;Criminal;232;1720;MEX;
8;Valley of Mexico ;NES;Xochimilco;;;Xochitepec;1796;AGN Criminal 29 exp. 6 ;Criminal;29;1796;MEX;
9;Valley of Mexico ;NES;Ecatepec;;;Tulpetlac;1780;AGN Civil 2114 exp. 8 ;Civil;2114;1780;MEX;
10;Valley of Mexico ;NES;Ecatepec;;;Ecatepec;1782;AGN Policia 23;Policia;23;1782;MEX;
11;Valley of Mexico ;NES;Texcoco;;;Atengo;1688;AGN Criminal 193 exp. 226 ;Criminal;193;1688;MEX;
12;Valley of Mexico ;NES;Texcoco;;;Acolman;1774;AGN Criminal 145, fols. 235.;Criminal;145;1774;MEX;
13;Valley of Mexico ;NES;Otumba;;;Betlen;1749;AGN Criminal 162, fols. 94-104 ;Criminal;162;1749;MEX;
14;Valley of Mexico ;NES;Otumba;;;Ozumbilla;1783;AGN Criminal 162, fols. 187-223;Criminal;162;1783;MEX;
15;Valley of Mexico ;NES;Cuauhtitlan;;;Cuauhtitlan;1785;AGN Clero regular y secular 103 ;Clero;103;1785;MEX;
16;Valley of Mexico ;NES;Mexico City;;;Mexico City ;1692;Biblioteca Nacional MS 1358,  Cavo II, 82-83,  Di Tella, p. 96,  Rubio Mane, II, 44-61 ;;;1692;MEX;
17;Valley of Mexico ;NES;Mexico City;;;Mexico City ;1696;parcialidad de Santa Maria de la Redonda, Bancroft Mexican MS 135 ;;;1696;MEX;
18;Valley of Mexico ;NES;Mexico City;;;Mexico City ;1715;AGN General de Parte 21 exp. 165;General;21;1715;MEX;
19;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Tarasquillo;1720;AGN Criminal 168 ;Criminal;168;1720;MEX;Mexico
20;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Tarasquillo;1730;AGN Criminal 168 ;Criminal;168;1730;MEX;Mexico
21;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Yolotepec;1733;AGN Criminal 168 ;Criminal;168;1733;MEX;Mexico
22;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;San Felipe, district of Ixtlahuaca;1730;AGN Criminal 93, exp. 10 ;Criminal;93;1730;MEX;Mexico
23;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Almoloya;1792;AGN Criminal 148 exp. 2 ;Criminal;148;1792;MEX;Mexico
24;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Metepec;1733;AGN Criminal 168, fols. 538.;Criminal;168;1733;MEX;Mexico
25;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Metepec;1735;AGN Criminal 151 exp. 1, Indios 54, exp. 85 ;Criminal;151;1735;MEX;Mexico
26;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Metepec;1772;AGN Criminal 168, fols. 283.;Criminal;168;1772;MEX;Mexico
27;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Metepec;1801;AGN Criminal 152, fols. 270.;Criminal;152;1801;MEX;Mexico
28;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Ocuioaca, district of Tenango;1807;AGN Civil 1599 exp. 1, Civil 1505 exp. 7, Criminal 207 exp. 12 ;Civil;1599;1807;MEX;Mexico
29;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Ixtlahuaca;1727;AGN Civil 1508 exp. 6 ;Civil;1508;1727;MEX;Mexico
30;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Ixtlahuaca;1769;University of Texas Mexican MS G 205;;;1769;MEX;Mexico
31;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Atlacomulco;1733;AGN Civil-2292 exps. 10-11 ;Civil;2292;1733;MEX;Mexico
32;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Atlacomulco;1810;AGN Criminal 229, fols. 263.;Criminal;229;1810;MEX;Mexico
33;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Atlacomulco;1811;AGN Criminal 231 exp. 1 ;Criminal;231;1811;MEX;Mexico
34;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Atlacomulco;1814;AGN Criminal 230 exp. 15;Criminal;230;1814;MEX;Mexico
35;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;San Andres Mexicalcingo;1703;AGN Criminal 217 exp. 4 ;Criminal;217;1703;MEX;Mexico
36;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;San Antonio;1735;AGN Indios 54 exp. 85;Indios;54;1735;MEX;Mexico
37;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Los Reyes, district of Xocotitlán;1767;AGN Criminal 92 exp. 5;Criminal;92;1767;MEX;Mexico
38;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;San Mateo Atengo;1638;AGN Criminal 219 ;Criminal;219;1638;MEX;Mexico
39;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;Amanalco;1792;AGN Criminal 243 exp. 1;Criminal;243;1792;MEX;Mexico
40;State of Mexico, fringes of Morelos and Guerrero;NES;Metepec;;;San Lorenzo and Santa Maria Guisisilapa;1710;AGN Criminal 218, fols. 1-19 ;Criminal;218;1710;MEX;Mexico
41;State of Mexico, fringes of Morelos and Guerrero;NES;Zacualpa;;;Yzcateopan;1808;AGN Criminal 166, fols. 134-136 ;Criminal;166;1808;MEX;Mexico
42;State of Mexico, fringes of Morelos and Guerrero;NES;Zacualpa;;;Ostumac;1810;AGN Criminal 166, fols. 274-294 ;Criminal;166;1810;MEX;Mexico
