rowID;ref_Label;gz_id;fuzzy_score
2;santa cruz de tenerife;1003514;1.0
2;santa cruz de tenerife;1003514;1.0
2;santa cruz de tenerife;1000313;1.0
2;santa cruz de tenerife;1000313;1.0
2;santa cruz de tenerife;1000313;1.0
3;san juan;9000235;1.0
3;san juan;9000235;1.0
3;san juan;9000235;1.0
3;san juan;9000235;1.0
3;san juan;9000235;1.0
4;puerto cabello;9901029;1.0
4;puerto cabello;9901029;1.0
4;puerto cabello;4000107;1.0
4;puerto cabello;4000107;1.0
4;puerto cabello;4000107;1.0
5;puerto cabello;9901029;1.0
5;puerto cabello;9901029;1.0
5;puerto cabello;4000107;1.0
5;puerto cabello;4000107;1.0
5;puerto cabello;4000107;1.0
6;caracas;4000001;1.0
6;caracas;4000001;1.0
6;caracas;4000001;1.0
6;caracas;4000001;1.0
6;caracas;4000001;1.0
7;caracas;4000001;1.0
7;caracas;4000001;1.0
7;caracas;4000001;1.0
7;caracas;4000001;1.0
7;caracas;4000001;1.0
8;la guaira;4000010;1.0
8;la guaira;4000010;1.0
8;la guaira;4000010;1.0
8;la guaira;4000010;1.0
8;la guaira;4000010;1.0
9;barranquilla;5000047;1.0
9;barranquilla;5000047;1.0
9;barranquilla;5000047;1.0
10;cartagena de indias;5000004;1.0
10;cartagena de indias;7000224;1.0
10;cartagena de indias;5000004;1.0
10;cartagena de indias;7000224;1.0
11;mompox;5000024;1.0
11;mompox;5000024;1.0
11;mompox;5000024;1.0
11;mompox;5000024;1.0
12;ocaña;5000039;1.0
12;ocaña;5000039;1.0
14;pamplona;5000016;1.0
14;pamplona;5000016;1.0
16;socorro;5000015;1.0
16;socorro;9000702;1.0
16;socorro;9000702;1.0
16;socorro;1004787;1.0
16;socorro;1004787;1.0
17;san gil;5000042;1.0
17;san gil;5000042;1.0
17;san gil;9900302;0.923076923076923
17;san gil;1001118;0.923076923076923
17;san gil;1001118;0.923076923076923
19;tunja;5000014;1.0
20;nares;5000218;0.8888888888888888
21;honda;5000622;1.0
21;honda;5000029;1.0
21;honda;7000101;1.0
21;honda;7000101;1.0
21;honda;9900590;1.0
22;santa fe de bogotá;1000012;1.0
22;santa fe de bogotá;1000012;1.0
22;santa fe de bogotá;1000584;1.0
22;santa fe de bogotá;1000584;1.0
22;santa fe de bogotá;6000885;1.0
23;neiva;5000010;1.0
24;san sebastián de la plata;5000032;1.0
24;san sebastián de la plata;1000055;0.923076923076923
24;san sebastián de la plata;1000055;0.923076923076923
24;san sebastián de la plata;1000055;0.923076923076923
24;san sebastián de la plata;1000497;0.923076923076923
26;cartago;5600037;1.0
26;cartago;5600037;1.0
26;cartago;2000010;1.0
27;llano grande;2000899;1.0
27;llano grande;2000899;1.0
27;llano grande;5000769;1.0
27;llano grande;5000769;1.0
27;llano grande;5000769;1.0
28;quilichao;5600164;1.0
31;san juan de pasto;1000307;1.0
31;san juan de pasto;1000307;1.0
31;san juan de pasto;1000307;1.0
31;san juan de pasto;1000307;1.0
31;san juan de pasto;1000401;1.0
33;ibarra;5600008;1.0
33;ibarra;5600008;1.0
33;ibarra;5600008;1.0
34;otavalo;5600009;1.0
34;otavalo;5600009;1.0
34;otavalo;5600009;1.0
36;quito;9901182;1.0
36;quito;9901182;1.0
36;quito;5600001;1.0
36;quito;5600001;1.0
36;quito;5600001;1.0
37;cuenca;5600002;1.0
37;cuenca;5600002;1.0
37;cuenca;6000597;1.0
37;cuenca;6000597;1.0
37;cuenca;5600002;1.0
38;loja;5600012;1.0
38;loja;5600012;1.0
38;loja;5600012;1.0
38;loja;5600012;1.0
39;piura;6001391;1.0
39;piura;6001391;1.0
40;chocope;6001441;1.0
40;chocope;6001441;1.0
41;lambayeque;6001438;1.0
41;lambayeque;6001438;1.0
42;cajamarca;6001261;1.0
42;cajamarca;5600522;1.0
42;cajamarca;5600522;1.0
42;cajamarca;6001261;1.0
43;trujillo;4000463;1.0
43;trujillo;4000463;1.0
43;trujillo;4000463;1.0
43;trujillo;2000009;1.0
43;trujillo;2000009;1.0
44;lima;9000487;1.0
44;lima;9000487;1.0
44;lima;9000487;1.0
