START;END_;Tipo;Label;Nombre;Variantes;Entidad_ID;Nivel
1111;1716;Fronteras;Laguna de los Terminos;Bucaneros;Carmen @ Laguna de los Terminos;JUNECNCA;Partido
1111;1720;Fronteras;Gran Nayar;Gran Nayar;Nayarit @ Nuevo Toledo;PRGDNA00;Fronteras
1111;1720;Fronteras;Gran Nayar;Gran Nayar;Nayarit @ Nuevo Toledo;PRGDNA00;Partido
1111;1731;Fronteras;Guale;La Florida;Guale @ Guale y Macama;FRFLGUXX;Fronteras
1111;1731;Fronteras;Guale;La Florida;Guale @ Guale y Macama;FRFLGUXX;Partido
1111;1741;Corregimiento;Mahates;Mahates;Mahates @;PTNGCAMH;Jurisdiccion
1111;1741;Corregimiento;Mahates;Mahates;Mahates @;PTNGCAMH;Partido
1111;1741;Partido;Badiraguato;Badiraguato;Badiraguato @ Santiago de los Caballeros;PTGDSSBA;Partido
1111;1749;Fronteras;Brasil;Brasil;Brasil @;FRBRXXXX;Fronteras
1111;1749;Fronteras;Brasil;Brasil;Brasil @;FRBRXXXX;Partido
1111;1751;Partido;San Antonio;San Antonio de los Llanos;San Antonio de los Llanos @;PTGDNLSA;Partido
1111;1755;Fronteras;Samana;Bucaneros;Samana y Sabana de Mar @ Costa;JUSDSDSS;Partido
1111;1758;Fronteras;Junta;Cibola;Junta de los Rios @;PTGDDUPJ;Partido
1111;1766;Partido;Rio Florido;Rio Florido;Rio Florido @;PTGDDURF;Partido
1111;1767;Misiones;Guaranies;Misiones guaranies;Misiones @ Treinta Pueblos de las Misiones Guaranies;PRRPMIMI;Jurisdiccion
1111;1767;Partido;California;California;California Baja @ California Vieja @ Antigua California;JUNECLCV;Jurisdiccion
1111;1767;Partido;California;California;California Baja @ California Vieja @ Antigua California;JUNECLCV;Partido
1111;1769;Partido;Venado y La Hedionda;Venado y La Hedionda;Venado @ Venado y La Hedionda @ Aguas de Venado Hedionda;JUNESLVE;Partido
1111;1771;Tenencia a Guerra;Ribera de Bayamon;Ribera de Bayamon;Bayamon @ Ribera de Bayamon;PTSDPRBY;Partido
1111;1771;Tenencia de gobierno;Golfo de Cariaco;Golfo de Cariaco;Golfo de Cariaco @ Araya;JUVECUGC;Partido
1111;1775;Fronteras;Baudo;Chocoanes;Baudo @;JMNGCHBA;Partido
1111;1776;Misiones;Meta;Meta;Meta @;PTNGLLME;Partido
1111;1776;Partido;Sierra Tepehuana;Sierra Tepehuana;San Juan Nepomuceno @ Nabogame y Baborigame @ Sierra Tepehuana;JUGDDUNP;Partido
1111;1785;Tenencia de gobierno;Cuatro Villas;Cuatro Villas;Cuatro Villas @ Cuatro Lugares @ Trinidad;JUSDLHCV;Jurisdiccion
1111;1786;Jurisdiccion;Gracias a Dios;Gracias a Dios;Gracias a Dios @;JUGUCYGR;Partido
1111;1786;Partido;Asientos;Asientos de Ibarra;Asientos de Ibarra @;PTGDGDAI;Partido
1111;1786;Partido;Guaspaltepec;Guaspaltepec;Guaspaltepec @ Guaspaltepeque @ Mitad de Guaspaltepec @ Guaspaltepec y Oxitlan;PTNEVCGU;Partido
1111;1786;Partido;Olanchito;Olanchito;Olanchito @;JUGUCYOT;Partido
1111;1786;Partido;Olancho;Olancho;Olancho @;JUGUCYOL;Partido
1111;1786;Partido;San Pedro Sula;San Pedro Sula;San Pedro Sula @;JUGUCYSP;Partido
1111;1786;Partido;Totomehuacan;Totomehuacan;Totomehuacan @;JUNEPUTM;Partido
1111;1786;Partido;Yoro;Yoro;Yoro @;JUGUCYYO;Partido
1111;1787;Partido;Cocupao;Cocupao;Cocupao @ Tzintzuntzan;JUNEMICO;Partido
1111;1787;Partido;Erongaricuaro;Erongaricuaro;Erongaricuaro @;JUNEMIER;Partido
1111;1787;Partido;Santa Clara;Santa Clara del Cobre;Santa Clara del Cobre @ Santa Clara de los Cobres;JUNEMISC;Partido
1111;1787;Partido;Tacambaro;Tacambaro;Tacambaro @;JUNEMITB;Partido
1111;1787;Partido;Tancitaro;Tancitaro;Tancitaro @ Tancitaro;PTNEMITC;Partido
1111;1787;Partido;Urecho;Urecho;Urecho @;JUNEMIUO;Jurisdiccion
1111;1787;Partido;Urecho;Urecho;Urecho @;JUNEMIUO;Partido
1111;1788;Partido;Uruapan;Uruapan;Uruapan @;JUNEMIUR;Partido
1111;1789;Partido;Angamacutiro;Angamacutiro;Angamacutiro @;JUNEMIAN;Partido
