Entidad;Nombre;Variantes;tipo;Provincia_generica;Reg;WikiID;Redirect;Entidad_alternate;START;END_;Numero_corriente;GCath;CathHierarchy;viaf;Region;Nivel_default;Comentario;Lat_Capital;Lon_Capital
AUBA0000;Buenos Aires;Buenos Aires @ Rio de la Plata;Audiencia;Audiencia;RPL;buenos_aires_audiencia_rpl;~~REDIRECT>buenos_aires_audiencia_rpl~~;BA0000AU;1663;1808;81;;;;Rio de la Plata;Audiencia;;-34.6079;-58.37322
AUCA0000;Caracas;Caracas @ Venezuela;Audiencia;Audiencia;VEN;caracas_audiencia_ven;~~REDIRECT>caracas_audiencia_ven~~;CA0000AU;1786;1808;82;;;;Caracas;Audiencia;;10.5061;-66.9146
AUCC0000;Charcas;Charcas @;Audiencia;Audiencia;CHA;charcas_audiencia_cha;~~REDIRECT>charcas_audiencia_cha~~;CC0000AU;1559;1808;83;;;;Charcas;Audiencia;;-19.04786;-65.2596
AUCO0000;Guatemala;Guatemala @ Confines @ Los Confines @ Los Confines de Guatemala y Nicaragua;Audiencia;Audiencia;GUA;guatemala_audiencia_gua;~~REDIRECT>guatemala_audiencia_gua~~;CO0000AU;1542;1808;84;;;;Guatemala;Audiencia;;14.62181;-90.51879
AUCU0000;Cuzco;Cuzco @;Audiencia;Audiencia;PER;cuzco_audiencia_per;~~REDIRECT>cuzco_audiencia_per~~;CU0000AU;1788;1808;85;;;;Peru;Audiencia;;-13.51672;-71.97888
AUGD0000;Guadalajara;Guadalajara @ Nueva Galicia;Audiencia;Audiencia;GDJ;guadalajara_audiencia_gdj;~~REDIRECT>guadalajara_audiencia_gdj~~;GD0000AU;1548;1808;86;;;;Nueva Galicia y Septentrion;Audiencia;;21.23789;-104.90118
AULI0000;Lima;Lima @ Peru;Audiencia;Audiencia;PER;lima_audiencia_per;~~REDIRECT>lima_audiencia_per~~;LI0000AU;1543;1808;87;;;;Peru;Audiencia;;-12.04665;-77.02998
AUMX0000;Mexico;Mexico @ Nueva España;Audiencia;Audiencia;NES;mexico_audiencia_nes;~~REDIRECT>mexico_audiencia_nes~~;MX0000AU;1527;1808;88;;;;Nueva España;Audiencia;;19.43379;-99.13313
AUPA0000;Panama;Panama @ Tierra Firme @ Castilla de Oro;Audiencia;Audiencia;TFI;panama_audiencia_ngr;~~REDIRECT>panama_audiencia_ngr~~;PA0000AU;1539;1750;89;;;;Tierra Firme;Audiencia;;9.00645;-79.48594
AUPP0000;Puerto Principe;Puerto Principe @;Audiencia;Audiencia;SDO;puerto_principe_audiencia_sdo;~~REDIRECT>puerto_principe_audiencia_sdo~~;PP0000AU;1800;1808;1748;;;;Santo Domingo;Audiencia;;21.38568;-77.9144
AUQU0000;Quito;Quito @;Audiencia;Audiencia;QUI;quito_audiencia_qui;~~REDIRECT>quito_audiencia_qui~~;QU0000AU;1564;1808;90;;;;Quito;Audiencia;;-0.22017;-78.51209
AUSA0000;Santiago;Santiago @ Chile;Audiencia;Audiencia;CHL;santiago_audiencia_chl;~~REDIRECT>santiago_audiencia_chl~~;SA0000AU;1565;1808;91;;;;Chile;Audiencia;;-36.73891;-72.9936
AUSD0000;Santo Domingo;Santo Domingo @;Audiencia;Audiencia;SDO;santo_domingo_audiencia_sdo;~~REDIRECT>santo_domingo_audiencia_sdo~~;SD0000AU;1527;1808;92;;;;Santo Domingo;Audiencia;;20.0218;-75.8222
AUSF0000;Santa Fe;Santa Fe @ Nuevo Reino de Granada;Audiencia;Audiencia;NGR;santa_fe_audiencia_ngr;~~REDIRECT>santa_fe_audiencia_ngr~~;SF0000AU;1550;1808;93;;;;Nuevo Reino de Granada;Audiencia;;4.59744;-74.07475
CGPI0000;Provincias Internas;Provincias Internas @;Entidad principal;Superior;GDJ;provincias_internas_superior_gdj;~~REDIRECT>provincias_internas_superior_gdj~~;PI0000CG;1776;1808;96;;;;Nueva Galicia y Septentrion;Principal;;30.33603;-110.16631
CGPIOC00;Provincias internas del Occidente;Provincias internas del Occidente @;Provincia;Provincia;GDJ;provincias_internas_del_occidente_provincia_gdj;~~REDIRECT>provincias_internas_del_occidente_provincia_gdj~~;PIOC00CG;1787;1790;4;;;;Nueva Galicia y Septentrion;indefinido;;30.33603;-110.16631
CGPIOR00;Provincias Internas del Oriente;Provincias Internas del Oriente @;Provincia;Provincia;GDJ;provincias_internas_del_oriente_provincia_gdj;~~REDIRECT>provincias_internas_del_oriente_provincia_gdj~~;PIOR00CG;1787;1790;97;;;;Nueva Galicia y Septentrion;indefinido;;26.40528;-107.45583
CGQUMA00;Maynas;Maynas @;Provincia;Provincia;QUI;maynas_provincia_per;~~REDIRECT>maynas_provincia_per~~;QUMA00CG;1803;9999;98;;;;Quito;Provincia_mayor;;-6.03451;-76.97492
CGVE0000;Venezuela;Venezuela @ Caracas;Entidad principal;Superior;VEN;venezuela_superior_ven;~~REDIRECT>venezuela_superior_ven~~;VE0000CG;1777;1808;101;;;;Caracas;Principal;;10.5061;-66.9146
EXDI0000;Dinamarca;Dinamarca @;Extranjero;Extranjero;EXT;dinamarca_extranjero_ext;~~REDIRECT>dinamarca_extranjero_ext~~;DI0000EX;1701;1808;102;;;;Exterior;Extranjero;;90;0
EXFR0000;Francia;Francia @;Extranjero;Extranjero;EXT;francia_extranjero_ext;~~REDIRECT>francia_extranjero_ext~~;FR0000EX;1701;1808;103;;;;Exterior;Extranjero;;90;0
EXGB0000;Gran Bretaña;Gran Bretaña @ Inglaterra;Extranjero;Extranjero;EXT;gran_bretana_extranjero_ext;~~REDIRECT>gran_bretaña_extranjero_ext~~;GB0000EX;1701;1808;104;;;;Exterior;Extranjero;;90;0
EXHA0000;Haiti;Haiti @ Saint-Domingue;Extranjero;Extranjero;EXT;haiti_extranjero_ext;~~REDIRECT>haiti_extranjero_ext~~;HA0000EX;1804;1808;105;;;;Exterior;Extranjero;;90;0
EXPB0000;Paises Bajos;Paises Bajos @ Holanda;Extranjero;Extranjero;EXT;paises_bajos_extranjero_ext;~~REDIRECT>paises_bajos_extranjero_ext~~;PB0000EX;1701;1808;106;;;;Exterior;Extranjero;;90;0
EXPO0000;Portugal;Portugal @;Extranjero;Extranjero;EXT;portugal_extranjero_ext;~~REDIRECT>portugal_extranjero_ext~~;PO0000EX;1701;1808;107;;;;Exterior;Extranjero;;90;0
EXRU0000;Rusia;Rusia @;Extranjero;Extranjero;EXT;rusia_extranjero_ext;~~REDIRECT>rusia_extranjero_ext~~;RU0000EX;1721;1808;108;;;;Exterior;Extranjero;;90;0
