citlist;Cita_completa;ftid;FuenteID;tipo;Nombre;Apellido;Autores_adicionales;Titulo;en_;Vols;Lugar;Año;Año original;Signatura;Archivo;URL;Nota;flag;tiempo;template;wikiincluded
Literatura;José de la Cruz Vergel Jaimes, Abrego, Llanos de la Cruz: ahora con identidad histórica (Cúcuta 2000);859;abrego;Monografía;José de la;Cruz Vergel Jaimes;;Abrego, Llanos de la Cruz: ahora con identidad histórica;;;Cúcuta;2000;;;;;;;;---- dataentry fuente ----@tipo-publicacion : Monografía@FuenteID : abrego@Nombre : José de la@Apellido : Cruz Vergel Jaimes@Autores adicionales : @Titulo : Abrego, Llanos de la Cruz: ahora con identidad histórica@en : @Vols : @Lugar : Cúcuta@Año : 2000@Original : @Vols : @Archivo : @Signatura : @URL : @Cita completa : José de la Cruz Vergel Jaimes, Abrego, Llanos de la Cruz: ahora con identidad histórica (Cúcuta 2000)@----;yes
Literatura;Carlos Oswaldo Aburto Cotrina, 'Régimen político y economía en un espacio fronterizo colonial Maynas durante la segunda mitad del siglo XVIII', en: Histórica 20, 1  (1996), p. 1-28;2;aburto;Artículo;Carlos Oswaldo;Aburto Cotrina;;Régimen político y economía en un espacio fronterizo colonial Maynas durante la segunda mitad del siglo XVIII;Histórica 20, 1, p. 1-28.;;;1996;;;;;;;1750-1800;---- dataentry fuente ----@tipo-publicacion : Artículo@FuenteID : aburto@Nombre : Carlos Oswaldo@Apellido : Aburto Cotrina@Autores adicionales : @Titulo : Régimen político y economía en un espacio fronterizo colonial Maynas durante la segunda mitad del siglo XVIII@en : Histórica 20, 1, p. 1-28.@Vols : @Lugar : @Año : 1996@Original : @Vols : @Archivo : @Signatura : @URL : @Cita completa : Carlos Oswaldo Aburto Cotrina, 'Régimen político y economía en un espacio fronterizo colonial Maynas durante la segunda mitad del siglo XVIII', en: Histórica 20, 1  (1996), p. 1-28@----;yes
Literatura;Oscar Acevedo, Las intendencias altoperuanas en el Virreinato del Rio de la Plata (Buenos Aires 1992);4;acevedo;Monografía;Oscar;Acevedo;;Las intendencias altoperuanas en el Virreinato del Rio de la Plata;;;Buenos Aires;1992;;;;;;matched;;---- dataentry fuente ----@tipo-publicacion : Monografía@FuenteID : acevedo@Nombre : Oscar@Apellido : Acevedo@Autores adicionales : @Titulo : Las intendencias altoperuanas en el Virreinato del Rio de la Plata@en : @Vols : @Lugar : Buenos Aires@Año : 1992@Original : @Vols : @Archivo : @Signatura : @URL : @Cita completa : Oscar Acevedo, Las intendencias altoperuanas en el Virreinato del Rio de la Plata (Buenos Aires 1992)@----;yes
Literatura;Oscar Acevedo, La intendencia del Paraguay en el Virreinato del Rio de la Plata (Buenos Aires 1996);3;acevedo-2;Monografía;Oscar;Acevedo;;La intendencia del Paraguay en el Virreinato del Rio de la Plata;;;Buenos Aires;1996;;;;;;matched;;---- dataentry fuente ----@tipo-publicacion : Monografía@FuenteID : acevedo-2@Nombre : Oscar@Apellido : Acevedo@Autores adicionales : @Titulo : La intendencia del Paraguay en el Virreinato del Rio de la Plata@en : @Vols : @Lugar : Buenos Aires@Año : 1996@Original : @Vols : @Archivo : @Signatura : @URL : @Cita completa : Oscar Acevedo, La intendencia del Paraguay en el Virreinato del Rio de la Plata (Buenos Aires 1996)@----;yes
Literatura;José Polo Acuña, 'Contrabando y pacificación indígena en la frontera colombo-venezolana de la Guajira (1750-1820)', en: América Latina en la historia económica 24 (2005), pp. 87-130;5;acuna;Artículo;José;Polo Acuña;;Contrabando y pacificación indígena en la frontera colombo-venezolana de la Guajira (1750-1820);América Latina en la historia económica 24;;;2005;;;;http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532005000200005#n55b;;;1750-1820;---- dataentry fuente ----@tipo-publicacion : Artículo@FuenteID : acuna@Nombre : José@Apellido : Polo Acuña@Autores adicionales : @Titulo : Contrabando y pacificación indígena en la frontera colombo-venezolana de la Guajira (1750-1820)@en : América Latina en la historia económica 24@Vols : @Lugar : @Año : 2005@Original : @Vols : @Archivo : @Signatura : @URL : http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-22532005000200005#n55b@Cita completa : José Polo Acuña, 'Contrabando y pacificación indígena en la frontera colombo-venezolana de la Guajira (1750-1820)', en: América Latina en la historia económica 24 (2005), pp. 87-130@----;yes
Archivalia;'Títulos de Corregidores', en: Archivo General de Indias,Buenos_Aires,34-36;1485;agi_ba_corregidores;Archivalia;;;;Títulos de Corregidores;;;;;;Buenos_Aires,34-36;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_ba_corregidores@Nombre : @Apellido : @Autores adicionales : @Titulo : Títulos de Corregidores@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Buenos_Aires,34-36@URL : @Cita completa : 'Títulos de Corregidores', en: Archivo General de Indias,Buenos_Aires,34-36@----;yes
Archivalia;'Yndias. América meridional. Departamento de Caracas. Num.o 643', en: Archivo General de Indias,Caracas,136;1445;agi_caracas_136_2;Archivalia;;;;Yndias. América meridional. Departamento de Caracas. Num.o 643;;;;;;Caracas,136;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_caracas_136_2@Nombre : @Apellido : @Autores adicionales : @Titulo : Yndias. América meridional. Departamento de Caracas. Num.o 643@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Caracas,136@URL : @Cita completa : 'Yndias. América meridional. Departamento de Caracas. Num.o 643', en: Archivo General de Indias,Caracas,136@----;yes
Archivalia;'Carta de Luis Antonio Gil a Pedro de Lerena, 25 de mayo de 1791', en: Archivo General de Indias,Caracas,136;1446;agi_caracas_136_3;Archivalia;;;; Carta de Luis Antonio Gil a Pedro de Lerena, 25 de mayo de 1791;;;;;;Caracas,136;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_caracas_136_3@Nombre : @Apellido : @Autores adicionales : @Titulo :  Carta de Luis Antonio Gil a Pedro de Lerena, 25 de mayo de 1791@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Caracas,136@URL : @Cita completa : 'Carta de Luis Antonio Gil a Pedro de Lerena, 25 de mayo de 1791', en: Archivo General de Indias,Caracas,136@----;yes
Archivalia;'Provisiones de empleos políticos y militares', en: Archivo General de Indias,Caracas,41,n.254;1447;agi_caracas_41_254;Archivalia;;;;Provisiones de empleos políticos y militares;;;;;;Caracas,41,n.254;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_caracas_41_254@Nombre : @Apellido : @Autores adicionales : @Titulo : Provisiones de empleos políticos y militares@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Caracas,41,n.254@URL : @Cita completa : 'Provisiones de empleos políticos y militares', en: Archivo General de Indias,Caracas,41,n.254@----;yes
Archivalia;'Duplicados de Vicente Emparán, intendente de Cumaná', en: Archivo General de Indias,Caracas,521;1442;agi_caracas_521;Archivalia;;;;Duplicados de Vicente Emparán, intendente de Cumaná;;;;;;Caracas,521;Archivo General de Indias;;;;;---- dataentry fuente ----@tipo-publicacion : Archivalia@FuenteID : agi_caracas_521@Nombre : @Apellido : @Autores adicionales : @Titulo : Duplicados de Vicente Emparán, intendente de Cumaná@en : @Vols : @Lugar : @Año : @Original : @Vols : @Archivo : Archivo General de Indias@Signatura : Caracas,521@URL : @Cita completa : 'Duplicados de Vicente Emparán, intendente de Cumaná', en: Archivo General de Indias,Caracas,521@----;yes
