gz_id;label;start;end_;partido_generico;provincia_generica;region;iglesia_cat;servido_por;categoria;categoria_especial;cabildo;parcialidad;es_parte_de;lat;lon;cert;metodo;curato_generico;pais;nombre;variantes;nombrehoy;santo;start_ex;end_ex;fuente_ID;importancia
4000057;La Vega;1111;9999;Caracas;Caracas;Venezuela;Curato;s.d.;Pueblo;Pueblo de indios;s.d.;No;1000000;10.4609510003884;-66.945018999727;Buena;Geoservice/Satelite;La Vega;VEN;La Vega;;;Nuestra Señora de Chiquinquira;start;end;lombardi;4
1000000;[-];1111;9999;;;Dummy;[-];[-];[-];[-];No;No;1000000;90.0000000001;9.99875737761613e-11;Buena;Geoservice/Satelite;[-];;[-];[-] @;[-];[-];start;end;desconocida;5
1000001;Mexico;1521;1539;Mexico;Mexico;Nueva España;Curato;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;19.4337864302996;-99.1331344502946;Exacta;Geoservice/Satelite;Mexico;MEX;Mexico;;Ciudad de Mexico;;exact;hgis;gerhardNE;12
1000001;Mexico;1540;1808;Mexico;Mexico;Nueva España;Sagrario;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;19.4337864302996;-99.1331344502946;Exacta;Geoservice/Satelite;Mexico;MEX;Mexico;;Ciudad de Mexico;;exact;hgis;gerhardNE;12
1000002;Guadalajara;1532;1532;Guadalajara;Guadalajara;Nueva Galicia y Septentrion;s.d.;s.d.;Villa;Villa;Cabildo;No;1000000;21.3655620833235;-102.848173743424;Buena;Descripcion moderna;;MEX;Guadalajara;;Guadalajara;;exact;exact;gerhard-north;3
1000002;Guadalajara;1533;1540;Guadalajara;Guadalajara;Nueva Galicia y Septentrion;s.d.;s.d.;Villa;Villa;Cabildo;No;1000000;20.6261078364076;-103.243252215317;Suficiente;Descripcion moderna;;MEX;Guadalajara;;Guadalajara;;exact;exact;gerhard-north;3
1000002;Guadalajara;1541;1541;Guadalajara;Guadalajara;Nueva Galicia y Septentrion;s.d.;s.d.;Villa;Villa;Cabildo;No;1000000;20.8179161884814;-103.189262245456;Suficiente;Descripcion moderna;;MEX;Guadalajara;;Guadalajara;;exact;exact;gerhard-north;3
1000002;Guadalajara;1542;1547;Guadalajara;Guadalajara;Nueva Galicia y Septentrion;Curato;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;20.6761429997997;-103.346998000257;Buena;Geoservice/Satelite;Guadalajara;MEX;Guadalajara;;Guadalajara;;exact;exactly;gerhard-north;5
1000002;Guadalajara;1548;9998;Guadalajara;Guadalajara;Nueva Galicia y Septentrion;Sagrario;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;20.6761429997997;-103.346998000257;Buena;Geoservice/Satelite;Guadalajara;MEX;Guadalajara;;Guadalajara;;exact;exactly;gerhard-north;9
1000003;Chihuahua;1708;1714;Chihuahua;Durango;Nueva Galicia y Septentrion;Anexo;s.d.;Poblacion;Real de minas;s.d.;No;1000000;28.6543230001064;-106.083946999954;Buena;Geoservice/Satelite;Nombre de Dios;MEX;Chihuahua;San Francisco de Cuellar @;Chihuahua;;exact;exact;gerhard-north;4
4000048;Maiquetia;1111;9999;Caracas;Caracas;Venezuela;Curato;s.d.;Pueblo;Pueblo de indios;s.d.;No;1000000;10.5941610001301;-66.9554840002863;Buena;Geoservice/Satelite;Maiquetia;VEN;Maiquetia;Torrequemada @  Torre-quemada @;;San Sebastian;start;end;lombardi;4
4000049;Caraballeda;1111;9999;Caracas;Caracas;Venezuela;Curato;s.d.;Pueblo;Pueblo de indios;Si;No;1000000;10.6122899997837;-66.8471619998264;Buena;Geoservice/Satelite;Caraballeda;VEN;Caraballeda;Carabayeda @;;Candelaria;start;end;lombardi;5
4000050;Naiguata;1111;9999;Caracas;Caracas;Venezuela;Curato;s.d.;Pueblo;Pueblo de indios;s.d.;No;1000000;10.6164079999293;-66.738315000337;Buena;Geoservice/Satelite;Naiguata;VEN;Naiguata;Nayguata @;;San Francisco Asis;start;end;lombardi;4
4000051;Maracay;1111;9999;Valle de Aragua;Caracas;Venezuela;Curato;s.d.;Poblacion;"""Pueblo""";s.d.;No;1000000;10.2511300002494;-67.6008199997432;Buena;Geoservice/Satelite;Maracay;VEN;Maracay;;;San Jose;start;end;lombardi;4
4000052;Aragua;1782;9999;Valle de Aragua;Caracas;Venezuela;Curato;s.d.;Poblacion;"""Pueblo""";s.d.;No;1000000;10.1791500002723;-67.5104099997217;Buena;Geoservice/Satelite;Aragua;VEN;Santa Cruz Aragua;;Santa Cruz;Santa Cruz;exact;end;lombardi;4
4000053;Turmero;1111;9999;Valle de Aragua;Caracas;Venezuela;Curato;s.d.;Pueblo;Pueblo de indios;s.d.;No;1000000;10.2277900004082;-67.4708599996892;Buena;Geoservice/Satelite;Turmero;VEN;Turmero;;;Candelaria;start;end;lombardi;4
4000054;San Mateo;1754;9999;Valle de Aragua;Caracas;Venezuela;Curato;Secular;Pueblo;Pueblo de indios;s.d.;No;1000000;10.2109999995504;-67.4176100001014;Buena;Geoservice/Satelite;San Mateo;VEN;San Mateo;;;San Mateo;exact;end;lombardi;4
4000054;San Mateo;1111;1753;Valle de Aragua;Caracas;Venezuela;Curato;OFM;Pueblo;Pueblo de indios;s.d.;No;1000000;10.2109999995504;-67.4176100001014;Buena;Geoservice/Satelite;San Mateo;VEN;San Mateo;;;San Mateo;start;end;lombardi;4
4000055;Cagua;1111;9999;Valle de Aragua;Caracas;Venezuela;Curato;s.d.;Pueblo;Pueblo de indios;Si;No;1000000;10.1874400003558;-67.460180000007;Buena;Geoservice/Satelite;Cagua;VEN;Cagua;;;San Jose;start;end;lombardi;5
4000056;La Victoria;1111;9999;Valle de Aragua;Caracas;Venezuela;Curato;s.d.;Pueblo;Pueblo de indios;s.d.;No;1000000;10.2251799996573;-67.3382899997836;Buena;Geoservice/Satelite;La Victoria;VEN;Guadalupe La Victoria;;;Guadalupe;start;end;lombardi;4
1000003;Chihuahua;1715;9999;Chihuahua;Durango;Nueva Galicia y Septentrion;Curato;s.d.;Villa;Real de minas;Cabildo;No;1000000;28.6543230001064;-106.083946999954;Buena;Geoservice/Satelite;Chihuahua;MEX;Chihuahua;San Francisco de Cuellar @;Chihuahua;;exact;end;gerhard-north;6
1000004;Durango;1563;1619;Durango;Durango;Nueva Galicia y Septentrion;Curato;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;24.0248399995664;-104.669859999739;Exacta;Geoservice/Satelite;Durango;MEX;Durango;Guadiana;Durango;;exact;end;gerhard-north;7
1000004;Durango;1620;9999;Durango;Durango;Nueva Galicia y Septentrion;Sagrario;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;24.0248399995664;-104.669859999739;Exacta;Geoservice/Satelite;Durango;MEX;Durango;Guadiana;Durango;;exact;end;gerhard-north;8
1000005;Guanajuato;1741;9999;Guanajuato;Guanajuato;Nueva España;Curato;s.d.;Ciudad;Real de minas;Cabildo;No;1000000;21.0166100001514;-101.252720000328;Buena;Geoservice/Satelite;Guanajuato;MEX;Real de Guanajuato;;Guanajuato;;exact;end;gerhardNE;7
1000005;Guanajuato;1546;1740;Guanajuato;Guanajuato;Nueva España;Curato;s.d.;Villa;Real de minas;Cabildo;No;1000000;21.0166100001514;-101.252720000328;Buena;Geoservice/Satelite;Guanajuato;MEX;Real de Guanajuato;;Guanajuato;;exact;exact;gerhardNE;5
1000006;Acapulco;1550;1568;Acapulco;Mexico;Nueva España;s.d.;s.d.;Poblacion;"""Pueblo""";s.d.;No;1000000;16.8486500003972;-99.9084900002133;Exacta;Geoservice/Satelite;Acapulco;MEX;Acapulco;Ciudad de los Reyes @;Acapulco de Juarez;;exact;exact;gerhardNE;3
1000006;Acapulco;1569;1598;Acapulco;Mexico;Nueva España;Curato;s.d.;Poblacion;"""Pueblo""";s.d.;No;1000000;16.8486500003972;-99.9084900002133;Exacta;Geoservice/Satelite;Acapulco;MEX;Acapulco;Ciudad de los Reyes @;Acapulco de Juarez;;exact;exact;gerhardNE;4
1000006;Acapulco;1599;9999;Acapulco;Mexico;Nueva España;Curato;s.d.;Ciudad;Plaza;s.d.;No;1000000;16.8486500003972;-99.9084900002133;Exacta;Geoservice/Satelite;Acapulco;MEX;Acapulco;Ciudad de los Reyes @;Acapulco de Juarez;;exact;end;gerhardNE;5
1000007;Pachuca;1766;9999;Pachuca;Mexico;Nueva España;Curato;s.d.;Ciudad;Real de minas;Cabildo;No;1000000;20.1215989999939;-98.7331389998649;Buena;Geoservice/Satelite;Pachuca;MEX;Real de Pachuca;Real de Pachuca @;;;not_after;end;gerhardNE;6
1000007;Pachuca;1569;1765;Pachuca;Mexico;Nueva España;Curato;s.d.;Villa;Real de minas;Cabildo;No;1000000;20.1215989999939;-98.7331389998649;Buena;Geoservice/Satelite;Pachuca;MEX;Real de Pachuca;Real de Pachuca @;;;exact;not_after;gerhardNE;5
1000008;Valladolid;1580;9999;Valladolid;Michoacan;Nueva España;Sagrario;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;19.7038889997776;-101.184721999621;Buena;Geoservice/Satelite;Valladolid;MEX;Valladolid;;;;exact;end;tanck;7
1000008;Valladolid;1545;1579;Valladolid;Michoacan;Nueva España;Curato;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;19.7038889997776;-101.184721999621;Buena;Geoservice/Satelite;Valladolid;MEX;Valladolid;;;;exact;end;tanck;6
1000009;Compostela;1540;9999;Compostela;Guadalajara;Nueva Galicia y Septentrion;Curato;s.d.;Ciudad;Ciudad;s.d.;No;1000000;21.2378899999236;-104.901177000118;Exacta;Geoservice/Satelite;Compostela;MEX;Compostela;;Compostela;;exact;end;gerhard-north;6
1000010;Monterrey;1779;9999;Monterrey;Nuevo Leon;Nueva Galicia y Septentrion;Sagrario;s.d.;Ciudad;Ciudad;Cabildo;No;1000000;25.6709710004114;-100.309981999869;Exacta;Geoservice/Satelite;Monterrey;MEX;Monterrey;;Monterrey;;exact;end;gerhard-north;8
1000010;San Luis Rey de Francia;1582;1589;Monterrey;Nuevo Leon;Nueva Galicia y Septentrion;s.d.;s.d.;Villa;Villa;s.d.;No;1000000;25.6709710004114;-100.309981999869;Exacta;Geoservice/Satelite;Monterrey;MEX;San Luis Rey de Francia;;Monterrey;San Luis;exact;ca;gerhard-north;5
