Entidad;tipo;Label;Ent_sup;sup_tipo;sup_Label;START;START_ex;END;END_ex;St_i;St_i_ex;END_i;END_i_ex;S;E;auto;clip;sup_is_cabecera
MICCCBPA;Misiones;Pampas;JUCCCBMO;Misiones;Moxos;1701;hgis;1808;hgis;1701;hgis;1771;exact;1701;1771;22;;
MICCCBCG;Misiones;Chiriguanos;JUCCCBSC;Subdelegacion;Santa Cruz de la Sierra;1776;ca;1808;hgis;1784;exact;1808;hgis;1784;1808;23;;
MICCCBCG;Misiones;Chiriguanos;PRCCCBSC;Gobernacion-Capitania General;Santa Cruz;1776;ca;1808;hgis;1701;hgis;1783;exact;1776;1783;24;;cabecera
PTCCLPMA;Misiones;Mapiri;JUCCLPLA;Subdelegacion;Larecaja;1111;start;9999;end;1784;exact;1808;hgis;1784;1808;25;;
PTCCLPMA;Misiones;Mapiri;JUCCLPLA;Corregimiento;Larecaja;1111;start;9999;end;1583;not_after;1783;exact;1583;1783;26;;
PTCCPOAA;Partido;Atacama alta;JUCCPOAT;Subdelegacion;Atacama;1701;hgis;1808;hgis;1784;exact;1808;hgis;1784;1808;27;;
PTCCPOAB;Partido;Atacama baja;JUCCPOAT;Subdelegacion;Atacama;1701;hgis;1808;hgis;1784;exact;1808;hgis;1784;1808;28;;
PTCCPOAA;Partido;Atacama alta;JUCCPOAT;Corregimiento;Atacama;1701;hgis;1808;hgis;1583;not_after;1783;exact;1701;1783;29;;
PTCCPOAB;Partido;Atacama baja;JUCCPOAT;Corregimiento;Atacama;1701;hgis;1808;hgis;1583;not_after;1783;exact;1701;1783;30;;
JUCCPOCH;Partido;Chichas;JUCCPOTA;Corregimiento;Tarija;1111;start;1784;exact;1583;not_after;1783;exact;1583;1783;31;;
JUCCPOCH;Partido;Chichas;JUCCPOTA;Subdelegacion;Tarija;1111;start;1784;exact;1784;exact;1784;exact;1784;1784;32;;
PMCHCOAR;Partido;Arauco;JUCHCOAR;Comandancia General;Frontera de Arauco;1701;hgis;1722;exact;1701;hgis;1722;exact;1701;1722;33;dontclip;
PMCHCOCC;Comandancia;Colcura;JUCHCOAR;Comandancia General;Frontera de Arauco;1701;hgis;1722;exact;1701;hgis;1722;exact;1701;1722;34;;
